# system_capacity,LCOW,Total CAPEX,Total OPEX,Total fixed OPEX,Opex_fraction,SEC,O3:TOC,HRT_ozone,EBCT_BAC,EBCT_GAC,Replacement_Frequency,UV dose,H2O2 dose,Cl dose,HRT_Cl,Ozone CAPEX,BAF CAPEX,UF CAPEX,GAC CAPEX,UV_AOP CAPEX,Cl CAPEX,Ozone electricity cost,Ozone flow cost total,BAF electricity cost,BAF activated_carbon cost,BAF flow cost total,UF electricity cost,UF membrane_replacement cost,UF flow cost total,GAC electricity cost,GAC activated_carbon cost,GAC flow cost total,UV_AOP electricity cost,UV_AOP lamp_replacement cost,UV_AOP hydrogen_peroxide cost,UV_AOP hypochlorite cost,UV_AOP flow cost total,Cl electricity cost,Cl chlorine cost,Cl flow cost total
4.381264e-02,3.504476e+00,2.638933e+07,1.298584e+06,8.410314e+05,3.297976e+01,2.240536e+00,5.946000e-01,5.000000e+00,3.000000e+01,1.000000e+01,6.838697e-02,3.499998e+03,4.169740e+00,2.102616e-01,3.002102e+01,7.087756e+06,3.586011e+06,3.910806e+06,3.344951e+06,8.459807e+06,3.419078e-61,2.019239e+00,2.019239e+00,3.035041e+00,1.502420e+04,1.502724e+04,1.603610e+01,3.529811e+00,1.956591e+01,2.854553e+00,5.510111e+05,5.510140e+05,1.793070e+00,5.299378e-06,2.271412e-04,3.747829e-04,1.793678e+00,5.186272e-04,2.545272e-06,5.211724e-04
2.606852e-01,1.571311e+00,4.816964e+07,5.687609e+06,4.852418e+06,5.414413e+01,2.248404e+00,6.659787e-01,5.659713e+00,3.000000e+01,1.000000e+01,7.181227e-02,3.499998e+03,4.169740e+00,2.102616e-01,3.002102e+01,9.683400e+06,7.576976e+06,1.160723e+07,6.142666e+06,1.315937e+07,3.925604e-62,1.255227e+01,1.255227e+01,1.805849e+01,8.939400e+04,8.941206e+04,9.541478e+01,2.100237e+01,1.164172e+02,1.698459e+01,3.122137e+06,3.122154e+06,1.066877e+01,3.153130e-05,1.351490e-03,2.229958e-03,1.067238e+01,3.085832e-03,1.514437e-05,3.100976e-03
4.775577e-01,1.350039e+00,6.961164e+07,9.572614e+06,8.365650e+06,5.789732e+01,2.263937e+00,8.068979e-01,7.269387e+00,3.000000e+01,1.000000e+01,7.930692e-02,3.499998e+03,4.169740e+00,2.102616e-01,3.002102e+01,1.491384e+07,1.156794e+07,1.866264e+07,8.940380e+06,1.552685e+07,2.944568e-57,2.493998e+01,2.493998e+01,3.308195e+01,1.637638e+05,1.637969e+05,1.747934e+02,3.847492e+01,2.132683e+02,3.111461e+01,5.179037e+06,5.179068e+06,1.954447e+01,5.776322e-05,2.475839e-03,4.085134e-03,1.955109e+01,5.653036e-03,2.774347e-05,5.680780e-03
6.944303e-01,1.254187e+00,8.872705e+07,1.346254e+07,1.192415e+07,6.027488e+01,2.269051e+00,8.532896e-01,7.966440e+00,3.000000e+01,1.000000e+01,8.201479e-02,3.499997e+03,4.169740e+00,2.102616e-01,3.002102e+01,1.903124e+07,1.555891e+07,2.507703e+07,1.173809e+07,1.732178e+07,2.298723e-59,3.719706e+01,3.719706e+01,4.810540e+01,2.381336e+05,2.381817e+05,2.541721e+02,5.594748e+01,3.101195e+02,4.524464e+01,7.282334e+06,7.282379e+06,2.842017e+01,8.399514e-05,3.600188e-03,5.940309e-03,2.842979e+01,8.220241e-03,4.034257e-05,8.260583e-03
9.113028e-01,1.198166e+00,1.065353e+08,1.734787e+07,1.550070e+07,6.195357e+01,2.271474e+00,8.752721e-01,8.354265e+00,3.000000e+01,1.000000e+01,8.334398e-02,3.499997e+03,4.169740e+00,2.102616e-01,3.002102e+01,2.276281e+07,1.954987e+07,3.085041e+07,1.453581e+07,1.883644e+07,2.247448e-62,4.939280e+01,4.939280e+01,6.312885e+01,3.125034e+05,3.125665e+05,3.335507e+02,7.342003e+01,4.069707e+02,5.937466e+01,9.404217e+06,9.404276e+06,3.729587e+01,1.102271e-04,4.724536e-03,7.795485e-03,3.730850e+01,1.078745e-02,5.294167e-05,1.084039e-02
1.128175e+00,1.159976e+00,1.233541e+08,2.122488e+07,1.908610e+07,6.324404e+01,2.272858e+00,8.878300e-01,8.600946e+00,3.000000e+01,1.000000e+01,8.411714e-02,3.499998e+03,4.169740e+00,2.102569e-01,3.000763e+01,2.631590e+07,2.354084e+07,3.598278e+07,1.733352e+07,2.018101e+07,2.804003e-63,6.155681e+01,6.155681e+01,7.815230e+01,3.868732e+05,3.869514e+05,4.129294e+02,9.089258e+01,5.038219e+02,7.350469e+01,1.153523e+07,1.153530e+07,4.617156e+01,1.364590e-04,5.848885e-03,9.650660e-03,4.618720e+01,1.335465e-02,6.553930e-05,1.342019e-02
1.345048e+00,1.131342e+00,1.393192e+08,2.509207e+07,2.267648e+07,6.429910e+01,2.273744e+00,8.958678e-01,8.771561e+00,3.000000e+01,1.000000e+01,8.461741e-02,3.499998e+03,4.169740e+00,2.102569e-01,3.000763e+01,2.977194e+07,2.753180e+07,4.047414e+07,2.013124e+07,2.141005e+07,1.369142e-65,7.370253e+01,7.370253e+01,9.317576e+01,4.612430e+05,4.613362e+05,4.923080e+02,1.083651e+02,6.006731e+02,8.763471e+01,1.367137e+07,1.367146e+07,5.504726e+01,1.626909e-04,6.973234e-03,1.150584e-02,5.506590e+01,1.592185e-02,7.813812e-05,1.599999e-02
1.561920e+00,1.108440e+00,1.545005e+08,2.894874e+07,2.626993e+07,6.520164e+01,2.274356e+00,9.014198e-01,8.896550e+00,3.000000e+01,1.000000e+01,8.496547e-02,3.499997e+03,4.169740e+00,2.102616e-01,3.002102e+01,3.316940e+07,3.152277e+07,4.432449e+07,2.292895e+07,2.255488e+07,8.184101e-65,8.583681e+01,8.583681e+01,1.081992e+02,5.356128e+05,5.357210e+05,5.716866e+02,1.258377e+02,6.975243e+02,1.017647e+02,1.581068e+07,1.581078e+07,6.392296e+01,1.889228e-04,8.097583e-03,1.336101e-02,6.394461e+01,1.848906e-02,9.073896e-05,1.857980e-02
1.778793e+00,1.089254e+00,1.689383e+08,3.279453e+07,2.986539e+07,6.600042e+01,2.274802e+00,9.054701e-01,8.992045e+00,3.000000e+01,1.000000e+01,8.522068e-02,3.499997e+03,4.169741e+00,2.102616e-01,3.002107e+01,3.652884e+07,3.551373e+07,4.753383e+07,2.572666e+07,2.363528e+07,-1.200113e-59,9.796347e+01,9.796347e+01,1.232227e+02,6.099826e+05,6.101058e+05,6.510653e+02,1.433102e+02,7.943755e+02,1.158948e+02,1.795207e+07,1.795219e+07,7.279866e+01,2.151547e-04,9.221932e-03,1.521619e-02,7.282331e+01,2.105626e-02,1.033381e-04,2.115960e-02
1.995666e+00,1.072619e+00,1.826580e+08,3.662927e+07,3.346224e+07,6.672597e+01,2.275142e+00,9.085479e-01,9.067372e+00,3.000000e+01,1.000000e+01,8.541535e-02,3.499997e+03,4.169741e+00,2.102616e-01,3.002102e+01,3.986218e+07,3.950470e+07,5.010215e+07,2.852438e+07,2.466460e+07,0.000000e+00,1.100848e+02,1.100848e+02,1.382461e+02,6.843524e+05,6.844906e+05,7.304439e+02,1.607828e+02,8.912267e+02,1.300248e+02,2.009490e+07,2.009503e+07,8.167436e+01,2.413867e-04,1.034628e-02,1.707136e-02,8.170202e+01,2.362347e-02,1.159372e-04,2.373940e-02
