# system_capacity,LCOT_wo_revenue,Total CAPEX,Total OPEX,Total fixed OPEX,Opex_fraction,SEC,O3:TOC,HRT_ozone,EBCT_BAC,EBCT_GAC,Replacement_Frequency,UV dose,H2O2 dose,Cl dose,HRT_Cl,Ozone CAPEX,BAF CAPEX,UF CAPEX,GAC CAPEX,UV_AOP CAPEX,Cl CAPEX,Ozone electricity cost,Ozone flow cost total,BAF electricity cost,BAF activated_carbon cost,BAF flow cost total,UF electricity cost,UF membrane_replacement cost,UF flow cost total,GAC electricity cost,GAC activated_carbon cost,GAC flow cost total,UV_AOP electricity cost,UV_AOP lamp_replacement cost,UV_AOP hydrogen_peroxide cost,UV_AOP hypochlorite cost,UV_AOP flow cost total,Cl electricity cost,Cl chlorine cost,Cl flow cost total
4.381264e-02,2.463671e+00,2.638198e+07,1.179191e+06,8.274312e+05,4.072669e+01,2.230108e+00,5.000000e-01,5.000000e+00,3.000000e+01,1.000000e+01,6.418091e-02,3.499998e+03,4.169740e+00,2.102572e-01,3.000845e+01,7.074610e+06,3.587087e+06,3.911980e+06,3.345954e+06,8.462346e+06,5.954686e-59,1.793923e+00,1.793923e+00,2.866428e+00,1.418952e+04,1.419239e+04,1.514521e+01,3.333711e+00,1.847892e+01,2.695967e+00,5.545035e+05,5.545062e+05,1.693455e+00,5.004968e-06,2.145222e-04,3.539616e-04,1.694029e+00,4.898145e-04,2.403818e-06,4.922184e-04
4.775577e-01,1.098341e+00,6.443523e+07,9.878136e+06,9.019000e+06,7.020838e+01,2.230108e+00,5.000000e-01,5.000000e+00,3.000000e+01,1.000000e+01,6.418091e-02,3.499998e+03,4.169740e+00,2.102572e-01,3.000845e+01,9.720999e+06,1.157141e+07,1.866824e+07,8.943066e+06,1.553150e+07,-7.115362e-63,1.955376e+01,1.955376e+01,3.124406e+01,1.546658e+05,1.546971e+05,1.650828e+02,3.633745e+01,2.014202e+02,2.938604e+01,6.044088e+06,6.044118e+06,1.845866e+01,5.455415e-05,2.338292e-03,3.858182e-03,1.846492e+01,5.338979e-03,2.620162e-05,5.365180e-03
9.113028e-01,1.012424e+00,9.616508e+07,1.849277e+07,1.721057e+07,7.472295e+01,2.230108e+00,5.000000e-01,5.000000e+00,3.000000e+01,1.000000e+01,6.418091e-02,3.499998e+03,4.169740e+00,2.102572e-01,3.000846e+01,1.236739e+07,1.955574e+07,3.085969e+07,1.454018e+07,1.884209e+07,-2.627435e-46,3.731359e+01,3.731359e+01,5.962169e+01,2.951421e+05,2.952017e+05,3.150203e+02,6.934118e+01,3.843615e+02,5.607611e+01,1.153367e+07,1.153373e+07,3.522387e+01,1.041033e-04,4.462062e-03,7.362402e-03,3.523580e+01,1.018814e-02,4.999942e-05,1.023814e-02
1.345048e+00,9.747472e-01,1.245939e+08,2.706339e+07,2.540214e+07,7.695371e+01,2.230108e+00,5.000000e-01,5.000000e+00,3.000000e+01,1.000000e+01,6.418091e-02,3.499998e+03,4.169740e+00,2.102572e-01,3.000845e+01,1.501378e+07,2.754006e+07,4.048631e+07,2.013729e+07,2.141648e+07,-2.848670e-65,5.507342e+01,5.507342e+01,8.799933e+01,4.356184e+05,4.357064e+05,4.649579e+02,1.023449e+02,5.673028e+02,8.276618e+01,1.702326e+07,1.702334e+07,5.198908e+01,1.536525e-04,6.585832e-03,1.086662e-02,5.200669e+01,1.503731e-02,7.379721e-05,1.511110e-02
1.778793e+00,9.506589e-01,1.501094e+08,3.559516e+07,3.359371e+07,7.847259e+01,2.230108e+00,5.000000e-01,5.000000e+00,3.000000e+01,1.000000e+01,6.418091e-02,3.499998e+03,4.169740e+00,2.102572e-01,3.000844e+01,1.766017e+07,3.552439e+07,4.754811e+07,2.573440e+07,2.364237e+07,1.659066e-60,7.283325e+01,7.283325e+01,1.163770e+02,5.760947e+05,5.762111e+05,6.148954e+02,1.353487e+02,7.502441e+02,1.094563e+02,2.251284e+07,2.251295e+07,6.875429e+01,2.032017e-04,8.709602e-03,1.437084e-02,6.877757e+01,1.988647e-02,9.759501e-05,1.998407e-02
2.212538e+00,9.323526e-01,1.728519e+08,4.408997e+07,4.178527e+07,7.967937e+01,2.230108e+00,5.000000e-01,5.000000e+00,3.000000e+01,1.000000e+01,6.418091e-02,3.499998e+03,4.169740e+00,2.102572e-01,3.000844e+01,2.030656e+07,4.350872e+07,5.204509e+07,3.133151e+07,2.566001e+07,4.690598e-59,9.059309e+01,9.059309e+01,1.447546e+02,7.165710e+05,7.167157e+05,7.648330e+02,1.683524e+02,9.331854e+02,1.361463e+02,2.800243e+07,2.800256e+07,8.551950e+01,2.527509e-04,1.083337e-02,1.787506e-02,8.554846e+01,2.473563e-02,1.213928e-04,2.485703e-02
2.646283e+00,9.170604e-01,1.928893e+08,5.254870e+07,4.997684e+07,8.072440e+01,2.230108e+00,5.000000e-01,5.000000e+00,3.000000e+01,1.000000e+01,6.418093e-02,3.499997e+03,4.169741e+00,2.102624e-01,3.002328e+01,2.295295e+07,5.149304e+07,5.397724e+07,3.692863e+07,2.753746e+07,-5.786362e-65,1.083529e+02,1.083529e+02,1.731322e+02,8.570473e+05,8.572204e+05,9.147706e+02,2.013561e+02,1.116127e+03,1.628364e+02,3.349201e+07,3.349218e+07,1.022847e+02,3.023001e-04,1.295714e-02,2.137929e-02,1.023193e+02,2.958480e-02,1.451942e-04,2.972999e-02
3.080028e+00,9.035454e-01,2.102603e+08,6.097188e+07,5.816841e+07,8.167742e+01,2.230108e+00,5.000000e-01,5.000001e+00,3.000000e+01,1.000000e+01,6.418093e-02,3.499997e+03,4.169741e+00,2.102624e-01,3.002328e+01,2.559934e+07,5.947737e+07,5.334458e+07,4.252574e+07,2.931331e+07,-4.069926e-65,1.261128e+02,1.261128e+02,2.015099e+02,9.975235e+05,9.977251e+05,1.064708e+03,2.343599e+02,1.299068e+03,1.895265e+02,3.898160e+07,3.898179e+07,1.190499e+02,3.518492e-04,1.508091e-02,2.488351e-02,1.190902e+02,3.443396e-02,1.689926e-04,3.460296e-02
3.513773e+00,8.915576e-01,2.236761e+08,6.934233e+07,6.635998e+07,8.255879e+01,2.230108e+00,5.000000e-01,5.000000e+00,3.000000e+01,1.000000e+01,6.418092e-02,3.499997e+03,4.169740e+00,2.102598e-01,3.001586e+01,2.824572e+07,6.746169e+07,4.886468e+07,4.812285e+07,3.098118e+07,-9.511058e-65,1.438726e+02,1.438726e+02,2.298875e+02,1.138000e+06,1.138230e+06,1.214646e+03,2.673636e+02,1.482009e+03,2.162165e+02,4.447118e+07,4.447140e+07,1.358151e+02,4.013984e-04,1.720468e-02,2.838773e-02,1.358611e+02,3.928313e-02,1.927883e-04,3.947592e-02
3.947519e+00,8.795697e-01,2.370919e+08,7.771277e+07,7.455155e+07,8.344015e+01,2.230108e+00,5.000000e-01,5.000000e+00,3.000000e+01,1.000000e+01,6.418091e-02,3.499998e+03,4.169740e+00,2.102572e-01,3.000845e+01,3.089211e+07,7.544602e+07,4.438478e+07,5.371996e+07,3.264905e+07,-1.495219e-64,1.616324e+02,1.616324e+02,2.582651e+02,1.278476e+06,1.278734e+06,1.364583e+03,3.003673e+02,1.664951e+03,2.429066e+02,4.996077e+07,4.996101e+07,1.525803e+02,4.509476e-04,1.932845e-02,3.189194e-02,1.526320e+02,4.413229e-02,2.165840e-04,4.434887e-02
