# system_capacity,LCOT_wo_revenue,Total CAPEX,Total OPEX,Total fixed OPEX,Opex_fraction,SEC,O3:TOC,HRT_ozone,EBCT_BAC,EBCT_GAC,Replacement_Frequency,UV dose,H2O2 dose,Cl dose,HRT_Cl,Ozone CAPEX,BAF CAPEX,UF CAPEX,GAC CAPEX,UV_AOP CAPEX,Cl CAPEX,Ozone electricity cost,Ozone flow cost total,BAF electricity cost,BAF activated_carbon cost,BAF flow cost total,UF electricity cost,UF membrane_replacement cost,UF flow cost total,GAC electricity cost,GAC activated_carbon cost,GAC flow cost total,UV_AOP electricity cost,UV_AOP lamp_replacement cost,UV_AOP hydrogen_peroxide cost,UV_AOP hypochlorite cost,UV_AOP flow cost total,Cl electricity cost,Cl chlorine cost,Cl flow cost total
4.381264e-02,2.436505e+00,2.639725e+07,1.146271e+06,7.943074e+05,4.003111e+01,2.240536e+00,5.946000e-01,5.000000e+00,3.000000e+01,1.000000e+01,6.838698e-02,3.499998e+03,4.169740e+00,2.102624e-01,3.002328e+01,7.089883e+06,3.587087e+06,3.911980e+06,3.345954e+06,8.462346e+06,-7.566632e-58,1.907059e+00,1.907059e+00,2.866428e+00,1.418952e+04,1.419239e+04,1.514521e+01,3.333710e+00,1.847892e+01,2.695966e+00,5.203994e+05,5.204021e+05,1.693455e+00,5.004968e-06,2.145222e-04,3.539616e-04,1.694029e+00,4.898145e-04,2.403877e-06,4.922184e-04
4.775577e-01,1.039820e+00,7.207946e+07,8.631215e+06,7.670156e+06,6.479849e+01,2.271525e+00,8.757356e-01,8.362997e+00,3.000000e+01,1.000000e+01,8.337232e-02,3.499998e+03,4.169740e+00,2.102572e-01,3.000845e+01,1.736525e+07,1.157141e+07,1.866823e+07,8.943062e+06,1.553150e+07,-1.429349e-60,2.445178e+01,2.445178e+01,3.124406e+01,1.546658e+05,1.546971e+05,1.650827e+02,3.633742e+01,2.014201e+02,2.938602e+01,4.652801e+06,4.652830e+06,1.845866e+01,5.455415e-05,2.338292e-03,3.858182e-03,1.846492e+01,5.338979e-03,2.620162e-05,5.365180e-03
9.113028e-01,9.389262e-01,1.091127e+08,1.585388e+07,1.439904e+07,6.907461e+01,2.275715e+00,9.137517e-01,9.200945e+00,3.000000e+01,1.000000e+01,8.574593e-02,3.499998e+03,4.169740e+00,2.102572e-01,3.000845e+01,2.531506e+07,1.955574e+07,3.085967e+07,1.454017e+07,1.884209e+07,1.424335e-65,4.760596e+01,4.760596e+01,5.962169e+01,2.951421e+05,2.952017e+05,3.150201e+02,6.934113e+01,3.843612e+02,5.607607e+01,8.632959e+06,8.633015e+06,3.522387e+01,1.041033e-04,4.462062e-03,7.362402e-03,3.523580e+01,1.018814e-02,4.999941e-05,1.023814e-02
1.345048e+00,8.951171e-01,1.421472e+08,2.304851e+07,2.115321e+07,7.136780e+01,2.276913e+00,9.246225e-01,9.512351e+00,3.000000e+01,1.000000e+01,8.644252e-02,3.499998e+03,4.169740e+00,2.102572e-01,3.000845e+01,3.256712e+07,2.754006e+07,4.048629e+07,2.013728e+07,2.141648e+07,7.000750e-61,7.066370e+01,7.066370e+01,8.799933e+01,4.356184e+05,4.357064e+05,4.649575e+02,1.023448e+02,5.673024e+02,8.276611e+01,1.263924e+07,1.263932e+07,5.198908e+01,1.536525e-04,6.585832e-03,1.086662e-02,5.200669e+01,1.503731e-02,7.379721e-05,1.511110e-02
1.778793e+00,8.677159e-01,1.720684e+08,3.020914e+07,2.791490e+07,7.296465e+01,2.277461e+00,9.295862e-01,9.674567e+00,3.000000e+01,1.000000e+01,8.676332e-02,3.499997e+03,4.169741e+00,2.102624e-01,3.002328e+01,3.961914e+07,3.552439e+07,4.754809e+07,2.573438e+07,2.364237e+07,8.741999e-61,9.369203e+01,9.369203e+01,1.163770e+02,5.760947e+05,5.762111e+05,6.148950e+02,1.353486e+02,7.502435e+02,1.094562e+02,1.665328e+07,1.665339e+07,6.875429e+01,2.032017e-04,8.709603e-03,1.437084e-02,6.877757e+01,1.988647e-02,9.759742e-05,1.998407e-02
2.212538e+00,8.473383e-01,1.991319e+08,3.733489e+07,3.467980e+07,7.424110e+01,2.277770e+00,9.323932e-01,9.774044e+00,3.000000e+01,1.000000e+01,8.694548e-02,3.499997e+03,4.169741e+00,2.102624e-01,3.002328e+01,4.658661e+07,4.350872e+07,5.204507e+07,3.133149e+07,2.566001e+07,1.448939e-62,1.167076e+02,1.167076e+02,1.447546e+02,7.165710e+05,7.167157e+05,7.648324e+02,1.683523e+02,9.331847e+02,1.361462e+02,2.067066e+07,2.067080e+07,8.551950e+01,2.527509e-04,1.083337e-02,1.787507e-02,8.554846e+01,2.473563e-02,1.213958e-04,2.485703e-02
2.646283e+00,8.306291e-01,2.234468e+08,4.442567e+07,4.144638e+07,7.534729e+01,2.277968e+00,9.341881e-01,9.841268e+00,3.000000e+01,1.000000e+01,8.706225e-02,3.499997e+03,4.169741e+00,2.102624e-01,3.002328e+01,5.351047e+07,5.149304e+07,5.397724e+07,3.692860e+07,2.753746e+07,5.598349e-62,1.397166e+02,1.397166e+02,1.731322e+02,8.570473e+05,8.572204e+05,9.147699e+02,2.013560e+02,1.116126e+03,1.628363e+02,2.468977e+07,2.468993e+07,1.022847e+02,3.023001e-04,1.295714e-02,2.137929e-02,1.023193e+02,2.958480e-02,1.451942e-04,2.972999e-02
3.080028e+00,8.160840e-01,2.450700e+08,5.148153e+07,4.821393e+07,7.635526e+01,2.278105e+00,9.354314e-01,9.889743e+00,3.000000e+01,1.000000e+01,8.714325e-02,3.499998e+03,4.169740e+00,2.102572e-01,3.000845e+01,6.040899e+07,5.947737e+07,5.334459e+07,4.252571e+07,2.931331e+07,0.000000e+00,1.627217e+02,1.627217e+02,2.015099e+02,9.975235e+05,9.977251e+05,1.064707e+03,2.343597e+02,1.299067e+03,1.895263e+02,2.870988e+07,2.871007e+07,1.190499e+02,3.518492e-04,1.508091e-02,2.488350e-02,1.190902e+02,3.443396e-02,1.689884e-04,3.460295e-02
3.513773e+00,8.029257e-01,2.640347e+08,5.850257e+07,5.498211e+07,7.730418e+01,2.278205e+00,9.363417e-01,9.926338e+00,3.000000e+01,1.000000e+01,8.720263e-02,3.499998e+03,4.169740e+00,2.102572e-01,3.000845e+01,6.729134e+07,6.746169e+07,5.014712e+07,4.812281e+07,3.101177e+07,9.115745e-64,1.857243e+02,1.857243e+02,2.298875e+02,1.138000e+06,1.138230e+06,1.214645e+03,2.673634e+02,1.482008e+03,2.162164e+02,3.273065e+07,3.273087e+07,1.358151e+02,4.013984e-04,1.720468e-02,2.838772e-02,1.358611e+02,3.928313e-02,1.927862e-04,3.947591e-02
3.947519e+00,7.907111e-01,2.803627e+08,6.548888e+07,6.175071e+07,7.821728e+01,2.278282e+00,9.370363e-01,9.954947e+00,3.000000e+01,1.000000e+01,8.724799e-02,3.499998e+03,4.169740e+00,2.102572e-01,3.000845e+01,7.416284e+07,7.544602e+07,4.438483e+07,5.371992e+07,3.264905e+07,-4.193243e-62,2.087252e+02,2.087252e+02,2.582651e+02,1.278476e+06,1.278734e+06,1.364582e+03,3.003671e+02,1.664949e+03,2.429064e+02,3.675185e+07,3.675209e+07,1.525803e+02,4.509476e-04,1.932845e-02,3.189194e-02,1.526320e+02,4.413229e-02,2.165840e-04,4.434887e-02
