# system_capacity,effluent_toc_limit,flowrate_MGD,LCOW,Total CAPEX (MGD),Total OPEX (MGD/year),SEC,Ozone_CAPEX_frac,Ozone_OPEX_frac,BAF_CAPEX_frac,BAF_OPEX_frac,UF_CAPEX_frac,UF_OPEX_frac,GAC_CAPEX_frac,GAC_OPEX_frac,UV_AOP_CAPEX_frac,UV_AOP_OPEX_frac,Cl_CAPEX_frac,Cl_OPEX_frac,Total_Opex_frac
2.190630e-01,5.000000e-01,5.000000e+00,2.453187e+00,5.585269e+01,8.196313e+00,2.285222e+00,7.923225e+00,2.170005e+00,4.942125e+00,2.356174e+00,7.386548e+00,7.444969e+00,4.067549e+00,4.336545e+01,9.123539e+00,2.904995e+00,7.084066e+00,1.231350e+00,5.947295e+01
2.190630e-01,5.750000e-01,5.000000e+00,2.353594e+00,5.585269e+01,7.636818e+00,2.285222e+00,8.258498e+00,2.261829e+00,5.151252e+00,2.455876e+00,7.699112e+00,7.760004e+00,4.239668e+00,4.096895e+01,9.509603e+00,3.027921e+00,7.383830e+00,1.283455e+00,5.775804e+01
2.190630e-01,6.500000e-01,5.000000e+00,2.276370e+00,5.585269e+01,7.202988e+00,2.285222e+00,8.538660e+00,2.338560e+00,5.326003e+00,2.539189e+00,7.960297e+00,8.023255e+00,4.383495e+00,3.896638e+01,9.832208e+00,3.130640e+00,7.634319e+00,1.326995e+00,5.632502e+01
2.190630e-01,7.250000e-01,5.000000e+00,2.214622e+00,5.585269e+01,6.856100e+00,2.285222e+00,8.776734e+00,2.403763e+00,5.474502e+00,2.609986e+00,8.182245e+00,8.246959e+00,4.505715e+00,3.726465e+01,1.010635e+01,3.217928e+00,7.847178e+00,1.363994e+00,5.510728e+01
2.190630e-01,8.000000e-01,5.000000e+00,2.163963e+00,5.585269e+01,6.571502e+00,2.285222e+00,8.982203e+00,2.460037e+00,5.602664e+00,2.671088e+00,8.373796e+00,8.440025e+00,4.611197e+00,3.579597e+01,1.034294e+01,3.293262e+00,8.030886e+00,1.395926e+00,5.405631e+01
2.190630e-01,8.750000e-01,5.000000e+00,2.121459e+00,5.585269e+01,6.332727e+00,2.285222e+00,9.162160e+00,2.509323e+00,5.714912e+00,2.724603e+00,8.541564e+00,8.609119e+00,4.703581e+00,3.450966e+01,1.055016e+01,3.359242e+00,8.191783e+00,1.423893e+00,5.313584e+01
2.190630e-01,9.500000e-01,5.000000e+00,2.085076e+00,5.585269e+01,6.128330e+00,2.285222e+00,9.322035e+00,2.553110e+00,5.814635e+00,2.772146e+00,8.690610e+00,8.759345e+00,4.785657e+00,3.336688e+01,1.073426e+01,3.417860e+00,8.334726e+00,1.448740e+00,5.231808e+01
2.190630e-01,1.025000e+00,5.000000e+00,2.053349e+00,5.585269e+01,5.950098e+00,2.285222e+00,9.466070e+00,2.592558e+00,5.904476e+00,2.814978e+00,8.824889e+00,8.894685e+00,4.859600e+00,3.233733e+01,1.090011e+01,3.470669e+00,8.463505e+00,1.471124e+00,5.158135e+01
2.190630e-01,1.100000e+00,5.000000e+00,2.025202e+00,5.585269e+01,5.791974e+00,2.285222e+00,9.597631e+00,2.628590e+00,5.986538e+00,2.854101e+00,8.947539e+00,9.018305e+00,4.927139e+00,3.139694e+01,1.105161e+01,3.518905e+00,8.581133e+00,1.491570e+00,5.090841e+01
2.190630e-01,1.175000e+00,5.000000e+00,1.999824e+00,5.585269e+01,5.649401e+00,2.285222e+00,9.719429e+00,2.661948e+00,6.062510e+00,2.890321e+00,9.061087e+00,9.132752e+00,4.989667e+00,3.052634e+01,1.119186e+01,3.563562e+00,8.690031e+00,1.510499e+00,5.028542e+01
2.190630e-01,1.250000e+00,5.000000e+00,1.976591e+00,5.585269e+01,5.518887e+00,2.285222e+00,9.833668e+00,2.693235e+00,6.133766e+00,2.924293e+00,9.167588e+00,9.240094e+00,5.048314e+00,2.970977e+01,1.132340e+01,3.605447e+00,8.792170e+00,1.528253e+00,4.970109e+01
2.190630e-01,1.325000e+00,5.000000e+00,1.955025e+00,5.585269e+01,5.397730e+00,2.285222e+00,9.942147e+00,2.722945e+00,6.201430e+00,2.956552e+00,9.268719e+00,9.342025e+00,5.104003e+00,2.893437e+01,1.144831e+01,3.645220e+00,8.889160e+00,1.545111e+00,4.914623e+01
2.190630e-01,1.400000e+00,5.000000e+00,1.934748e+00,5.585270e+01,5.283822e+00,2.285222e+00,1.004634e+01,2.751482e+00,6.266421e+00,2.987536e+00,9.365854e+00,9.439929e+00,5.157493e+00,2.818961e+01,1.156829e+01,3.683422e+00,8.982318e+00,1.561304e+00,4.861328e+01
2.190630e-01,1.475000e+00,5.000000e+00,1.915470e+00,5.585270e+01,5.175522e+00,2.285222e+00,1.014745e+01,2.779173e+00,6.329488e+00,3.017604e+00,9.460115e+00,9.534936e+00,5.209400e+00,2.746689e+01,1.168472e+01,3.720493e+00,9.072719e+00,1.577017e+00,4.809611e+01
2.190630e-01,1.550000e+00,5.000000e+00,1.896964e+00,5.585270e+01,5.071559e+00,2.285222e+00,1.024644e+01,2.806286e+00,6.391235e+00,3.047042e+00,9.552403e+00,9.627954e+00,5.260220e+00,2.675929e+01,1.179871e+01,3.756789e+00,9.161228e+00,1.592402e+00,4.758976e+01
