# system_capacity,flowrate_MGD,LCOW,Total CAPEX (MGD),Total OPEX (MGD/year),SEC,Ozone_CAPEX_frac,Ozone_OPEX_frac,BAF_CAPEX_frac,BAF_OPEX_frac,UF_CAPEX_frac,UF_OPEX_frac,UV_AOP_CAPEX_frac,UV_AOP_OPEX_frac,Cl_CAPEX_frac,Cl_OPEX_frac,RO_CAPEX_frac,RO_OPEX_frac,brine_frac,Total_Opex_frac
4.381260e-02,1.000000e+00,6.401684e+00,4.562930e+01,1.211903e+00,3.331321e+00,2.380618e+01,4.492842e+00,5.967217e+00,1.722286e+00,6.507681e+00,3.955622e+00,1.405481e+01,2.996510e+00,1.963472e+01,3.405551e+00,5.957769e+00,3.593581e+00,3.905235e+00,2.016639e+01
2.606850e-01,5.950000e+00,2.401323e+00,8.107063e+01,3.909156e+00,3.331321e+00,1.323447e+01,3.268248e+00,5.649145e+00,2.812707e+00,8.653965e+00,9.037728e+00,9.739398e+00,3.180538e+00,7.283847e+00,1.266056e+00,1.588281e+01,9.580123e+00,1.041096e+01,2.914540e+01
4.775573e-01,1.090000e+01,2.015008e+00,1.139543e+02,6.519012e+00,3.286558e+00,1.032872e+01,2.956588e+00,5.637173e+00,3.172453e+00,9.094486e+00,1.060173e+01,7.468921e+00,3.072889e+00,4.427622e+00,7.714311e-01,1.857418e+01,1.119273e+01,1.270108e+01,3.176782e+01
6.944297e-01,1.585000e+01,1.861786e+00,1.455789e+02,9.092350e+00,3.259127e+00,8.964554e+00,2.819902e+00,5.660690e+00,3.364525e+00,9.123602e+00,1.137971e+01,6.191963e+00,2.997801e+00,3.151865e+00,5.505418e-01,1.987232e+01,1.196761e+01,1.395492e+01,3.308009e+01
9.113021e-01,2.080000e+01,1.776425e+00,1.763562e+02,1.164882e+01,3.243517e+00,8.175158e+00,2.746269e+00,5.690828e+00,3.488823e+00,8.980334e+00,1.184443e+01,5.366122e+00,2.947074e+00,2.432341e+00,4.259816e-01,2.069129e+01,1.245633e+01,1.475502e+01,3.390891e+01
1.128174e+00,2.575000e+01,1.720154e+00,2.063523e+02,1.418993e+01,3.233085e+00,7.665627e+00,2.703107e+00,5.723495e+00,3.579566e+00,8.748511e+00,1.215404e+01,4.785080e+00,2.912301e+00,1.972837e+00,3.464494e-01,2.127502e+01,1.280461e+01,1.532936e+01,3.450007e+01
1.345047e+00,3.070000e+01,1.679051e+00,2.356005e+02,1.671641e+01,3.225385e+00,7.313511e+00,2.677010e+00,5.757357e+00,3.651256e+00,8.463817e+00,1.237529e+01,4.352379e+00,2.888259e+00,1.655208e+00,2.914847e-01,2.172575e+01,1.307351e+01,1.577516e+01,3.495681e+01
1.561919e+00,3.565000e+01,1.646872e+00,2.641207e+02,1.922866e+01,3.219305e+00,7.058787e+00,2.661452e+00,5.791903e+00,3.711112e+00,8.144056e+00,1.254132e+01,4.016767e+00,2.871760e+00,1.423216e+00,2.513485e-01,2.209409e+01,1.329323e+01,1.614097e+01,3.533021e+01
1.778792e+00,4.060000e+01,1.620392e+00,2.919252e+02,2.172694e+01,3.214262e+00,6.868570e+00,2.652881e+00,5.826919e+00,3.763145e+00,7.799119e+00,1.267048e+01,3.748403e+00,2.860777e+00,1.246750e+00,2.208267e-01,2.240793e+01,1.348042e+01,1.645379e+01,3.564852e+01
1.995664e+00,4.555000e+01,1.597779e+00,3.190228e+02,2.421143e+01,3.209926e+00,6.723325e+00,2.649196e+00,5.862312e+00,3.809762e+00,7.434926e+00,1.277377e+01,3.528676e+00,2.853970e+00,1.108264e+00,1.968812e-01,2.268402e+01,1.364508e+01,1.672982e+01,3.592866e+01
