# toc conc,flowrate_MGD,LCOW,Total CAPEX (MGD),Total OPEX (MGD/year),SEC,Ozone_CAPEX_frac,Ozone_OPEX_frac,BAF_CAPEX_frac,BAF_OPEX_frac,UF_CAPEX_frac,UF_OPEX_frac,UV_AOP_CAPEX_frac,UV_AOP_OPEX_frac,Cl_CAPEX_frac,Cl_OPEX_frac,RO_CAPEX_frac,RO_OPEX_frac,brine_frac,Total_Opex_frac
7.000000e-03,2.500000e+01,1.592259e+00,1.782258e+02,1.285601e+01,3.177976e+00,3.877338e+00,1.937413e+00,5.525757e+00,3.421051e+00,9.561457e+00,1.318066e+01,4.399252e+00,2.248773e+00,2.211174e+00,3.881261e-01,2.277323e+01,1.369911e+01,1.677666e+01,3.487513e+01
7.650000e-03,2.500000e+01,1.594359e+00,1.785073e+02,1.287961e+01,3.185558e+00,3.943079e+00,1.995387e+00,5.518193e+00,3.416368e+00,9.548368e+00,1.316262e+01,4.393306e+00,2.245785e+00,2.208132e+00,3.875923e-01,2.274719e+01,1.368359e+01,1.675039e+01,3.489134e+01
8.300000e-03,2.500000e+01,1.596458e+00,1.787887e+02,1.290321e+01,3.193139e+00,4.008641e+00,2.053202e+00,5.510650e+00,3.411698e+00,9.535315e+00,1.314462e+01,4.387375e+00,2.242805e+00,2.205097e+00,3.870599e-01,2.272123e+01,1.366811e+01,1.672420e+01,3.490749e+01
8.950000e-03,2.500000e+01,1.598558e+00,1.790702e+02,1.292682e+01,3.200720e+00,4.074023e+00,2.110859e+00,5.503127e+00,3.407041e+00,9.522297e+00,1.312668e+01,4.381461e+00,2.239833e+00,2.202071e+00,3.865291e-01,2.269533e+01,1.365267e+01,1.669808e+01,3.492360e+01
9.600000e-03,2.500000e+01,1.600657e+00,1.793516e+02,1.295042e+01,3.208301e+00,4.139228e+00,2.168359e+00,5.495625e+00,3.402396e+00,9.509315e+00,1.310878e+01,4.375562e+00,2.236869e+00,2.199054e+00,3.859996e-01,2.266951e+01,1.363727e+01,1.667204e+01,3.493967e+01
1.025000e-02,2.500000e+01,1.602757e+00,1.796330e+02,1.297402e+01,3.215881e+00,4.204254e+00,2.225702e+00,5.488144e+00,3.397764e+00,9.496367e+00,1.309093e+01,4.369680e+00,2.233913e+00,2.196044e+00,3.854716e-01,2.264375e+01,1.362191e+01,1.664608e+01,3.495569e+01
1.090000e-02,2.500000e+01,1.604856e+00,1.799144e+02,1.299762e+01,3.223461e+00,4.269104e+00,2.282890e+00,5.480682e+00,3.393145e+00,9.483456e+00,1.307313e+01,4.363813e+00,2.230964e+00,2.193043e+00,3.849451e-01,2.261805e+01,1.360659e+01,1.662018e+01,3.497166e+01
1.155000e-02,2.500000e+01,1.606955e+00,1.801958e+02,1.302122e+01,3.231042e+00,4.333778e+00,2.339922e+00,5.473241e+00,3.388538e+00,9.470579e+00,1.305538e+01,4.357962e+00,2.228024e+00,2.190049e+00,3.844200e-01,2.259243e+01,1.359131e+01,1.659437e+01,3.498759e+01
1.220000e-02,2.500000e+01,1.609054e+00,1.804772e+02,1.304481e+01,3.238621e+00,4.398277e+00,2.396800e+00,5.465820e+00,3.383944e+00,9.457737e+00,1.303767e+01,4.352127e+00,2.225091e+00,2.187064e+00,3.838963e-01,2.256687e+01,1.357607e+01,1.656862e+01,3.500348e+01
1.285000e-02,2.500000e+01,1.611153e+00,1.807586e+02,1.306841e+01,3.246201e+00,4.462600e+00,2.453523e+00,5.458420e+00,3.379362e+00,9.444929e+00,1.302002e+01,4.346308e+00,2.222167e+00,2.184087e+00,3.833740e-01,2.254138e+01,1.356087e+01,1.654295e+01,3.501932e+01
1.350000e-02,2.500000e+01,1.613252e+00,1.810399e+02,1.309201e+01,3.253781e+00,4.526750e+00,2.510094e+00,5.451039e+00,3.374792e+00,9.432157e+00,1.300241e+01,4.340504e+00,2.219250e+00,2.181118e+00,3.828531e-01,2.251596e+01,1.354572e+01,1.651736e+01,3.503512e+01
1.415000e-02,2.500000e+01,1.615351e+00,1.813213e+02,1.311561e+01,3.261360e+00,4.590727e+00,2.566511e+00,5.443678e+00,3.370235e+00,9.419419e+00,1.298485e+01,4.334716e+00,2.216341e+00,2.178158e+00,3.823337e-01,2.249060e+01,1.353060e+01,1.649183e+01,3.505087e+01
1.480000e-02,2.500000e+01,1.617450e+00,1.816027e+02,1.313920e+01,3.268939e+00,4.654531e+00,2.622776e+00,5.436337e+00,3.365690e+00,9.406715e+00,1.296734e+01,4.328943e+00,2.213439e+00,2.175205e+00,3.818156e-01,2.246531e+01,1.351552e+01,1.646638e+01,3.506658e+01
1.545000e-02,2.500000e+01,1.619548e+00,1.818840e+02,1.316280e+01,3.276518e+00,4.718163e+00,2.678890e+00,5.429016e+00,3.361157e+00,9.394045e+00,1.294987e+01,4.323186e+00,2.210545e+00,2.172260e+00,3.812990e-01,2.244009e+01,1.350048e+01,1.644100e+01,3.508224e+01
1.610000e-02,2.500000e+01,1.621647e+00,1.821653e+02,1.318639e+01,3.284096e+00,4.781624e+00,2.734853e+00,5.421714e+00,3.356637e+00,9.381409e+00,1.293245e+01,4.317444e+00,2.207659e+00,2.169323e+00,3.807837e-01,2.241493e+01,1.348547e+01,1.641570e+01,3.509786e+01
1.675000e-02,2.500000e+01,1.623745e+00,1.824467e+02,1.320999e+01,3.291674e+00,4.844914e+00,2.790665e+00,5.414432e+00,3.352129e+00,9.368808e+00,1.291508e+01,4.311718e+00,2.204781e+00,2.166394e+00,3.802699e-01,2.238984e+01,1.347051e+01,1.639046e+01,3.511344e+01
1.740000e-02,2.500000e+01,1.625843e+00,1.827280e+02,1.323358e+01,3.299253e+00,4.908035e+00,2.846328e+00,5.407170e+00,3.347632e+00,9.356240e+00,1.289775e+01,4.306007e+00,2.201910e+00,2.163473e+00,3.797574e-01,2.236481e+01,1.345559e+01,1.636530e+01,3.512897e+01
1.805000e-02,2.500000e+01,1.627941e+00,1.830093e+02,1.325718e+01,3.306830e+00,4.970987e+00,2.901841e+00,5.399927e+00,3.343148e+00,9.343706e+00,1.288047e+01,4.300311e+00,2.199047e+00,2.160559e+00,3.792462e-01,2.233984e+01,1.344070e+01,1.634021e+01,3.514446e+01
1.870000e-02,2.500000e+01,1.630039e+00,1.832906e+02,1.328077e+01,3.314408e+00,5.033770e+00,2.957206e+00,5.392703e+00,3.338676e+00,9.331205e+00,1.286324e+01,4.294630e+00,2.196191e+00,2.157654e+00,3.787365e-01,2.231494e+01,1.342586e+01,1.631519e+01,3.515991e+01
1.935000e-02,2.500000e+01,1.632137e+00,1.835719e+02,1.330436e+01,3.321986e+00,5.096385e+00,3.012423e+00,5.385498e+00,3.334216e+00,9.318737e+00,1.284605e+01,4.288964e+00,2.193343e+00,2.154756e+00,3.782281e-01,2.229011e+01,1.341105e+01,1.629024e+01,3.517531e+01
2.000000e-02,2.500000e+01,1.634235e+00,1.838532e+02,1.332796e+01,3.329563e+00,5.158833e+00,3.067493e+00,5.378313e+00,3.329767e+00,9.306303e+00,1.282891e+01,4.283313e+00,2.190502e+00,2.151866e+00,3.777211e-01,2.226534e+01,1.339628e+01,1.626536e+01,3.519067e+01
