# system_capacity,flowrate_MGD,LCOW,Total CAPEX (MGD),Total OPEX (MGD/year),SEC,Ozone_CAPEX_frac,Ozone_OPEX_frac,BAF_CAPEX_frac,BAF_OPEX_frac,UF_CAPEX_frac,UF_OPEX_frac,UV_AOP_CAPEX_frac,UV_AOP_OPEX_frac,Cl_CAPEX_frac,Cl_OPEX_frac,RO_CAPEX_frac,RO_OPEX_frac,brine_frac,Total_Opex_frac
4.381260e-02,1.000000e+00,5.358935e+00,3.878707e+01,1.076843e+00,3.331322e+00,1.817061e+01,3.586778e+00,6.924253e+00,1.922477e+00,7.773957e+00,4.725314e+00,1.366040e+01,2.810038e+00,2.345526e+01,4.068208e+00,7.117040e+00,4.292824e+00,1.492839e+00,2.140564e+01
1.522488e-01,3.475000e+00,2.503080e+00,5.491479e+01,2.333123e+00,3.251515e+00,1.265214e+01,3.135863e+00,6.454588e+00,2.678207e+00,9.684388e+00,8.973172e+00,1.147851e+01,2.935484e+00,1.283766e+01,2.228879e+00,1.473384e+01,8.871544e+00,3.335721e+00,2.882315e+01
2.606850e-01,5.950000e+00,2.007799e+00,6.971170e+01,3.523444e+00,3.153663e+00,1.033049e+01,2.980544e+00,6.344962e+00,3.068294e+00,1.057220e+01,1.104103e+01,9.691559e+00,2.858833e+00,8.920391e+00,1.550425e+00,1.763589e+01,1.059344e+01,4.411936e+00,3.209257e+01
3.691212e-01,8.425000e+00,1.797330e+00,8.417494e+01,4.705003e+00,3.108601e+00,9.000038e+00,2.897946e+00,6.298536e+00,3.305288e+00,1.100572e+01,1.226262e+01,8.437548e+00,2.779405e+00,6.803274e+00,1.183788e+00,1.934232e+01,1.160431e+01,5.079209e+00,3.403336e+01
4.775573e-01,1.090000e+01,1.679113e+00,9.838036e+01,5.880619e+00,3.082224e+00,8.138484e+00,2.848683e+00,6.279282e+00,3.467622e+00,1.121531e+01,1.307405e+01,7.524055e+00,2.713703e+00,5.478781e+00,9.544360e-01,2.048580e+01,1.228111e+01,5.538678e+00,3.533961e+01
5.859935e-01,1.337500e+01,1.602385e+00,1.123595e+02,7.051328e+00,3.064656e+00,7.536560e+00,2.817517e+00,6.274145e+00,3.587858e+00,1.129727e+01,1.365494e+01,6.830058e+00,2.660848e+00,4.574107e+00,7.977941e-01,2.131737e+01,1.277303e+01,5.878507e+00,3.629199e+01
6.944297e-01,1.585000e+01,1.547897e+00,1.261288e+02,8.217627e+00,3.051952e+00,7.093624e+00,2.797276e+00,6.277260e+00,3.681989e+00,1.129905e+01,1.409311e+01,6.284414e+00,2.618220e+00,3.918383e+00,6.842669e-01,2.195758e+01,1.315161e+01,6.143220e+00,3.702647e+01
8.028659e-01,1.832500e+01,1.506730e+00,1.396981e+02,9.379794e+00,3.042222e+00,6.755176e+00,2.784144e+00,6.285608e+00,3.758811e+00,1.124683e+01,1.443669e+01,5.843555e+00,2.583547e+00,3.422191e+00,5.983676e-01,2.247179e+01,1.345558e+01,6.357706e+00,3.761714e+01
9.113021e-01,2.080000e+01,1.474179e+00,1.530739e+02,1.053800e+01,3.034443e+00,6.489111e+00,2.775899e+00,6.297490e+00,3.823565e+00,1.115623e+01,1.471429e+01,5.479482e+00,2.555097e+00,3.034224e+00,5.312105e-01,2.289859e+01,1.370783e+01,6.536970e+00,3.810789e+01
1.019738e+00,2.327500e+01,1.447525e+00,1.662607e+02,1.169236e+01,3.028016e+00,6.275276e+00,2.771163e+00,6.311875e+00,3.879575e+00,1.103719e+01,1.494402e+01,5.173418e+00,2.531584e+00,2.722961e+00,4.773364e-01,2.326227e+01,1.392273e+01,6.690598e+00,3.852641e+01
