# system_capacity,flowrate_MGD,LCOW,Total CAPEX (MGD),Total OPEX (MGD/year),SEC,Ozone_CAPEX_frac,Ozone_OPEX_frac,BAF_CAPEX_frac,BAF_OPEX_frac,UF_CAPEX_frac,UF_OPEX_frac,UV_AOP_CAPEX_frac,UV_AOP_OPEX_frac,Cl_CAPEX_frac,Cl_OPEX_frac,RO_CAPEX_frac,RO_OPEX_frac,brine_frac,Total_Opex_frac
2.190630e-01,5.000000e+00,2.258516e+00,6.311403e+01,3.115961e+00,3.331317e+00,8.060621e+00,2.432739e+00,5.940800e+00,2.742980e+00,9.602900e+00,9.678851e+00,9.643059e+00,2.719604e+00,9.402633e+00,1.633621e+00,1.688706e+01,1.018586e+01,1.106928e+01,2.939365e+01
3.231179e-01,7.375000e+00,2.007385e+00,7.770158e+01,4.301280e+00,3.287861e+00,6.774089e+00,2.344528e+00,5.760294e+00,2.934838e+00,9.906096e+00,1.077544e+01,8.182835e+00,2.597486e+00,6.889119e+00,1.198233e+00,1.865494e+01,1.124171e+01,1.274039e+01,3.109224e+01
4.271728e-01,9.750000e+00,1.875213e+00,9.203857e+01,5.481048e+00,3.264034e+00,5.984749e+00,2.293478e+00,5.657402e+00,3.058993e+00,1.002430e+01,1.146025e+01,7.170003e+00,2.504954e+00,5.408469e+00,9.417747e-01,1.977071e+01,1.190775e+01,1.381717e+01,3.216720e+01
5.312278e-01,1.212500e+01,1.792572e+00,1.061626e+02,6.656453e+00,3.248855e+00,5.451867e+00,2.261292e+00,5.593767e+00,3.147590e+00,1.004417e+01,1.192981e+01,6.426213e+00,2.434163e+00,4.435857e+00,7.733236e-01,2.055084e+01,1.237332e+01,1.457778e+01,3.291950e+01
6.352827e-01,1.450000e+01,1.735311e+00,1.200910e+02,7.827943e+00,3.238208e+00,5.068718e+00,2.240002e+00,5.552752e+00,3.215180e+00,1.000517e+01,1.227253e+01,5.855613e+00,2.378785e+00,3.750054e+00,6.545545e-01,2.113446e+01,1.272155e+01,1.515063e+01,3.348260e+01
7.393376e-01,1.687500e+01,1.692805e+00,1.338342e+02,8.995765e+00,3.230233e+00,4.780626e+00,2.225571e+00,5.525948e+00,3.269310e+00,9.927831e+00,1.253411e+01,5.403026e+00,2.334549e+00,3.241655e+00,5.665147e-01,2.159295e+01,1.299509e+01,1.560282e+01,3.392515e+01
8.433925e-01,1.925000e+01,1.659645e+00,1.473988e+02,1.016007e+01,3.223967e+00,4.556669e+00,2.215737e+00,5.508652e+00,3.314295e+00,9.823940e+00,1.274059e+01,5.034576e+00,2.298593e+00,2.850422e+00,4.987698e-01,2.196677e+01,1.321810e+01,1.597289e+01,3.428608e+01
9.474475e-01,2.162500e+01,1.632780e+00,1.607892e+02,1.132097e+01,3.218861e+00,4.378034e+00,2.209136e+00,5.498034e+00,3.352782e+00,9.700737e+00,1.290790e+01,4.728322e+00,2.268951e+00,2.540503e+00,4.451092e-01,2.228063e+01,1.340532e+01,1.628455e+01,3.458919e+01
1.051502e+00,2.400000e+01,1.610361e+00,1.740090e+02,1.247853e+01,3.214578e+00,4.232618e+00,2.204894e+00,5.492287e+00,3.386488e+00,9.562929e+00,1.304636e+01,4.469417e+00,2.244234e+00,2.289249e+00,4.016097e-01,2.255047e+01,1.356627e+01,1.655318e+01,3.484985e+01
1.155557e+00,2.637500e+01,1.591200e+00,1.870605e+02,1.363280e+01,3.210901e+00,4.112280e+00,2.202429e+00,5.490207e+00,3.416576e+00,9.413707e+00,1.316293e+01,4.247442e+00,2.223440e+00,2.081662e+00,3.656736e-01,2.278705e+01,1.370738e+01,1.678922e+01,3.507843e+01
1.259612e+00,2.875000e+01,1.574499e+00,1.999457e+02,1.478383e+01,3.207683e+00,4.011343e+00,2.201339e+00,5.490961e+00,3.443862e+00,9.255315e+00,1.326252e+01,4.054865e+00,2.205823e+00,1.907427e+00,3.355143e-01,2.299790e+01,1.383313e+01,1.700000e+01,3.528219e+01
1.363667e+00,3.112500e+01,1.559701e+00,2.126661e+02,1.593164e+01,3.204820e+00,3.925726e+00,2.201333e+00,5.493953e+00,3.468937e+00,9.089374e+00,1.334863e+01,3.886098e+00,2.190820e+00,1.759223e+00,3.098633e-01,2.318844e+01,1.394677e+01,1.719083e+01,3.546635e+01
1.467722e+00,3.350000e+01,1.546405e+00,2.252228e+02,1.707627e+01,3.202239e+00,3.852419e+00,2.202202e+00,5.498750e+00,3.492240e+00,8.917086e+00,1.342389e+01,3.736906e+00,2.177995e+00,1.631709e+00,2.877958e-01,2.336269e+01,1.405068e+01,1.736564e+01,3.563480e+01
1.571777e+00,3.587500e+01,1.534318e+00,2.376170e+02,1.821772e+01,3.199884e+00,3.789156e+00,2.203787e+00,5.505025e+00,3.514101e+00,8.739362e+00,1.349026e+01,3.604015e+00,2.167007e+00,1.520903e+00,2.686223e-01,2.352368e+01,1.414668e+01,1.752740e+01,3.579046e+01
1.675832e+00,3.825000e+01,1.523217e+00,2.498494e+02,1.935602e+01,3.197714e+00,3.734195e+00,2.205966e+00,5.512529e+00,3.534777e+00,8.556901e+00,1.354926e+01,3.484854e+00,2.157586e+00,1.423778e+00,2.518180e-01,2.367375e+01,1.423617e+01,1.767841e+01,3.593558e+01
1.779887e+00,4.062500e+01,1.512930e+00,2.619207e+02,2.049117e+01,3.195697e+00,3.686179e+00,2.208646e+00,5.521070e+00,3.554468e+00,8.370252e+00,1.360210e+01,3.377374e+00,2.149511e+00,1.337989e+00,2.369771e-01,2.381473e+01,1.432024e+01,1.782046e+01,3.607194e+01
1.883942e+00,4.300000e+01,1.503326e+00,2.738315e+02,2.162320e+01,3.193808e+00,3.644032e+00,2.211752e+00,5.530497e+00,3.573336e+00,8.179850e+00,1.364971e+01,3.279922e+00,2.142606e+00,1.261696e+00,2.237808e-01,2.394807e+01,1.439974e+01,1.795500e+01,3.620093e+01
1.987997e+00,4.537500e+01,1.494298e+00,2.855824e+02,2.275211e+01,3.192027e+00,3.606890e+00,2.215226e+00,5.540689e+00,3.591508e+00,7.986041e+00,1.369286e+01,3.191146e+00,2.136723e+00,1.193431e+00,2.119751e-01,2.407495e+01,1.447539e+01,1.808318e+01,3.632368e+01
2.092052e+00,4.775000e+01,1.485761e+00,2.971737e+02,2.387791e+01,3.190338e+00,3.574053e+00,2.219020e+00,5.551548e+00,3.609090e+00,7.789109e+00,1.373216e+01,3.109933e+00,2.131739e+00,1.132015e+00,2.013555e-01,2.419630e+01,1.454775e+01,1.820593e+01,3.644111e+01
2.196107e+00,5.012500e+01,1.477830e+00,3.085263e+02,2.499905e+01,3.188763e+00,3.546574e+00,2.223219e+00,5.563256e+00,3.625953e+00,7.587933e+00,1.376668e+01,3.038283e+00,2.127909e+00,1.079033e+00,1.921966e-01,2.431088e+01,1.461606e+01,1.832203e+01,3.655201e+01
2.300161e+00,5.250000e+01,1.469899e+00,3.198790e+02,2.612020e+01,3.187187e+00,3.519096e+00,2.227419e+00,5.574964e+00,3.642816e+00,7.386756e+00,1.380119e+01,2.966632e+00,2.124079e+00,1.026050e+00,1.830376e-01,2.442546e+01,1.468437e+01,1.843812e+01,3.666291e+01
2.404216e+00,5.487500e+01,1.462469e+00,3.309938e+02,2.723670e+01,3.185705e+00,3.496104e+00,2.231965e+00,5.587403e+00,3.659093e+00,7.181681e+00,1.383169e+01,2.903104e+00,2.121242e+00,9.800533e-01,1.750885e-01,2.453447e+01,1.474936e+01,1.854875e+01,3.676844e+01
2.508271e+00,5.725000e+01,1.455320e+00,3.419502e+02,2.835011e+01,3.184276e+00,3.475637e+00,2.236712e+00,5.600265e+00,3.675050e+00,6.974192e+00,1.385994e+01,2.844209e+00,2.118978e+00,9.379448e-01,1.678128e-01,2.464039e+01,1.481250e+01,1.865637e+01,3.687099e+01
2.612326e+00,5.962500e+01,1.448417e+00,3.527485e+02,2.946044e+01,3.182892e+00,3.457411e+00,2.241640e+00,5.613514e+00,3.690732e+00,6.764397e+00,1.388618e+01,2.789465e+00,2.117234e+00,8.992618e-01,1.611305e-01,2.474363e+01,1.487404e+01,1.876136e+01,3.697096e+01
2.716381e+00,6.200000e+01,1.441733e+00,3.633890e+02,3.056769e+01,3.181550e+00,3.441187e+00,2.246734e+00,5.627116e+00,3.706175e+00,6.552389e+00,1.391064e+01,2.738455e+00,2.115963e+00,8.636114e-01,1.549734e-01,2.484451e+01,1.493418e+01,1.886407e+01,3.706867e+01
2.820436e+00,6.437500e+01,1.435245e+00,3.738718e+02,3.167186e+01,3.180243e+00,3.426757e+00,2.251981e+00,5.641044e+00,3.721411e+00,6.338246e+00,1.393349e+01,2.690819e+00,2.115123e+00,8.306580e-01,1.492834e-01,2.494333e+01,1.499309e+01,1.896476e+01,3.716438e+01
