# system_capacity,tds conc,flowrate_MGD,LCOW,Total CAPEX (MGD),Total OPEX (MGD/year),SEC,Ozone_CAPEX_frac,Ozone_OPEX_frac,BAF_CAPEX_frac,BAF_OPEX_frac,UF_CAPEX_frac,UF_OPEX_frac,UV_AOP_CAPEX_frac,UV_AOP_OPEX_frac,Cl_CAPEX_frac,Cl_OPEX_frac,RO_CAPEX_frac,RO_OPEX_frac,brine_frac,Total_Opex_frac
4.381260e-02,5.000000e-01,1.000000e+00,4.054046e+00,2.698755e+01,8.722562e-01,3.331322e+00,2.401925e+01,4.741266e+00,9.152984e+00,2.541270e+00,1.027619e+01,6.246266e+00,1.805731e+01,3.714514e+00,3.772370e-66,1.862064e-03,9.407825e+00,5.674570e+00,6.166698e+00,2.291975e+01
4.381260e-02,1.250000e+00,1.000000e+00,4.073329e+00,2.708701e+01,8.783919e-01,3.368173e+00,2.391897e+01,4.721473e+00,9.114773e+00,2.530661e+00,1.023332e+01,6.220229e+00,1.797953e+01,3.698265e+00,-6.116948e-54,1.853249e-03,9.631179e+00,5.812134e+00,6.137609e+00,2.298462e+01
4.381260e-02,2.000000e+00,1.000000e+00,4.092488e+00,2.718566e+01,8.844727e-01,3.404954e+00,2.382036e+01,4.702007e+00,9.077195e+00,2.520228e+00,1.019116e+01,6.194624e+00,1.790302e+01,3.682280e+00,0.000000e+00,1.844534e-03,9.850888e+00,5.947332e+00,6.109065e+00,2.304832e+01
4.775573e-01,5.000000e-01,1.090000e+01,2.834223e+00,8.921428e+01,5.848287e+00,3.272561e+00,1.489391e+01,3.604468e+00,7.375607e+00,2.970138e+00,1.009683e+01,9.663358e+00,1.148498e+01,3.015962e+00,1.886185e-66,3.268971e-03,1.594729e+01,9.601131e+00,1.134305e+01,2.885832e+01
4.775573e-01,1.250000e+00,1.090000e+01,1.778872e+00,9.389657e+01,6.013648e+00,3.294740e+00,7.505634e+00,2.627169e+00,5.791004e+00,3.197979e+00,1.034327e+01,1.205750e+01,6.985031e+00,2.541219e+00,-3.288154e-55,4.243550e-03,2.141445e+01,1.290076e+01,1.463174e+01,3.332887e+01
4.775573e-01,2.000000e+00,1.090000e+01,1.797493e+00,9.534227e+01,6.102750e+00,3.349015e+00,7.418025e+00,2.596504e+00,5.723408e+00,3.160651e+00,1.022260e+01,1.191684e+01,6.906113e+00,2.513757e+00,-5.788990e-65,4.199591e-03,2.195370e+01,1.323594e+01,1.434826e+01,3.342789e+01
9.113021e-01,5.000000e-01,2.080000e+01,1.614399e+00,1.514410e+02,1.082432e+01,3.213799e+00,5.768574e+00,2.467669e+00,5.598230e+00,3.399005e+00,9.917469e+00,1.308045e+01,4.912652e+00,2.317410e+00,0.000000e+00,4.675878e-03,2.248676e+01,1.352769e+01,1.651941e+01,3.479690e+01
9.113021e-01,1.250000e+00,2.080000e+01,1.633569e+00,1.541874e+02,1.099303e+01,3.267345e+00,5.694108e+00,2.435814e+00,5.525963e+00,3.355127e+00,9.789500e+00,1.291169e+01,4.851067e+00,2.289532e+00,7.919062e-54,4.621007e-03,2.306610e+01,1.388628e+01,1.619020e+01,3.488306e+01
9.113021e-01,2.000000e+00,2.080000e+01,1.652357e+00,1.568927e+02,1.115946e+01,3.320293e+00,5.622664e+00,2.405252e+00,5.456629e+00,3.313031e+00,9.666726e+00,1.274978e+01,4.792014e+00,2.262824e+00,-7.028816e-69,4.568464e-03,2.362248e+01,1.423143e+01,1.587261e+01,3.496688e+01
1.345047e+00,5.000000e-01,3.070000e+01,1.549591e+00,2.071462e+02,1.566089e+01,3.201830e+00,5.078294e+00,2.411677e+00,5.540531e+00,3.494396e+00,9.198017e+00,1.344879e+01,3.947827e+00,2.211420e+00,2.296439e-64,4.871539e-03,2.331069e+01,1.401927e+01,1.733421e+01,3.559043e+01
1.345047e+00,1.250000e+00,3.070000e+01,1.568830e+00,2.111639e+02,1.590748e+01,3.254767e+00,5.010391e+00,2.379429e+00,5.466447e+00,3.447672e+00,9.075072e+00,1.326906e+01,3.896545e+00,2.183803e+00,-7.104399e-67,4.811696e-03,2.389829e+01,1.438265e+01,1.698583e+01,3.566743e+01
1.345047e+00,2.000000e+00,3.070000e+01,1.587687e+00,2.151212e+02,1.615072e+01,3.307112e+00,4.945309e+00,2.348522e+00,5.395441e+00,3.402889e+00,8.957236e+00,1.309680e+01,3.847424e+00,2.157373e+00,-4.765758e-67,4.754548e-03,2.446210e+01,1.473209e+01,1.665005e+01,3.574243e+01
1.778792e+00,5.000000e-01,4.060000e+01,1.507453e+00,2.598715e+02,2.043947e+01,3.193864e+00,4.729725e+00,2.395659e+00,5.542751e+00,3.568284e+00,8.405259e+00,1.365522e+01,3.391476e+00,2.157639e+00,-1.611426e-68,5.007714e-03,2.388307e+01,1.436068e+01,1.790524e+01,3.614249e+01
1.778792e+00,1.250000e+00,4.060000e+01,1.526735e+00,2.651535e+02,2.076345e+01,3.246397e+00,4.664960e+00,2.362854e+00,5.466853e+00,3.519423e+00,8.290196e+00,1.346833e+01,3.346361e+00,2.129993e+00,4.890339e-70,4.944364e-03,2.447590e+01,1.472708e+01,1.754311e+01,3.621262e+01
1.778792e+00,2.000000e+00,4.060000e+01,1.545635e+00,2.703561e+02,2.108302e+01,3.298341e+00,4.602930e+00,2.331435e+00,5.394160e+00,3.472625e+00,8.179991e+00,1.328934e+01,3.303178e+00,2.103555e+00,-4.941119e-67,4.884007e-03,2.504438e+01,1.507919e+01,1.719433e+01,3.628103e+01
2.212536e+00,5.000000e-01,5.050000e+01,1.474940e+00,3.097343e+02,2.516230e+01,3.187597e+00,4.529585e+00,2.397008e+00,5.571007e+00,3.632839e+00,7.565842e+00,1.378877e+01,3.027342e+00,2.129103e+00,6.680461e-66,5.117993e-03,2.434612e+01,1.463682e+01,1.837045e+01,3.658966e+01
2.212536e+00,1.250000e+00,5.050000e+01,1.494255e+00,3.162740e+02,2.556321e+01,3.239812e+00,4.466380e+00,2.363560e+00,5.493270e+00,3.582146e+00,7.460286e+00,1.359646e+01,2.986305e+00,2.101252e+00,-6.134847e-75,5.051839e-03,2.494286e+01,1.500546e+01,1.799696e+01,3.665394e+01
2.212536e+00,2.000000e+00,5.050000e+01,1.513187e+00,3.227154e+02,2.595865e+01,3.291444e+00,4.405876e+00,2.331542e+00,5.418855e+00,3.533620e+00,7.359243e+00,1.341237e+01,2.947048e+00,2.074634e+00,0.000000e+00,4.988632e-03,2.551485e+01,1.535957e+01,1.763740e+01,3.671673e+01
2.646281e+00,5.000000e-01,6.040000e+01,1.447434e+00,3.567910e+02,2.983043e+01,3.182207e+00,4.407587e+00,2.407651e+00,5.613357e+00,3.692797e+00,6.690023e+00,1.388308e+01,2.770142e+00,2.114994e+00,-8.690920e-71,5.215362e-03,2.475340e+01,1.487966e+01,1.878209e+01,3.698340e+01
2.646281e+00,1.250000e+00,6.040000e+01,1.466775e+00,3.645819e+02,3.030782e+01,3.234150e+00,4.345071e+00,2.373502e+00,5.533739e+00,3.640420e+00,6.595137e+00,1.368626e+01,2.731972e+00,2.086820e+00,1.070956e-71,5.146592e-03,2.535338e+01,1.525015e+01,1.839841e+01,3.704230e+01
2.646281e+00,2.000000e+00,6.040000e+01,1.485735e+00,3.722557e+02,3.077869e+01,3.285514e+00,4.285256e+00,2.340828e+00,5.457560e+00,3.590305e+00,6.504350e+00,1.349794e+01,2.695477e+00,2.059907e+00,0.000000e+00,5.080809e-03,2.592823e+01,1.560587e+01,1.802919e+01,3.709994e+01
3.080026e+00,5.000000e-01,7.030000e+01,1.422873e+00,4.010736e+02,3.444446e+01,3.177329e+00,4.332032e+00,2.424007e+00,5.664566e+00,3.750420e+00,5.782346e+00,1.395374e+01,2.579055e+00,2.110079e+00,3.624371e-77,5.305387e-03,2.512987e+01,1.510410e+01,1.916448e+01,3.734766e+01
3.080026e+00,1.250000e+00,7.030000e+01,1.442238e+00,4.101091e+02,3.499786e+01,3.229026e+00,4.269667e+00,2.389110e+00,5.583017e+00,3.696427e+00,5.699090e+00,1.375295e+01,2.542982e+00,2.081497e+00,-4.682145e-72,5.234153e-03,2.573264e+01,1.547618e+01,1.877120e+01,3.740140e+01
3.080026e+00,2.000000e+00,7.030000e+01,1.461221e+00,4.190089e+02,3.554371e+01,3.280147e+00,4.210022e+00,2.355736e+00,5.505025e+00,3.644790e+00,5.619467e+00,1.356093e+01,2.508508e+00,2.054207e+00,0.000000e+00,5.166046e-03,2.630995e+01,1.583328e+01,1.839292e+01,3.745410e+01
3.513771e+00,5.000000e-01,8.020000e+01,1.400196e+00,4.426019e+02,3.900473e+01,3.172773e+00,4.286538e+00,2.444256e+00,5.722008e+00,3.806939e+00,4.844896e+00,1.400903e+01,2.431950e+00,2.111506e+00,-2.841496e-64,5.391199e-03,2.548881e+01,1.531807e+01,1.953061e+01,3.769519e+01
3.513771e+00,1.250000e+00,8.020000e+01,1.420220e+00,4.515013e+02,3.960669e+01,3.224354e+00,4.234202e+00,2.409993e+00,5.640837e+00,3.751184e+00,4.760095e+00,1.379942e+01,2.412704e+00,2.084744e+00,-2.341072e-72,5.316521e-03,2.608911e+01,1.568857e+01,1.912383e+01,3.773923e+01
