# system_capacity,brine_disposal_cost,flowrate_MGD,LCOW,Total CAPEX (MGD),Total OPEX (MGD/year),SEC,Ozone_CAPEX_frac,Ozone_OPEX_frac,BAF_CAPEX_frac,BAF_OPEX_frac,UF_CAPEX_frac,UF_OPEX_frac,UV_AOP_CAPEX_frac,UV_AOP_OPEX_frac,Cl_CAPEX_frac,Cl_OPEX_frac,RO_CAPEX_frac,RO_OPEX_frac,brine_frac,Total_Opex_frac
2.190630e-01,5.000000e-01,5.000000e+00,1.936318e+00,5.398598e+01,2.888099e+00,3.169901e+00,1.224490e+01,3.353622e+00,7.062162e+00,3.260734e+00,1.141551e+01,1.150579e+01,1.140674e+01,3.199725e+00,-6.749200e-65,3.898583e-03,1.840969e+01,1.106290e+01,7.074317e+00,3.238667e+01
2.190630e-01,6.500000e-01,5.000000e+00,1.976916e+00,5.435198e+01,2.911053e+00,3.208813e+00,1.193245e+01,3.268047e+00,6.881955e+00,3.177529e+00,1.112421e+01,1.121220e+01,1.113042e+01,3.126721e+00,0.000000e+00,3.818441e-03,1.832513e+01,1.102278e+01,8.794729e+00,3.181110e+01
2.190630e-01,8.000000e-01,5.000000e+00,2.016600e+00,5.470305e+01,2.933062e+00,3.245873e+00,1.164481e+01,3.189268e+00,6.716060e+00,3.100932e+00,1.085606e+01,1.094192e+01,1.087491e+01,3.058866e+00,0.000000e+00,3.743297e-03,1.824498e+01,1.098424e+01,1.038422e+01,3.127897e+01
2.190630e-01,9.500000e-01,5.000000e+00,2.055475e+00,5.504081e+01,2.954227e+00,3.281301e+00,1.137837e+01,3.116296e+00,6.562392e+00,3.029981e+00,1.060766e+01,1.069156e+01,1.063730e+01,2.995478e+00,4.462803e-69,3.672502e-03,1.816827e+01,1.094685e+01,1.186217e+01,3.078384e+01
2.190630e-01,1.100000e+00,5.000000e+00,2.093623e+00,5.536660e+01,2.974636e+00,3.315275e+00,1.113026e+01,3.048346e+00,6.419301e+00,2.963913e+00,1.037636e+01,1.045843e+01,1.041527e+01,2.936006e+00,7.273691e-64,3.605584e-03,1.809428e+01,1.091033e+01,1.324389e+01,3.032063e+01
2.190630e-01,1.250000e+00,5.000000e+00,2.131198e+00,5.552109e+01,2.984312e+00,3.331322e+00,1.091596e+01,2.989651e+00,6.295700e+00,2.906844e+00,1.017657e+01,1.025706e+01,1.021913e+01,2.882072e+00,-1.553293e-68,3.542014e-03,1.789592e+01,1.079438e+01,1.466316e+01,2.983355e+01
2.190630e-01,1.400000e+00,5.000000e+00,2.168698e+00,5.552109e+01,2.984313e+00,3.331322e+00,1.072720e+01,2.937956e+00,6.186838e+00,2.856580e+00,1.000060e+01,1.007970e+01,1.004243e+01,2.832237e+00,-3.443292e-70,3.480767e-03,1.758648e+01,1.060773e+01,1.613877e+01,2.931769e+01
2.190630e-01,1.550000e+00,5.000000e+00,2.206198e+00,5.552109e+01,2.984313e+00,3.331322e+00,1.054487e+01,2.888017e+00,6.081676e+00,2.808025e+00,9.830618e+00,9.908370e+00,9.871731e+00,2.784096e+00,-1.162200e-69,3.421603e-03,1.728755e+01,1.042742e+01,1.756421e+01,2.881935e+01
2.190630e-01,1.700000e+00,5.000000e+00,2.243698e+00,5.552109e+01,2.984313e+00,3.331322e+00,1.036862e+01,2.839748e+00,5.980030e+00,2.761093e+00,9.666314e+00,9.742766e+00,9.706739e+00,2.737564e+00,3.649052e-68,3.364416e-03,1.699861e+01,1.025315e+01,1.894200e+01,2.833768e+01
2.190630e-01,1.850000e+00,5.000000e+00,2.281199e+00,5.552109e+01,2.984313e+00,3.331322e+00,1.019818e+01,2.793066e+00,5.881726e+00,2.715704e+00,9.507411e+00,9.582607e+00,9.547172e+00,2.692561e+00,7.411367e-69,3.309109e-03,1.671917e+01,1.008460e+01,2.027449e+01,2.787184e+01
2.190630e-01,2.000000e+00,5.000000e+00,2.318699e+00,5.552109e+01,2.984313e+00,3.331322e+00,1.003324e+01,2.747894e+00,5.786601e+00,2.671783e+00,9.353649e+00,9.427628e+00,9.392767e+00,2.649015e+00,2.516047e-69,3.255591e-03,1.644878e+01,9.921499e+00,2.156389e+01,2.742108e+01
6.352827e-01,5.000000e-01,1.450000e+01,1.549757e+00,1.107279e+02,7.485733e+00,3.092250e+00,7.400101e+00,2.838156e+00,6.343861e+00,3.673251e+00,1.143062e+01,1.402102e+01,6.649984e+00,2.679771e+00,1.052340e-66,4.871018e-03,2.228498e+01,1.336357e+01,9.309814e+00,3.658064e+01
6.352827e-01,6.500000e-01,1.450000e+01,1.592395e+00,1.118611e+02,7.557963e+00,3.135322e+00,7.155055e+00,2.744174e+00,6.133791e+00,3.551616e+00,1.105211e+01,1.355673e+01,6.442270e+00,2.602875e+00,-3.130792e-74,4.740490e-03,2.207000e+01,1.325046e+01,1.143618e+01,3.571059e+01
6.352827e-01,8.000000e-01,1.450000e+01,1.633864e+00,1.129424e+02,7.626740e+00,3.175984e+00,6.933949e+00,2.659373e+00,5.944245e+00,3.441864e+00,1.071057e+01,1.313780e+01,6.253748e+00,2.532476e+00,5.015319e-72,4.620173e-03,2.187253e+01,1.314586e+01,1.336296e+01,3.492199e+01
6.352827e-01,9.500000e-01,1.450000e+01,1.674315e+00,1.139781e+02,7.692512e+00,3.214573e+00,6.732677e+00,2.582179e+00,5.771701e+00,3.341956e+00,1.039968e+01,1.275645e+01,6.081265e+00,2.467582e+00,-2.243976e-68,4.508550e-03,2.168906e+01,1.304805e+01,1.512490e+01,3.420072e+01
6.352827e-01,1.100000e+00,1.450000e+01,1.713871e+00,1.149734e+02,7.755631e+00,3.251351e+00,6.548114e+00,2.511394e+00,5.613481e+00,3.250344e+00,1.011459e+01,1.240675e+01,5.922397e+00,2.407421e+00,2.424957e-69,4.404495e-03,2.151705e+01,1.295580e+01,1.674826e+01,3.353611e+01
6.352827e-01,1.250000e+00,1.450000e+01,1.752630e+00,1.159325e+02,7.816384e+00,3.286529e+00,6.377829e+00,2.446085e+00,5.467501e+00,3.165817e+00,9.851558e+00,1.208411e+01,5.775242e+00,2.351376e+00,0.000000e+00,4.307090e-03,2.135457e+01,1.286817e+01,1.825343e+01,3.291987e+01
