# system_capacity,brine_disposal_cost,flowrate_MGD,LCOW,Total CAPEX (MGD),Total OPEX (MGD/year),SEC,Ozone_CAPEX_frac,Ozone_OPEX_frac,BAF_CAPEX_frac,BAF_OPEX_frac,UF_CAPEX_frac,UF_OPEX_frac,UV_AOP_CAPEX_frac,UV_AOP_OPEX_frac,Cl_CAPEX_frac,Cl_OPEX_frac,RO_CAPEX_frac,RO_OPEX_frac,brine_frac,Total_Opex_frac
2.190630e-01,5.000000e-01,5.000000e+00,2.189755e+00,6.450391e+01,3.094836e+00,3.226911e+00,1.074845e+01,2.943774e+00,6.199091e+00,2.862238e+00,1.002041e+01,1.009966e+01,1.003187e+01,2.819915e+00,9.824479e+00,1.706868e+00,1.666941e+01,1.003121e+01,6.042617e+00,3.046367e+01
2.190630e-01,5.750000e-01,5.000000e+00,2.209497e+00,6.467519e+01,3.105685e+00,3.245227e+00,1.062899e+01,2.911056e+00,6.130192e+00,2.830426e+00,9.909040e+00,9.987413e+00,9.926056e+00,2.791914e+00,9.712848e+00,1.687482e+00,1.664762e+01,1.002241e+01,6.814558e+00,3.023070e+01
2.190630e-01,6.500000e-01,5.000000e+00,2.229037e+00,6.484328e+01,3.116327e+00,3.263136e+00,1.051389e+01,2.879533e+00,6.063810e+00,2.799776e+00,9.801738e+00,9.879262e+00,9.823894e+00,2.764813e+00,9.605388e+00,1.668820e+00,1.662616e+01,1.001360e+01,7.559316e+00,3.000581e+01
2.190630e-01,7.250000e-01,5.000000e+00,2.248385e+00,6.500836e+01,3.126773e+00,3.280661e+00,1.040284e+01,2.849121e+00,5.999766e+00,2.770206e+00,9.698216e+00,9.774921e+00,9.725137e+00,2.738555e+00,9.501797e+00,1.650830e+00,1.660496e+01,1.000478e+01,8.278868e+00,2.978841e+01
2.190630e-01,8.000000e-01,5.000000e+00,2.267552e+00,6.517055e+01,3.137031e+00,3.297823e+00,1.029558e+01,2.819743e+00,5.937901e+00,2.741642e+00,9.598215e+00,9.674129e+00,9.629561e+00,2.713089e+00,9.401808e+00,1.633465e+00,1.658399e+01,9.995908e+00,8.974975e+00,2.957798e+01
2.190630e-01,8.750000e-01,5.000000e+00,2.286547e+00,6.533001e+01,3.147112e+00,3.314642e+00,1.019184e+01,2.791331e+00,5.878072e+00,2.714017e+00,9.501504e+00,9.576654e+00,9.536967e+00,2.688366e+00,9.305180e+00,1.616683e+00,1.656318e+01,9.986987e+00,9.649217e+00,2.937404e+01
2.190630e-01,9.500000e-01,5.000000e+00,2.305378e+00,6.548678e+01,3.157018e+00,3.331127e+00,1.009142e+01,2.763827e+00,5.820152e+00,2.687275e+00,9.407882e+00,9.482291e+00,9.447178e+00,2.664345e+00,9.211703e+00,1.600449e+00,1.654246e+01,9.977967e+00,1.030305e+01,2.917615e+01
2.190630e-01,1.025000e+00,5.000000e+00,2.324128e+00,6.548863e+01,3.157135e+00,3.331322e+00,1.000980e+01,2.741475e+00,5.773084e+00,2.665542e+00,9.331798e+00,9.405605e+00,9.370825e+00,2.642827e+00,9.137185e+00,1.587502e+00,1.641035e+01,9.898322e+00,1.102568e+01,2.894127e+01
2.190630e-01,1.100000e+00,5.000000e+00,2.342878e+00,6.548863e+01,3.157135e+00,3.331322e+00,9.929696e+00,2.719535e+00,5.726882e+00,2.644210e+00,9.257116e+00,9.330332e+00,9.295830e+00,2.621676e+00,9.064060e+00,1.574797e+00,1.627902e+01,9.819106e+00,1.173774e+01,2.870966e+01
2.190630e-01,1.175000e+00,5.000000e+00,2.361628e+00,6.548863e+01,3.157135e+00,3.331322e+00,9.850860e+00,2.697944e+00,5.681413e+00,2.623216e+00,9.183619e+00,9.256254e+00,9.222026e+00,2.600861e+00,8.992097e+00,1.562294e+00,1.614977e+01,9.741148e+00,1.243849e+01,2.848172e+01
2.190630e-01,1.250000e+00,5.000000e+00,2.380378e+00,6.548863e+01,3.157135e+00,3.331322e+00,9.773265e+00,2.676692e+00,5.636661e+00,2.602553e+00,9.111281e+00,9.183344e+00,9.149385e+00,2.580375e+00,8.921266e+00,1.549988e+00,1.602256e+01,9.664418e+00,1.312821e+01,2.825737e+01
