# system_capacity,flowrate_MGD,LCOW,Total CAPEX (MGD),Total OPEX (MGD/year),SEC,Ozone_CAPEX_frac,Ozone_OPEX_frac,BAF_CAPEX_frac,BAF_OPEX_frac,UF_CAPEX_frac,UF_OPEX_frac,GAC_CAPEX_frac,GAC_OPEX_frac,UV_AOP_CAPEX_frac,UV_AOP_OPEX_frac,Cl_CAPEX_frac,Cl_OPEX_frac,Total_Opex_frac
4.381260e-02,1.000000e+00,4.715383e+00,3.798427e+01,1.499622e+00,2.240536e+00,1.337805e+01,2.649832e+00,6.768549e+00,1.953570e+00,7.381594e+00,4.486821e+00,6.313550e+00,1.196183e+01,1.596777e+01,3.456927e+00,2.188531e+01,3.796193e+00,2.830518e+01
2.606850e-01,5.950000e+00,1.739194e+00,5.773457e+01,5.853447e+00,2.248404e+00,8.328438e+00,2.379568e+00,6.516758e+00,3.244690e+00,9.983071e+00,1.042578e+01,5.283146e+00,2.903458e+01,1.131803e+01,3.828664e+00,8.226572e+00,1.430707e+00,5.034399e+01
4.775573e-01,1.090000e+01,1.435080e+00,7.848749e+01,9.726501e+00,2.263937e+00,8.485705e+00,2.700995e+00,6.581946e+00,3.704146e+00,1.061870e+01,1.237855e+01,5.086912e+00,3.188390e+01,8.834493e+00,3.793548e+00,5.050214e+00,8.808933e-01,5.534203e+01
6.944297e-01,1.585000e+01,1.309861e+00,9.717671e+01,1.360904e+01,2.269051e+00,8.158560e+00,2.796418e+00,6.669992e+00,3.964421e+00,1.075034e+01,1.340872e+01,5.032037e+00,3.377212e+01,7.425728e+00,3.765508e+00,3.622328e+00,6.338216e-01,5.834101e+01
9.113021e-01,2.080000e+01,1.239038e+00,1.146756e+02,1.748899e+01,2.271474e+00,7.861021e+00,2.841143e+00,6.751445e+00,4.139045e+00,1.065403e+01,1.405192e+01,5.019864e+00,3.512421e+01,6.505067e+00,3.747521e+00,2.811224e+00,4.935174e-01,6.039735e+01
1.128174e+00,2.575000e+01,1.192005e+00,1.312513e+02,2.136179e+01,2.272858e+00,7.630685e+00,2.869818e+00,6.826013e+00,4.269098e+00,1.043374e+01,1.449528e+01,5.026110e+00,3.616654e+01,5.851785e+00,3.737613e+00,2.289951e+00,4.033766e-01,6.194172e+01
1.345047e+00,3.070000e+01,1.236308e+00,1.388127e+02,2.876332e+01,2.262362e+00,5.463571e+00,2.363420e+00,5.902485e+00,3.728337e+00,9.491037e+00,1.387723e+01,4.733868e+00,4.344214e+01,5.155151e+00,3.718738e+00,1.804964e+00,3.190601e-01,6.744892e+01
1.561919e+00,3.565000e+01,1.130490e+00,1.620275e+02,2.907922e+01,2.274356e+00,7.325081e+00,2.912738e+00,6.961434e+00,4.460479e+00,9.788547e+00,1.507373e+01,5.063590e+00,3.774147e+01,4.980984e+00,3.734800e+00,1.662260e+00,2.948888e-01,6.421810e+01
1.778792e+00,4.060000e+01,1.108243e+00,1.762870e+02,3.292581e+01,2.274771e+00,7.219403e+00,2.930707e+00,7.024816e+00,4.536771e+00,9.402485e+00,1.527531e+01,5.089033e+00,3.838701e+01,4.675319e+00,3.739638e+00,1.459621e+00,2.598882e-01,6.512932e+01
1.995664e+00,4.555000e+01,1.089237e+00,1.899060e+02,3.675491e+01,2.275142e+00,7.150745e+00,2.951116e+00,7.086610e+00,4.605402e+00,8.987653e+00,1.544147e+01,5.116889e+00,3.895598e+01,4.424498e+00,3.747054e+00,1.300211e+00,2.323677e-01,6.593339e+01
2.212536e+00,5.050000e+01,1.072559e+00,2.028070e+02,4.057645e+01,2.275408e+00,7.094788e+00,2.970222e+00,7.147168e+00,4.668409e+00,8.549439e+00,1.558137e+01,5.146818e+00,3.948762e+01,4.215167e+00,3.757096e+00,1.171705e+00,2.101945e-01,6.667491e+01
2.429409e+00,5.545000e+01,1.057593e+00,2.150295e+02,4.438699e+01,2.275622e+00,7.053839e+00,2.989540e+00,7.206957e+00,4.727302e+00,8.091638e+00,1.570152e+01,5.178299e+00,3.998584e+01,4.037856e+00,3.769178e+00,1.066055e+00,1.919758e-01,6.736536e+01
2.646281e+00,6.040000e+01,1.043927e+00,2.265802e+02,4.818645e+01,2.275798e+00,7.024969e+00,3.009152e+00,7.266277e+00,4.783115e+00,7.616832e+00,1.580638e+01,5.211062e+00,4.045883e+01,3.885862e+00,3.783002e+00,9.777609e-01,1.767604e-01,6.801724e+01
2.863153e+00,6.535000e+01,1.031271e+00,2.374642e+02,5.197480e+01,2.275944e+00,7.005982e+00,3.029101e+00,7.325359e+00,4.836594e+00,7.126843e+00,1.589918e+01,5.244924e+00,4.091258e+01,3.754270e+00,3.798341e+00,9.029484e-01,1.638778e-01,6.863967e+01
3.080026e+00,7.030000e+01,1.019418e+00,2.476854e+02,5.575202e+01,2.276069e+00,6.995205e+00,3.049411e+00,7.384385e+00,4.888297e+00,6.622979e+00,1.598232e+01,5.279759e+00,4.135160e+01,3.639382e+00,3.815017e+00,8.388075e-01,1.528418e-01,6.923948e+01
3.296898e+00,7.525000e+01,1.008212e+00,2.572467e+02,5.951809e+01,2.276176e+00,6.991338e+00,3.070091e+00,7.443499e+00,4.938648e+00,6.106191e+00,1.605759e+01,5.315481e+00,4.177936e+01,3.538365e+00,3.832892e+00,7.832539e-01,1.432919e-01,6.982187e+01
3.513771e+00,8.020000e+01,9.975361e-01,2.661507e+02,6.327299e+01,2.276268e+00,6.993393e+00,3.091155e+00,7.502821e+00,4.987977e+00,5.577170e+00,1.612639e+01,5.352028e+00,4.219854e+01,3.449007e+00,3.851854e+00,7.347089e-01,1.349550e-01,7.039087e+01
3.730643e+00,8.515000e+01,9.872994e-01,2.743992e+02,6.701673e+01,2.276349e+00,7.000543e+00,3.112600e+00,7.562449e+00,5.036545e+00,5.036421e+00,1.618981e+01,5.389356e+00,4.261133e+01,3.369555e+00,3.871815e+00,6.919559e-01,1.276208e-01,7.094972e+01
3.947515e+00,9.010000e+01,9.775874e-01,2.816677e+02,7.074371e+01,2.276417e+00,7.014123e+00,3.134626e+00,7.622700e+00,5.084373e+00,4.478741e+00,1.624681e+01,5.427801e+00,4.301784e+01,3.302281e+00,3.893140e+00,6.560843e-01,1.214779e-01,7.149827e+01
4.164388e+00,9.505000e+01,9.678754e-01,2.889361e+02,7.447069e+01,2.276484e+00,7.027703e+00,3.156653e+00,7.682951e+00,5.132201e+00,3.921062e+00,1.630381e+01,5.466246e+00,4.342436e+01,3.235008e+00,3.914464e+00,6.202128e-01,1.153350e-01,7.204682e+01
4.381260e+00,1.000000e+02,9.585864e-01,2.952269e+02,7.818093e+01,2.276541e+00,7.046756e+00,3.179263e+00,7.743960e+00,5.179603e+00,3.346869e+00,1.635565e+01,5.505775e+00,4.382724e+01,3.177828e+00,3.937047e+00,5.898594e-01,1.101477e-01,7.258895e+01
