# system_capacity,effluent_toc_limit,flowrate_MGD,LCOW,Total CAPEX (MGD),Total OPEX (MGD/year),SEC,Ozone_CAPEX_frac,Ozone_OPEX_frac,BAF_CAPEX_frac,BAF_OPEX_frac,UF_CAPEX_frac,UF_OPEX_frac,GAC_CAPEX_frac,GAC_OPEX_frac,UV_AOP_CAPEX_frac,UV_AOP_OPEX_frac,Cl_CAPEX_frac,Cl_OPEX_frac,Total_Opex_frac
2.190630e-01,5.000000e-01,5.000000e+00,2.603481e+00,5.906387e+01,8.719517e+00,2.271545e+00,9.661375e+00,2.378864e+00,4.656827e+00,2.220157e+00,6.960140e+00,7.015189e+00,3.832739e+00,4.410517e+01,8.596857e+00,2.737296e+00,6.675119e+00,1.160267e+00,5.961694e+01
2.190630e-01,5.750000e-01,5.000000e+00,2.494294e+00,5.849761e+01,8.162751e+00,2.269566e+00,9.680187e+00,2.405900e+00,4.860678e+00,2.317343e+00,7.264818e+00,7.322276e+00,4.000516e+00,4.213960e+01,8.973181e+00,2.857120e+00,6.967319e+00,1.211057e+00,5.825330e+01
2.190630e-01,6.500000e-01,5.000000e+00,2.408570e+00,5.797120e+01,7.733811e+00,2.267542e+00,9.635669e+00,2.416627e+00,5.033675e+00,2.399820e+00,7.523381e+00,7.582884e+00,4.142899e+00,4.054423e+01,9.292547e+00,2.958808e+00,7.215294e+00,1.254160e+00,5.715654e+01
2.190630e-01,7.250000e-01,5.000000e+00,2.339195e+00,5.748326e+01,7.392868e+00,2.265506e+00,9.550139e+00,2.416212e+00,5.182961e+00,2.470993e+00,7.746507e+00,7.807775e+00,4.265767e+00,3.922430e+01,9.568142e+00,3.046560e+00,7.429283e+00,1.291356e+00,5.625720e+01
2.190630e-01,8.000000e-01,5.000000e+00,2.281637e+00,5.703213e+01,7.114635e+00,2.263488e+00,9.439099e+00,2.408302e+00,5.313708e+00,2.533327e+00,7.941922e+00,8.004736e+00,4.373376e+00,3.811198e+01,9.809510e+00,3.123413e+00,7.616695e+00,1.323932e+00,5.550569e+01
2.190630e-01,8.750000e-01,5.000000e+00,2.232870e+00,5.661597e+01,6.882284e+00,2.261509e+00,9.313488e+00,2.395524e+00,5.429763e+00,2.588657e+00,8.115380e+00,8.179566e+00,4.468894e+00,3.715744e+01,1.002376e+01,3.191631e+00,7.783049e+00,1.352847e+00,5.486567e+01
2.190630e-01,9.500000e-01,5.000000e+00,2.190784e+00,5.623288e+01,6.684166e+00,2.259587e+00,9.181134e+00,2.379800e+00,5.534069e+00,2.638385e+00,8.271277e+00,8.336695e+00,4.554742e+00,3.632324e+01,1.021631e+01,3.252942e+00,7.932562e+00,1.378836e+00,5.430990e+01
2.190630e-01,1.025000e+00,5.000000e+00,2.153868e+00,5.588097e+01,6.511966e+00,2.257736e+00,9.047661e+00,2.362550e+00,5.628921e+00,2.683606e+00,8.413044e+00,8.479584e+00,4.632809e+00,3.558072e+01,1.039142e+01,3.308697e+00,8.068523e+00,1.402468e+00,5.381762e+01
2.190630e-01,1.100000e+00,5.000000e+00,2.121000e+00,5.555837e+01,6.359581e+00,2.255968e+00,8.917130e+00,2.344832e+00,5.716148e+00,2.725192e+00,8.543415e+00,8.610986e+00,4.704600e+00,3.490752e+01,1.055245e+01,3.359969e+00,8.193555e+00,1.424201e+00,5.337271e+01
2.190630e-01,1.175000e+00,5.000000e+00,2.091335e+00,5.526326e+01,6.222440e+00,2.254289e+00,8.792426e+00,2.327428e+00,5.797230e+00,2.763848e+00,8.664601e+00,8.733130e+00,4.771334e+00,3.428606e+01,1.070213e+01,3.407630e+00,8.309778e+00,1.444403e+00,5.296250e+01
2.190630e-01,1.250000e+00,5.000000e+00,2.064219e+00,5.499380e+01,6.097055e+00,2.252706e+00,8.675565e+00,2.310915e+00,5.873382e+00,2.800154e+00,8.778419e+00,8.847849e+00,4.834010e+00,3.370229e+01,1.084271e+01,3.452392e+00,8.418935e+00,1.463377e+00,5.257698e+01
2.190630e-01,1.325000e+00,5.000000e+00,2.039141e+00,5.474819e+01,5.980733e+00,2.251219e+00,8.567855e+00,2.295702e+00,5.945615e+00,2.834591e+00,8.886378e+00,8.956662e+00,4.893459e+00,3.314498e+01,1.097606e+01,3.494851e+00,8.522473e+00,1.481374e+00,5.220816e+01
2.190630e-01,1.400000e+00,5.000000e+00,2.015695e+00,5.452459e+01,5.871377e+00,2.249830e+00,8.470053e+00,2.282063e+00,6.014773e+00,2.867562e+00,8.989742e+00,9.060844e+00,4.950379e+00,3.260514e+01,1.110373e+01,3.535502e+00,8.621604e+00,1.498605e+00,5.184972e+01
2.190630e-01,1.475000e+00,5.000000e+00,1.993556e+00,5.432111e+01,5.767351e+00,2.248536e+00,8.382426e+00,2.270153e+00,6.081569e+00,2.899407e+00,9.089577e+00,9.161468e+00,5.005355e+00,3.207564e+01,1.122704e+01,3.574766e+00,8.717351e+00,1.515247e+00,5.149668e+01
2.190630e-01,1.550000e+00,5.000000e+00,1.972462e+00,5.413579e+01,5.667382e+00,2.247333e+00,8.304827e+00,2.260028e+00,6.146606e+00,2.930414e+00,9.186782e+00,9.259442e+00,5.058883e+00,3.155089e+01,1.134711e+01,3.612995e+00,8.810574e+00,1.531452e+00,5.114522e+01
2.190630e-01,1.625000e+00,5.000000e+00,1.952204e+00,5.396660e+01,5.570494e+00,2.246214e+00,8.236741e+00,2.251653e+00,6.210390e+00,2.960823e+00,9.282114e+00,9.355528e+00,5.111379e+00,3.102668e+01,1.146486e+01,3.650487e+00,8.902002e+00,1.547343e+00,5.079252e+01
2.190630e-01,1.700000e+00,5.000000e+00,1.932612e+00,5.381143e+01,5.475952e+00,2.245170e+00,8.177315e+00,2.244911e+00,6.273345e+00,2.990837e+00,9.376207e+00,9.450365e+00,5.163193e+00,3.049999e+01,1.158108e+01,3.687492e+00,8.992242e+00,1.563029e+00,5.043662e+01
2.190630e-01,1.775000e+00,5.000000e+00,1.913555e+00,5.366807e+01,5.383228e+00,2.244190e+00,8.125394e+00,2.239609e+00,6.335821e+00,3.020623e+00,9.469586e+00,9.544483e+00,5.214614e+00,2.996885e+01,1.169641e+01,3.724217e+00,9.081797e+00,1.578595e+00,5.007638e+01
