# system_capacity,flowrate_MGD,LCOW,Total CAPEX (MGD),Total OPEX (MGD/year),SEC,Ozone_CAPEX_frac,Ozone_OPEX_frac,BAF_CAPEX_frac,BAF_OPEX_frac,UF_CAPEX_frac,UF_OPEX_frac,UV_AOP_CAPEX_frac,UV_AOP_OPEX_frac,Cl_CAPEX_frac,Cl_OPEX_frac,RO_CAPEX_frac,RO_OPEX_frac,brine_frac,Total_Opex_frac
4.381260e-02,1.000000e+00,3.792590e+00,2.493431e+01,8.321404e-01,3.286635e+00,1.990799e+01,3.943238e+00,9.783980e+00,2.716462e+00,1.098462e+01,6.676880e+00,1.930216e+01,3.970589e+00,-1.998806e-66,1.054688e-04,1.005639e+01,6.065768e+00,6.591823e+00,2.337304e+01
2.606850e-01,5.950000e+00,1.915447e+00,5.831879e+01,3.356257e+00,3.221233e+00,7.987925e+00,2.365005e+00,6.557167e+00,3.170912e+00,1.092579e+01,1.141030e+01,1.005336e+01,2.978383e+00,-1.771260e-61,2.088286e-04,1.937077e+01,1.166737e+01,1.351280e+01,3.159218e+01
4.775573e-01,1.090000e+01,1.712611e+00,8.858426e+01,5.798904e+00,3.186038e+00,5.703979e+00,2.089616e+00,6.029684e+00,3.329786e+00,1.076952e+01,1.255437e+01,7.267891e+00,2.641725e+00,1.060332e-64,2.335615e-04,2.134763e+01,1.284760e+01,1.541797e+01,3.346333e+01
6.944297e-01,1.585000e+01,1.627440e+00,1.176937e+02,8.218886e+00,3.170844e+00,4.720694e+00,1.978897e+00,5.828951e+00,3.419029e+00,1.049210e+01,1.308662e+01,5.877973e+00,2.473038e+00,-2.357861e-60,2.457848e-04,2.232270e+01,1.342955e+01,1.637020e+01,3.438738e+01
9.113021e-01,2.080000e+01,1.577458e+00,1.458952e+02,1.062117e+01,3.161771e+00,4.175965e+00,1.922583e+00,5.734633e+00,3.481823e+00,1.015912e+01,1.339917e+01,5.030872e+00,2.372229e+00,-4.232691e-69,2.535725e-04,2.294304e+01,1.379972e+01,1.698059e+01,3.497578e+01
1.128174e+00,2.575000e+01,1.542830e+00,1.732818e+02,1.300760e+01,3.155392e+00,3.832351e+00,1.890904e+00,5.688057e+00,3.531650e+00,9.794205e+00,1.360679e+01,4.455396e+00,2.306116e+00,9.158705e-69,2.592638e-04,2.339579e+01,1.406984e+01,1.742864e+01,3.540556e+01
1.345047e+00,3.070000e+01,1.516316e+00,1.998994e+02,1.537906e+01,3.150443e+00,3.597769e+00,1.872473e+00,5.667003e+00,3.574162e+00,9.407981e+00,1.375579e+01,4.036743e+00,2.260344e+00,4.017957e-57,2.637972e-04,2.375595e+01,1.428469e+01,1.778682e+01,3.574773e+01
1.561919e+00,3.565000e+01,1.494629e+00,2.257743e+02,1.773605e+01,3.146345e+00,3.428976e+00,1.862001e+00,5.661232e+00,3.612168e+00,9.005946e+00,1.386858e+01,3.717470e+00,2.227629e+00,-1.063787e-65,2.676250e-04,2.405968e+01,1.446585e+01,1.809021e+01,3.603649e+01
1.778792e+00,4.060000e+01,1.476053e+00,2.509231e+02,2.007891e+01,3.142797e+00,3.302961e+00,1.856700e+00,5.665384e+00,3.647232e+00,8.591227e+00,1.395735e+01,3.465451e+00,2.203856e+00,6.635684e-72,2.709930e-04,2.432662e+01,1.462506e+01,1.835789e+01,3.629046e+01
1.995664e+00,4.555000e+01,1.459604e+00,2.753570e+02,2.240784e+01,3.139624e+00,3.206355e+00,1.854963e+00,5.676391e+00,3.680301e+00,8.165730e+00,1.402935e+01,3.261236e+00,2.186513e+00,1.863541e-53,2.740470e-04,2.456842e+01,1.476925e+01,1.860121e+01,3.652066e+01
2.212536e+00,5.050000e+01,1.444676e+00,2.990837e+02,2.472297e+01,3.136716e+00,3.130854e+00,1.855802e+00,5.692375e+00,3.711982e+00,7.730669e+00,1.408917e+01,3.092313e+00,2.173975e+00,0.000000e+00,2.768788e-04,2.479240e+01,1.490281e+01,1.882737e+01,3.673402e+01
2.429409e+00,5.545000e+01,1.430873e+00,3.221093e+02,2.702444e+01,3.134007e+00,3.071028e+00,1.858572e+00,5.712120e+00,3.742685e+00,7.286839e+00,1.413985e+01,2.950252e+00,2.165142e+00,2.452686e-68,2.795496e-04,2.500349e+01,1.502866e+01,1.904109e+01,3.693519e+01
2.646281e+00,6.040000e+01,1.417929e+00,3.444379e+02,2.931231e+01,3.131446e+00,3.023180e+00,1.862841e+00,5.734814e+00,3.772699e+00,6.834775e+00,1.418347e+01,2.829149e+00,2.159240e+00,1.500545e-68,2.821016e-04,2.520502e+01,1.514881e+01,1.924571e+01,3.712735e+01
2.863153e+00,6.535000e+01,1.405654e+00,3.660729e+02,3.158664e+01,3.129000e+00,2.984703e+00,1.868305e+00,5.759889e+00,3.802232e+00,6.374837e+00,1.422156e+01,2.724742e+00,2.155710e+00,-1.466743e-58,2.845651e-04,2.539943e+01,1.526471e+01,1.944360e+01,3.731280e+01
