# system_capacity,flowrate_MGD,LCOW,Total CAPEX (MGD),Total OPEX (MGD/year),SEC,Ozone_CAPEX_frac,Ozone_OPEX_frac,BAF_CAPEX_frac,BAF_OPEX_frac,UF_CAPEX_frac,UF_OPEX_frac,GAC_CAPEX_frac,GAC_OPEX_frac,UV_AOP_CAPEX_frac,UV_AOP_OPEX_frac,Cl_CAPEX_frac,Cl_OPEX_frac,Total_Opex_frac
4.381260e-02,1.000000e+00,3.443685e+00,2.642296e+01,1.226915e+00,2.263507e+00,1.840528e+01,3.702549e+00,9.268066e+00,2.674993e+00,1.010750e+01,6.143731e+00,8.645044e+00,1.445271e+01,2.186442e+01,4.733516e+00,5.574924e-64,2.192098e-03,3.170969e+01
2.606850e-01,5.950000e+00,1.512199e+00,4.717247e+01,5.392140e+00,2.263507e+00,8.592265e+00,2.654241e+00,7.494987e+00,3.731750e+00,1.148163e+01,1.199078e+01,6.076197e+00,3.055280e+01,1.301697e+01,4.403383e+00,-1.398967e-51,4.991999e-03,5.333795e+01
4.775573e-01,1.090000e+01,1.306513e+00,6.494889e+01,9.505816e+00,2.263507e+00,6.406666e+00,2.458614e+00,7.229641e+00,4.068652e+00,1.166363e+01,1.359666e+01,5.587488e+00,3.511218e+01,9.703849e+00,4.166851e+00,-9.015318e-67,5.777896e-03,5.940873e+01
6.944297e-01,1.585000e+01,1.221303e+00,8.151176e+01,1.359845e+01,2.263507e+00,5.432728e+00,2.383782e+00,7.153639e+00,4.251884e+00,1.152986e+01,1.438100e+01,5.396914e+00,3.746129e+01,7.964174e+00,4.038548e+00,1.635394e-67,6.180885e-03,6.252268e+01
9.113021e-01,2.080000e+01,1.172025e+00,9.715333e+01,1.767511e+01,2.263507e+00,4.885224e+00,2.349475e+00,7.137474e+00,4.375704e+00,1.126320e+01,1.485537e+01,5.306887e+00,3.898143e+01,6.877010e+00,3.961794e+00,1.844163e-53,6.440765e-03,6.453021e+01
1.128174e+00,2.575000e+01,1.138402e+00,1.119838e+02,2.173771e+01,2.263507e+00,4.537791e+00,2.333610e+00,7.147424e+00,4.470114e+00,1.092503e+01,1.517781e+01,5.262772e+00,4.009790e+01,6.127323e+00,3.913603e+00,3.923006e-66,6.631130e-03,6.599966e+01
1.345047e+00,3.070000e+01,1.172680e+00,1.245963e+02,2.799024e+01,2.263318e+00,4.104024e+00,2.211750e+00,6.312855e+00,3.990213e+00,1.000600e+01,1.463018e+01,4.991418e+00,4.451766e+01,5.388349e+00,3.841053e+00,0.000000e+00,6.505137e-03,6.919735e+01
1.561919e+00,3.565000e+01,1.092612e+00,1.394065e+02,2.982409e+01,2.263507e+00,4.130137e+00,2.327755e+00,7.202772e+00,4.615114e+00,1.012790e+01,1.559630e+01,5.239135e+00,4.173604e+01,5.153664e+00,3.864277e+00,-2.099471e-65,6.908891e-03,6.814640e+01
1.778792e+00,4.060000e+01,1.075343e+00,1.520497e+02,3.384877e+01,2.263507e+00,4.003833e+00,2.331736e+00,7.239755e+00,4.675583e+00,9.690150e+00,1.574266e+01,5.244585e+00,4.239262e+01,4.818240e+00,3.853825e+00,-1.640041e-75,7.019986e-03,6.900344e+01
1.995664e+00,4.555000e+01,1.060241e+00,1.640009e+02,3.786144e+01,2.263507e+00,3.907955e+00,2.338437e+00,7.280418e+00,4.731353e+00,9.233453e+00,1.586378e+01,5.256829e+00,4.298562e+01,4.545502e+00,3.849530e+00,2.646442e-67,7.119978e-03,6.977584e+01
2.212536e+00,5.050000e+01,1.046688e+00,1.752695e+02,4.186228e+01,2.263507e+00,3.834033e+00,2.347126e+00,7.323824e+00,4.783797e+00,8.760755e+00,1.596650e+01,5.274033e+00,4.353341e+01,4.319353e+00,3.849960e+00,-1.291008e-71,7.212019e-03,7.048800e+01
2.429409e+00,5.545000e+01,1.034282e+00,1.858624e+02,4.585141e+01,2.263507e+00,3.776502e+00,2.357330e+00,7.369386e+00,4.833845e+00,8.274006e+00,1.605540e+01,5.295008e+00,4.404824e+01,4.128860e+00,3.854127e+00,0.000000e+00,7.298678e-03,7.115624e+01
2.646281e+00,6.040000e+01,1.022751e+00,1.957850e+02,4.982891e+01,2.263507e+00,3.731554e+00,2.368733e+00,7.416723e+00,4.882148e+00,7.774536e+00,1.613364e+01,5.318956e+00,4.453868e+01,3.966318e+00,3.861328e+00,-5.122617e-67,7.380970e-03,7.179191e+01
2.863153e+00,6.535000e+01,1.011902e+00,2.050415e+02,5.379486e+01,2.263507e+00,3.696499e+00,2.381114e+00,7.465580e+00,4.929175e+00,7.263263e+00,1.620352e+01,5.345322e+00,4.501088e+01,3.826133e+00,3.871048e+00,-7.547889e-70,7.460105e-03,7.240320e+01
