# system_capacity,effluent_toc_limit,flowrate_MGD,LCOW,Total CAPEX (MGD),Total OPEX (MGD/year),SEC,Ozone_CAPEX_frac,Ozone_OPEX_frac,BAF_CAPEX_frac,BAF_OPEX_frac,UF_CAPEX_frac,UF_OPEX_frac,GAC_CAPEX_frac,GAC_OPEX_frac,UV_AOP_CAPEX_frac,UV_AOP_OPEX_frac,Cl_CAPEX_frac,Cl_OPEX_frac,Total_Opex_frac
2.190630e-01,5.000000e-01,5.000000e+00,2.535213e+00,5.331916e+01,8.910470e+00,2.263507e+00,5.888006e+00,1.715475e+00,4.782225e+00,2.279941e+00,7.147563e+00,7.204094e+00,3.935947e+00,4.736101e+01,8.828352e+00,2.811006e+00,6.854866e+00,1.191511e+00,6.256304e+01
2.190630e-01,5.750000e-01,5.000000e+00,2.421095e+00,5.331916e+01,8.269378e+00,2.263507e+00,6.165535e+00,1.796333e+00,5.007634e+00,2.387405e+00,7.484461e+00,7.543657e+00,4.121466e+00,4.487989e+01,9.244474e+00,2.943502e+00,7.177967e+00,1.247672e+00,6.079846e+01
2.190630e-01,6.500000e-01,5.000000e+00,2.332615e+00,5.331916e+01,7.772316e+00,2.263507e+00,6.399403e+00,1.864470e+00,5.197580e+00,2.477963e+00,7.768357e+00,7.829798e+00,4.277799e+00,4.278911e+01,9.595130e+00,3.055153e+00,7.450238e+00,1.294998e+00,5.931149e+01
2.190630e-01,7.250000e-01,5.000000e+00,2.261917e+00,5.331916e+01,7.375148e+00,2.263507e+00,6.599421e+00,1.922746e+00,5.360034e+00,2.555414e+00,8.011162e+00,8.074524e+00,4.411505e+00,4.100094e+01,9.895032e+00,3.150644e+00,7.683100e+00,1.335474e+00,5.803975e+01
2.190630e-01,8.000000e-01,5.000000e+00,2.203999e+00,5.331917e+01,7.049774e+00,2.263507e+00,6.772844e+00,1.973273e+00,5.500889e+00,2.622566e+00,8.221684e+00,8.286711e+00,4.527433e+00,3.945053e+01,1.015506e+01,3.233439e+00,7.885001e+00,1.370569e+00,5.693709e+01
2.190630e-01,8.750000e-01,5.000000e+00,2.155520e+00,5.331917e+01,6.777426e+00,2.263507e+00,6.925170e+00,2.017653e+00,5.624608e+00,2.681550e+00,8.406596e+00,8.473085e+00,4.629258e+00,3.808873e+01,1.038345e+01,3.306161e+00,8.062340e+00,1.401394e+00,5.596857e+01
2.190630e-01,9.500000e-01,5.000000e+00,2.114158e+00,5.331917e+01,6.545066e+00,2.263507e+00,7.060654e+00,2.057126e+00,5.734647e+00,2.734011e+00,8.571063e+00,8.638852e+00,4.719825e+00,3.687750e+01,1.058660e+01,3.370843e+00,8.220071e+00,1.428810e+00,5.510714e+01
2.190630e-01,1.025000e+00,5.000000e+00,2.078250e+00,5.331917e+01,6.343336e+00,2.263507e+00,7.182651e+00,2.092670e+00,5.833733e+00,2.781251e+00,8.719156e+00,8.788117e+00,4.801376e+00,3.578685e+01,1.076952e+01,3.429086e+00,8.362101e+00,1.453498e+00,5.433147e+01
2.190630e-01,1.100000e+00,5.000000e+00,2.046566e+00,5.331917e+01,6.165342e+00,2.263507e+00,7.293849e+00,2.125068e+00,5.924047e+00,2.824308e+00,8.854142e+00,8.924170e+00,4.875708e+00,3.479273e+01,1.093624e+01,3.482173e+00,8.491558e+00,1.476000e+00,5.362445e+01
2.190630e-01,1.175000e+00,5.000000e+00,2.018181e+00,5.331917e+01,6.005883e+00,2.263507e+00,7.396432e+00,2.154956e+00,6.007365e+00,2.864031e+00,8.978670e+00,9.049683e+00,4.944282e+00,3.387563e+01,1.109006e+01,3.531148e+00,8.610987e+00,1.496759e+00,5.297221e+01
