# system_capacity,flowrate_MGD,LCOW,Total CAPEX (MGD),Total OPEX (MGD/year),SEC,Ozone_CAPEX_frac,Ozone_OPEX_frac,BAF_CAPEX_frac,BAF_OPEX_frac,UF_CAPEX_frac,UF_OPEX_frac,UV_AOP_CAPEX_frac,UV_AOP_OPEX_frac,Cl_CAPEX_frac,Cl_OPEX_frac,RO_CAPEX_frac,RO_OPEX_frac,brine_frac,Total_Opex_frac
4.381260e-02,1.000000e+00,3.789576e+00,2.491904e+01,8.308376e-01,3.276207e+00,1.988090e+01,3.909753e+00,9.791762e+00,2.718623e+00,1.099335e+01,6.682191e+00,1.931751e+01,3.973747e+00,9.337147e-65,1.055527e-04,1.006439e+01,6.070592e+00,6.597066e+00,2.335501e+01
2.606850e-01,5.950000e+00,1.912411e+00,5.822152e+01,3.348101e+00,3.210237e+00,7.915471e+00,2.295826e+00,6.568000e+00,3.176151e+00,1.094384e+01,1.142916e+01,1.006980e+01,2.983194e+00,2.330654e-61,2.091600e-04,1.939689e+01,1.168295e+01,1.353851e+01,3.156748e+01
4.775573e-01,1.090000e+01,1.709563e+00,8.840574e+01,5.783938e+00,3.175017e+00,5.618348e+00,2.011395e+00,6.040870e+00,3.335964e+00,1.078950e+01,1.257766e+01,7.281225e+00,2.646501e+00,5.232062e-67,2.339779e-04,2.138038e+01,1.286713e+01,1.545079e+01,3.343889e+01
6.944297e-01,1.585000e+01,1.624386e+00,1.174339e+02,8.197106e+00,3.159812e+00,4.628478e+00,1.896202e+00,5.840350e+00,3.425716e+00,1.051262e+01,1.311221e+01,5.889334e+00,2.477741e+00,-1.128953e-63,2.462469e-04,2.235903e+01,1.345121e+01,1.640686e+01,3.436333e+01
9.113021e-01,2.080000e+01,1.574401e+00,1.455541e+02,1.059258e+01,3.150731e+00,4.079611e+00,1.837051e+00,5.746216e+00,3.488855e+00,1.017964e+01,1.342623e+01,5.040909e+00,2.376882e+00,3.305404e-55,2.540649e-04,2.298174e+01,1.382279e+01,1.701982e+01,3.495207e+01
1.128174e+00,2.575000e+01,1.539770e+00,1.728593e+02,1.297219e+01,3.144347e+00,3.733038e+00,1.803311e+00,5.699812e+00,3.538949e+00,9.814446e+00,1.363491e+01,4.464486e+00,2.310740e+00,0.000000e+00,2.597790e-04,2.343627e+01,1.409397e+01,1.746980e+01,3.538214e+01
1.345047e+00,3.070000e+01,1.513255e+00,1.993956e+02,1.533683e+01,3.139395e+00,3.496157e+00,1.783249e+00,5.678926e+00,3.581682e+00,9.427776e+00,1.378474e+01,4.045124e+00,2.264954e+00,-9.966211e-75,2.643309e-04,2.379788e+01,1.430968e+01,1.782956e+01,3.572457e+01
1.561919e+00,3.565000e+01,1.491565e+00,2.251891e+02,1.768700e+01,3.135294e+00,3.325470e+00,1.771408e+00,5.673322e+00,3.619882e+00,9.025179e+00,1.389819e+01,3.725300e+00,2.232238e+00,-8.149856e-66,2.681746e-04,2.410285e+01,1.449158e+01,1.813431e+01,3.601357e+01
1.778792e+00,4.060000e+01,1.472988e+00,2.502566e+02,2.002304e+01,3.131743e+00,3.197828e+00,1.764909e+00,5.677640e+00,3.655122e+00,8.609813e+00,1.398754e+01,3.472843e+00,2.208473e+00,-4.063117e-69,2.715569e-04,2.437091e+01,1.465145e+01,1.840320e+01,3.626777e+01
1.995664e+00,4.555000e+01,1.456538e+00,2.746090e+02,2.234514e+01,3.128566e+00,3.099779e+00,1.762094e+00,5.688815e+00,3.688356e+00,8.183602e+00,1.406006e+01,3.268270e+00,2.191145e+00,9.490796e-66,2.746239e-04,2.461371e+01,1.479624e+01,1.864765e+01,3.649817e+01
2.212536e+00,5.050000e+01,1.441608e+00,2.982544e+02,2.465345e+01,3.125656e+00,3.022965e+00,1.761936e+00,5.704966e+00,3.720193e+00,7.747769e+00,1.412034e+01,3.099052e+00,2.178628e+00,3.316687e-66,2.774679e-04,2.483866e+01,1.493037e+01,1.887484e+01,3.671175e+01
2.429409e+00,5.545000e+01,1.427805e+00,3.211985e+02,2.694810e+01,3.122945e+00,2.961922e+00,1.763771e+00,5.724881e+00,3.751046e+00,7.303118e+00,1.417144e+01,2.956743e+00,2.169821e+00,-6.866039e-59,2.801503e-04,2.505065e+01,1.505677e+01,1.908956e+01,3.691312e+01
2.646281e+00,6.040000e+01,1.414859e+00,3.434454e+02,2.922913e+01,3.120381e+00,2.912931e+00,1.767149e+00,5.747748e+00,3.781207e+00,6.850190e+00,1.421546e+01,2.835431e+00,2.163950e+00,3.559596e-70,2.827136e-04,2.525305e+01,1.517743e+01,1.929517e+01,3.710548e+01
2.863153e+00,6.535000e+01,1.402583e+00,3.649990e+02,3.149664e+01,3.117934e+00,2.873363e+00,1.771755e+00,5.772996e+00,3.810884e+00,6.389344e+00,1.425392e+01,2.730845e+00,2.160453e+00,-5.883709e-59,2.851881e-04,2.544832e+01,1.529384e+01,1.949399e+01,3.729114e+01
3.080026e+00,7.030000e+01,1.391054e+00,3.855172e+02,3.374391e+01,3.115613e+00,2.844376e+00,1.777781e+00,5.801065e+00,3.840134e+00,5.917064e+00,1.428611e+01,2.645404e+00,2.159738e+00,-2.941855e-59,2.875715e-04,2.563622e+01,1.540584e+01,1.968598e+01,3.746989e+01
3.296898e+00,7.525000e+01,1.379525e+00,4.060353e+02,3.599119e+01,3.113292e+00,2.815389e+00,1.783806e+00,5.829135e+00,3.869384e+00,5.444784e+00,1.431830e+01,2.559963e+00,2.159022e+00,0.000000e+00,2.899548e-04,2.582412e+01,1.551784e+01,1.987797e+01,3.764864e+01
