# system_capacity,LCOT_wo_revenue,Total CAPEX,Total OPEX,Total fixed OPEX,Opex_fraction,SEC,O3:TOC,HRT_ozone,EBCT_BAC,EBCT_GAC,Replacement_Frequency,UV dose,H2O2 dose,Cl dose,HRT_Cl
4.775577e-01,1.015356e+00,6.496841e+07,8.780410e+06,7.914165e+06,6.750683e+01,2.263507e+00,8.030000e-01,5.000000e+00,3.000000e+01,1.000000e+01,7.908520e-02,3.499997e+03,4.169740e+00,2.102624e-01,3.002328e+01
9.113028e-01,9.294384e-01,9.718254e+07,1.639803e+07,1.510226e+07,7.217476e+01,2.263507e+00,8.030000e-01,5.000000e+00,3.000000e+01,1.000000e+01,7.908520e-02,3.499997e+03,4.169741e+00,2.102624e-01,3.002333e+01
1.345048e+00,8.917618e-01,1.260957e+08,2.397163e+07,2.229035e+07,7.450544e+01,2.263507e+00,8.030000e-01,5.000000e+00,3.000000e+01,1.000000e+01,7.908518e-02,3.499998e+03,4.169740e+00,2.102572e-01,3.000845e+01
1.778793e+00,8.676736e-01,1.520954e+08,3.150639e+07,2.947845e+07,7.610162e+01,2.263507e+00,8.030000e-01,5.000000e+00,3.000000e+01,1.000000e+01,7.908518e-02,3.499998e+03,4.169740e+00,2.102572e-01,3.000845e+01
2.212538e+00,8.493673e-01,1.753222e+08,3.900417e+07,3.666654e+07,7.737521e+01,2.263507e+00,8.030000e-01,5.000000e+00,3.000000e+01,1.000000e+01,7.908520e-02,3.499997e+03,4.169741e+00,2.102624e-01,3.002330e+01
2.646283e+00,8.340751e-01,1.958439e+08,4.646589e+07,4.385464e+07,7.848197e+01,2.263507e+00,8.030000e-01,5.000000e+00,3.000000e+01,1.000000e+01,7.908518e-02,3.499997e+03,4.169740e+00,2.102572e-01,3.000844e+01
3.080028e+00,8.205601e-01,2.136992e+08,5.389206e+07,5.104273e+07,7.949443e+01,2.263507e+00,8.030000e-01,5.000000e+00,3.000000e+01,1.000000e+01,7.908520e-02,3.499997e+03,4.169741e+00,2.102624e-01,3.002328e+01
3.513773e+00,8.081844e-01,2.289123e+08,6.128299e+07,5.823083e+07,8.045126e+01,2.263507e+00,8.030000e-01,5.000000e+00,3.000000e+01,1.000000e+01,7.908520e-02,3.499997e+03,4.169741e+00,2.102624e-01,3.002328e+01
3.947519e+00,7.965844e-01,2.414994e+08,6.863891e+07,6.541892e+07,8.137510e+01,2.263507e+00,8.030000e-01,5.000000e+00,3.000000e+01,1.000000e+01,7.908520e-02,3.499997e+03,4.169741e+00,2.102624e-01,3.002328e+01
4.381264e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
