# system_capacity,flowrate_MGD,LCOW,Total CAPEX (MGD),Total OPEX (MGD/year),SEC,Ozone_CAPEX_frac,Ozone_OPEX_frac,BAF_CAPEX_frac,BAF_OPEX_frac,UF_CAPEX_frac,UF_OPEX_frac,GAC_CAPEX_frac,GAC_OPEX_frac,UV_AOP_CAPEX_frac,UV_AOP_OPEX_frac,Cl_CAPEX_frac,Cl_OPEX_frac,Total_Opex_frac
4.381260e-02,1.000000e+00,5.467883e+00,4.003751e+01,2.139774e+00,2.285222e+00,1.487908e+01,2.937047e+00,5.837057e+00,1.684719e+00,6.365733e+00,3.869340e+00,5.444675e+00,2.008369e+01,1.377028e+01,2.981181e+00,1.887344e+01,3.273759e+00,3.482974e+01
2.606850e-01,5.950000e+00,2.329065e+00,5.939301e+01,9.631000e+00,2.285222e+00,7.284280e+00,2.101655e+00,4.866298e+00,2.422927e+00,7.454715e+00,7.785297e+00,3.945114e+00,4.561770e+01,8.451576e+00,2.858998e+00,6.143078e+00,1.068361e+00,6.185494e+01
4.775573e-01,1.090000e+01,2.025462e+00,7.711633e+01,1.709393e+01,2.285222e+00,5.459538e+00,1.910982e+00,4.663444e+00,2.624464e+00,7.523562e+00,8.770455e+00,3.604181e+00,5.229384e+01,6.259417e+00,2.687804e+00,3.578181e+00,6.241311e-01,6.891168e+01
6.944297e-01,1.585000e+01,2.021995e+00,9.379938e+01,2.662879e+01,2.285222e+00,4.372144e+00,1.724097e+00,4.112379e+00,2.430325e+00,6.964149e+00,8.686264e+00,3.265981e+00,5.806925e+01,4.987844e+00,2.630397e+00,2.346570e+00,4.105942e-01,7.395093e+01
9.113021e-01,2.080000e+01,1.838181e+00,1.098572e+02,3.197287e+01,2.285222e+00,4.177135e+00,1.786887e+00,4.550862e+00,2.789954e+00,7.181426e+00,9.471798e+00,3.383676e+00,5.751985e+01,4.384787e+00,2.526041e+00,1.894927e+00,3.326592e-01,7.442719e+01
1.128174e+00,2.575000e+01,1.793891e+00,1.250806e+02,3.939245e+01,2.285222e+00,3.881508e+00,1.761865e+00,4.535759e+00,2.836736e+00,6.933025e+00,9.631839e+00,3.339756e+00,5.891787e+01,3.888400e+00,2.483571e+00,1.521630e+00,2.680363e-01,7.589992e+01
1.345047e+00,3.070000e+01,1.761456e+00,1.395904e+02,4.679966e+01,2.285222e+00,3.677839e+00,1.746602e+00,4.531332e+00,2.873723e+00,6.661452e+00,9.739977e+00,3.313306e+00,5.998753e+01,3.523781e+00,2.453669e+00,1.266847e+00,2.239381e-01,7.702544e+01
1.561919e+00,3.565000e+01,1.735991e+00,1.534050e+02,5.419481e+01,2.285222e+00,3.530137e+00,1.737259e+00,4.533344e+00,2.904701e+00,6.374382e+00,9.816133e+00,3.297451e+00,6.085630e+01,3.243656e+00,2.432130e+00,1.082477e+00,1.920341e-01,7.793855e+01
1.778792e+00,4.060000e+01,1.714978e+00,1.665362e+02,6.157812e+01,2.285222e+00,3.419042e+00,1.731783e+00,4.539552e+00,2.931737e+00,6.076025e+00,9.871133e+00,3.288517e+00,6.159339e+01,3.021185e+00,2.416465e+00,9.432288e-01,1.679437e-01,7.871245e+01
1.995664e+00,4.555000e+01,1.696985e+00,1.789924e+02,6.894972e+01,2.285222e+00,3.333213e+00,1.728978e+00,4.548663e+00,2.956057e+00,5.768880e+00,9.911375e+00,3.284363e+00,6.223971e+01,2.839939e+00,2.405108e+00,8.345630e-01,1.491493e-01,7.939038e+01
