# toc conc,effluent_toc_limit,flowrate_MGD,LCOW,Total CAPEX (MGD),Total OPEX (MGD/year),SEC,Ozone_CAPEX_frac,Ozone_OPEX_frac,BAF_CAPEX_frac,BAF_OPEX_frac,UF_CAPEX_frac,UF_OPEX_frac,GAC_CAPEX_frac,GAC_OPEX_frac,UV_AOP_CAPEX_frac,UV_AOP_OPEX_frac,Cl_CAPEX_frac,Cl_OPEX_frac,Total_Opex_frac
7.000000e-03,5.000000e-01,5.000000e+00,1.930427e+00,5.554334e+01,5.290505e+00,2.252155e+00,9.783540e+00,2.556396e+00,6.280434e+00,2.994217e+00,9.386807e+00,9.461050e+00,5.169030e+00,2.851550e+01,1.159417e+01,3.691664e+00,9.002403e+00,1.564795e+00,4.878362e+01
7.000000e-03,5.750000e-01,5.000000e+00,1.884339e+00,5.554334e+01,5.031588e+00,2.252155e+00,1.002283e+01,2.618922e+00,6.434045e+00,3.067451e+00,9.616395e+00,9.692454e+00,5.295457e+00,2.676708e+01,1.187775e+01,3.781957e+00,9.222589e+00,1.603068e+00,4.753094e+01
7.000000e-03,6.500000e-01,5.000000e+00,1.848193e+00,5.554334e+01,4.828525e+00,2.252155e+00,1.021885e+01,2.670142e+00,6.559879e+00,3.127443e+00,9.804468e+00,9.882015e+00,5.399023e+00,2.533483e+01,1.211005e+01,3.855923e+00,9.402960e+00,1.634420e+00,4.650477e+01
7.000000e-03,7.250000e-01,5.000000e+00,1.818702e+00,5.554334e+01,4.662852e+00,2.252155e+00,1.038455e+01,2.713438e+00,6.666248e+00,3.178155e+00,9.963448e+00,1.004225e+01,5.486569e+00,2.412413e+01,1.230641e+01,3.918447e+00,9.555430e+00,1.660922e+00,4.563734e+01
7.000000e-03,8.000000e-01,5.000000e+00,1.793772e+00,5.554334e+01,4.522800e+00,2.252155e+00,1.052888e+01,2.751150e+00,6.758896e+00,3.222325e+00,1.010192e+01,1.018182e+01,5.562821e+00,2.306960e+01,1.247745e+01,3.972906e+00,9.688231e+00,1.684006e+00,4.488181e+01
7.000000e-03,8.750000e-01,5.000000e+00,1.772004e+00,5.554335e+01,4.400513e+00,2.252155e+00,1.065822e+01,2.784945e+00,6.841923e+00,3.261909e+00,1.022601e+01,1.030690e+01,5.631156e+00,2.212457e+01,1.263072e+01,4.021710e+00,9.807243e+00,1.704692e+00,4.420472e+01
7.000000e-03,9.500000e-01,5.000000e+00,1.752437e+00,5.554335e+01,4.290586e+00,2.252155e+00,1.077723e+01,2.816042e+00,6.918319e+00,3.298331e+00,1.034020e+01,1.042198e+01,5.694033e+00,2.125502e+01,1.277176e+01,4.066616e+00,9.916749e+00,1.723727e+00,4.358172e+01
7.000000e-03,1.025000e+00,5.000000e+00,1.734397e+00,5.554335e+01,4.189240e+00,2.252155e+00,1.088932e+01,2.845332e+00,6.990279e+00,3.332638e+00,1.044775e+01,1.053038e+01,5.753258e+00,2.043598e+01,1.290460e+01,4.108914e+00,1.001990e+01,1.741656e+00,4.299490e+01
7.000000e-03,1.100000e+00,5.000000e+00,1.717415e+00,5.554335e+01,4.093839e+00,2.252155e+00,1.099700e+01,2.873466e+00,7.059398e+00,3.365591e+00,1.055106e+01,1.063451e+01,5.810146e+00,1.964925e+01,1.303220e+01,4.149543e+00,1.011897e+01,1.758877e+00,4.243124e+01
7.000000e-03,1.175000e+00,5.000000e+00,1.701171e+00,5.554335e+01,4.002587e+00,2.252155e+00,1.110200e+01,2.900903e+00,7.126804e+00,3.397726e+00,1.065180e+01,1.073605e+01,5.865623e+00,1.888204e+01,1.315663e+01,4.189165e+00,1.021559e+01,1.775671e+00,4.188155e+01
7.000000e-03,1.250000e+00,5.000000e+00,1.685459e+00,5.554335e+01,3.914321e+00,2.252155e+00,1.120549e+01,2.927945e+00,7.193239e+00,3.429400e+00,1.075110e+01,1.083613e+01,5.920302e+00,1.812586e+01,1.327928e+01,4.228216e+00,1.031082e+01,1.792224e+00,4.133977e+01
7.000000e-03,1.325000e+00,5.000000e+00,1.670159e+00,5.554335e+01,3.828368e+00,2.252155e+00,1.130814e+01,2.954767e+00,7.259135e+00,3.460816e+00,1.084958e+01,1.093540e+01,5.974536e+00,1.737583e+01,1.340093e+01,4.266950e+00,1.040528e+01,1.808642e+00,4.080240e+01
7.000000e-03,1.400000e+00,5.000000e+00,1.655217e+00,5.554335e+01,3.744427e+00,2.252155e+00,1.141022e+01,2.981440e+00,7.324664e+00,3.492057e+00,1.094752e+01,1.103411e+01,6.028469e+00,1.662997e+01,1.352190e+01,4.305468e+00,1.049920e+01,1.824969e+00,4.026802e+01
7.000000e-03,1.475000e+00,5.000000e+00,1.640629e+00,5.554335e+01,3.662470e+00,2.252155e+00,1.151168e+01,3.007952e+00,7.389795e+00,3.523108e+00,1.104487e+01,1.113223e+01,6.082075e+00,1.588864e+01,1.364214e+01,4.343753e+00,1.059256e+01,1.841197e+00,3.973688e+01
7.000000e-03,1.550000e+00,5.000000e+00,1.626421e+00,5.554335e+01,3.582656e+00,2.252155e+00,1.161224e+01,3.034227e+00,7.454347e+00,3.553884e+00,1.114135e+01,1.122947e+01,6.135203e+00,1.515390e+01,1.376131e+01,4.381697e+00,1.068509e+01,1.857280e+00,3.921046e+01
7.000000e-03,1.625000e+00,5.000000e+00,1.612644e+00,5.554335e+01,3.505257e+00,2.252155e+00,1.171145e+01,3.060149e+00,7.518032e+00,3.584246e+00,1.123653e+01,1.132541e+01,6.187618e+00,1.442903e+01,1.387887e+01,4.419132e+00,1.077638e+01,1.873147e+00,3.869112e+01
7.000000e-03,1.700000e+00,5.000000e+00,1.599354e+00,5.554335e+01,3.430595e+00,2.252155e+00,1.180877e+01,3.085578e+00,7.580505e+00,3.614030e+00,1.132991e+01,1.141952e+01,6.239036e+00,1.371796e+01,1.399420e+01,4.455854e+00,1.086593e+01,1.888713e+00,3.818165e+01
7.000000e-03,1.775000e+00,5.000000e+00,1.586608e+00,5.554335e+01,3.358992e+00,2.252155e+00,1.190363e+01,3.110365e+00,7.641401e+00,3.643062e+00,1.142092e+01,1.151125e+01,6.289155e+00,1.302484e+01,1.410662e+01,4.491649e+00,1.095322e+01,1.903885e+00,3.768506e+01
7.000000e-03,1.850000e+00,5.000000e+00,1.574458e+00,5.554335e+01,3.290737e+00,2.252155e+00,1.199548e+01,3.134367e+00,7.700367e+00,3.671175e+00,1.150905e+01,1.160008e+01,6.337687e+00,1.235368e+01,1.421548e+01,4.526309e+00,1.103774e+01,1.918577e+00,3.720419e+01
7.000000e-03,1.925000e+00,5.000000e+00,1.562945e+00,5.554335e+01,3.226059e+00,2.252155e+00,1.208385e+01,3.157456e+00,7.757090e+00,3.698217e+00,1.159383e+01,1.168553e+01,6.384371e+00,1.170806e+01,1.432019e+01,4.559651e+00,1.111905e+01,1.932709e+00,3.674162e+01
7.000000e-03,2.000000e+00,5.000000e+00,1.552097e+00,5.554335e+01,3.165115e+00,2.252155e+00,1.216831e+01,3.179525e+00,7.811308e+00,3.724066e+00,1.167487e+01,1.176721e+01,6.428995e+00,1.109094e+01,1.442029e+01,4.591521e+00,1.119676e+01,1.946218e+00,3.629948e+01
7.650000e-03,5.000000e-01,5.000000e+00,2.019351e+00,5.561037e+01,5.783354e+00,2.259319e+00,9.411807e+00,2.485506e+00,6.003875e+00,2.862366e+00,8.973456e+00,9.044429e+00,4.941410e+00,3.156256e+01,1.108362e+01,3.529100e+00,8.605981e+00,1.495889e+00,5.097985e+01
7.650000e-03,5.750000e-01,5.000000e+00,1.964420e+00,5.561037e+01,5.474761e+00,2.259319e+00,9.674988e+00,2.555008e+00,6.171760e+00,2.942406e+00,9.224380e+00,9.297337e+00,5.079586e+00,2.964886e+01,1.139355e+01,3.627783e+00,8.846629e+00,1.537719e+00,4.960911e+01
7.650000e-03,6.500000e-01,5.000000e+00,1.921575e+00,5.561037e+01,5.234064e+00,2.259319e+00,9.890710e+00,2.611977e+00,6.309371e+00,3.008013e+00,9.430055e+00,9.504639e+00,5.192845e+00,2.808025e+01,1.164759e+01,3.708672e+00,9.043881e+00,1.572005e+00,4.848555e+01
7.650000e-03,7.250000e-01,5.000000e+00,1.886921e+00,5.561037e+01,5.039387e+00,2.259319e+00,1.007235e+01,2.659946e+00,6.425243e+00,3.063255e+00,9.603238e+00,9.679192e+00,5.288212e+00,2.675944e+01,1.186150e+01,3.776782e+00,9.209972e+00,1.600875e+00,4.753949e+01
7.650000e-03,8.000000e-01,5.000000e+00,1.857977e+00,5.561037e+01,4.876787e+00,2.259319e+00,1.022926e+01,2.701383e+00,6.525335e+00,3.110974e+00,9.752837e+00,9.829974e+00,5.370592e+00,2.561850e+01,1.204627e+01,3.835617e+00,9.353445e+00,1.625813e+00,4.672226e+01
7.650000e-03,8.750000e-01,5.000000e+00,1.833083e+00,5.561037e+01,4.736937e+00,2.259319e+00,1.036818e+01,2.738069e+00,6.613952e+00,3.153223e+00,9.885284e+00,9.963469e+00,5.443526e+00,2.460837e+01,1.220987e+01,3.887706e+00,9.480468e+00,1.647892e+00,4.599872e+01
7.650000e-03,9.500000e-01,5.000000e+00,1.811088e+00,5.561037e+01,4.613369e+00,2.259319e+00,1.049410e+01,2.771322e+00,6.694278e+00,3.191518e+00,1.000534e+01,1.008448e+01,5.509638e+00,2.369274e+01,1.235816e+01,3.934922e+00,9.595608e+00,1.667906e+00,4.534288e+01
7.650000e-03,1.025000e+00,5.000000e+00,1.791172e+00,5.561037e+01,4.501485e+00,2.259319e+00,1.061078e+01,2.802136e+00,6.768711e+00,3.227004e+00,1.011659e+01,1.019660e+01,5.570899e+00,2.284429e+01,1.249556e+01,3.978674e+00,9.702300e+00,1.686451e+00,4.473516e+01
7.650000e-03,1.100000e+00,5.000000e+00,1.772746e+00,5.561037e+01,4.397972e+00,2.259319e+00,1.072107e+01,2.831261e+00,6.839064e+00,3.260546e+00,1.022174e+01,1.030259e+01,5.628802e+00,2.204234e+01,1.262544e+01,4.020029e+00,9.803145e+00,1.703980e+00,4.416074e+01
7.650000e-03,1.175000e+00,5.000000e+00,1.755385e+00,5.561037e+01,4.300441e+00,2.259320e+00,1.082710e+01,2.859263e+00,6.906703e+00,3.292793e+00,1.032283e+01,1.040448e+01,5.684471e+00,2.127133e+01,1.275031e+01,4.059787e+00,9.900099e+00,1.720832e+00,4.360848e+01
7.650000e-03,1.250000e+00,5.000000e+00,1.738787e+00,5.561037e+01,4.207198e+00,2.259320e+00,1.093045e+01,2.886556e+00,6.972631e+00,3.324224e+00,1.042137e+01,1.050380e+01,5.738732e+00,2.051982e+01,1.287202e+01,4.098540e+00,9.994601e+00,1.737259e+00,4.307020e+01
7.650000e-03,1.325000e+00,5.000000e+00,1.722746e+00,5.561037e+01,4.117083e+00,2.259320e+00,1.103223e+01,2.913433e+00,7.037555e+00,3.355177e+00,1.051841e+01,1.060160e+01,5.792167e+00,1.977976e+01,1.299187e+01,4.136703e+00,1.008766e+01,1.753435e+00,4.254011e+01
7.650000e-03,1.400000e+00,5.000000e+00,1.707130e+00,5.561037e+01,4.029355e+00,2.259320e+00,1.113314e+01,2.940084e+00,7.101931e+00,3.385868e+00,1.061462e+01,1.069858e+01,5.845151e+00,1.904595e+01,1.311072e+01,4.174543e+00,1.017994e+01,1.769474e+00,4.201449e+01
7.650000e-03,1.475000e+00,5.000000e+00,1.691866e+00,5.561037e+01,3.943602e+00,2.259320e+00,1.123359e+01,2.966610e+00,7.166006e+00,3.416416e+00,1.071039e+01,1.079510e+01,5.897887e+00,1.831557e+01,1.322900e+01,4.212207e+00,1.027178e+01,1.785439e+00,4.149134e+01
7.650000e-03,1.550000e+00,5.000000e+00,1.676925e+00,5.561037e+01,3.859668e+00,2.259320e+00,1.133367e+01,2.993041e+00,7.229851e+00,3.446855e+00,1.080581e+01,1.089128e+01,5.950434e+00,1.758780e+01,1.334687e+01,4.249736e+00,1.036330e+01,1.801346e+00,4.097006e+01
7.650000e-03,1.625000e+00,5.000000e+00,1.662313e+00,5.561037e+01,3.777582e+00,2.259320e+00,1.143330e+01,3.019350e+00,7.293402e+00,3.477152e+00,1.090080e+01,1.098701e+01,6.002738e+00,1.686340e+01,1.346419e+01,4.287091e+00,1.045439e+01,1.817180e+00,4.045118e+01
7.650000e-03,1.700000e+00,5.000000e+00,1.648058e+00,5.561037e+01,3.697503e+00,2.259320e+00,1.153219e+01,3.045465e+00,7.356484e+00,3.507227e+00,1.099508e+01,1.108204e+01,6.054657e+00,1.614433e+01,1.358064e+01,4.324171e+00,1.054482e+01,1.832897e+00,3.993613e+01
