# system_capacity,tds conc,flowrate_MGD,LCOW,Total CAPEX (MGD),Total OPEX (MGD/year),SEC,Ozone_CAPEX_frac,Ozone_OPEX_frac,BAF_CAPEX_frac,BAF_OPEX_frac,UF_CAPEX_frac,UF_OPEX_frac,UV_AOP_CAPEX_frac,UV_AOP_OPEX_frac,Cl_CAPEX_frac,Cl_OPEX_frac,RO_CAPEX_frac,RO_OPEX_frac,brine_frac,Total_Opex_frac
4.381260e-02,5.000000e-01,1.000000e+00,5.883827e+00,3.704905e+01,1.582441e+00,8.716365e+00,3.485526e+01,1.617820e+01,6.308161e+00,1.751422e+00,7.081805e+00,4.304317e+00,1.244419e+01,2.559778e+00,1.477280e-68,1.282990e-03,6.404474e+00,3.862171e+00,4.248937e+00,2.865718e+01
4.381260e-02,1.250000e+00,1.000000e+00,8.700359e+00,5.251313e+01,2.673397e+00,1.698230e+01,4.254765e+01,2.432305e+01,4.269249e+00,1.185331e+00,4.792374e+00,2.912517e+00,8.420504e+00,1.731947e+00,1.820705e-68,8.676348e-04,4.331180e+00,2.611886e+00,2.873446e+00,3.276560e+01
4.381260e-02,2.000000e+00,1.000000e+00,1.152112e+01,6.797720e+01,3.764353e+00,2.524823e+01,4.648205e+01,2.848887e+01,3.226414e+00,8.957942e-01,3.621407e+00,2.200658e+00,6.362520e+00,1.308539e+00,2.403032e-66,6.552220e-04,3.270759e+00,1.972407e+00,2.169928e+00,3.486692e+01
4.775573e-01,5.000000e-01,1.090000e+01,3.591512e+00,2.039892e+02,1.378358e+01,8.716364e+00,3.366851e+01,2.244108e+01,2.844024e+00,1.570562e+00,5.079032e+00,5.920628e+00,3.438745e+00,1.255034e+00,2.442251e-68,2.101871e-03,1.049219e+01,6.327236e+00,6.960860e+00,3.751664e+01
4.775573e-01,1.250000e+00,1.090000e+01,6.406452e+00,3.725589e+02,2.567520e+01,1.698230e+01,4.463550e+01,3.075274e+01,1.595582e+00,8.811317e-01,2.848958e+00,3.320895e+00,1.928824e+00,7.037620e-01,0.000000e+00,1.178302e-03,5.882010e+00,3.547103e+00,3.902318e+00,3.920681e+01
4.775573e-01,2.000000e+00,1.090000e+01,9.225623e+00,5.411286e+02,3.756682e+01,2.524823e+01,4.891134e+01,3.399331e+01,1.108836e+00,6.123348e-01,1.979491e+00,2.307305e+00,1.340132e+00,4.888307e-01,2.380479e-69,8.182357e-04,4.084582e+00,2.463177e+00,2.709845e+00,3.986578e+01
9.113021e-01,5.000000e-01,2.080000e+01,3.447558e+00,3.653151e+02,2.588738e+01,8.716364e+00,3.390071e+01,2.317462e+01,2.587626e+00,1.571096e+00,4.583545e+00,6.045165e+00,2.280150e+00,1.081659e+00,-1.193892e-52,2.189589e-03,1.093029e+01,6.591433e+00,7.251513e+00,3.846616e+01
9.113021e-01,1.250000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.113021e-01,2.000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.345047e+00,5.000000e-01,3.070000e+01,3.383574e+00,5.234801e+02,3.793637e+01,8.716364e+00,3.411719e+01,2.353924e+01,2.500843e+00,1.577274e+00,4.151318e+00,6.069509e+00,1.790887e+00,1.009806e+00,4.800845e-65,2.231041e-03,1.113699e+01,6.716077e+00,7.388640e+00,3.891413e+01
1.345047e+00,1.250000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.345047e+00,2.000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.778792e+00,5.000000e-01,4.060000e+01,3.342030e+00,6.787990e+02,4.993601e+01,8.716364e+00,3.432108e+01,2.379367e+01,2.461537e+00,1.584676e+00,3.732487e+00,6.063392e+00,1.514797e+00,9.706291e-01,2.139844e-73,2.258775e-03,1.127543e+01,6.799564e+00,7.480487e+00,3.921419e+01
1.778792e+00,1.250000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.778792e+00,2.000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.212536e+00,5.000000e-01,5.050000e+01,3.310009e+00,8.313857e+02,6.188828e+01,8.716364e+00,3.451792e+01,2.400041e+01,2.442142e+00,1.592514e+00,3.316447e+00,6.043652e+00,1.335546e+00,9.463984e-01,-1.396412e-72,2.280578e-03,1.138450e+01,6.865341e+00,7.552852e+00,3.945059e+01
2.212536e+00,1.250000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
