# toc conc,flowrate_MGD,LCOW,Total CAPEX (MGD),Total OPEX (MGD/year),SEC,Ozone_CAPEX_frac,Ozone_OPEX_frac,BAF_CAPEX_frac,BAF_OPEX_frac,UF_CAPEX_frac,UF_OPEX_frac,UV_AOP_CAPEX_frac,UV_AOP_OPEX_frac,Cl_CAPEX_frac,Cl_OPEX_frac,RO_CAPEX_frac,RO_OPEX_frac,brine_frac,Total_Opex_frac
7.000000e-03,5.000000e+00,2.248953e+00,6.285959e+01,3.094523e+00,3.296950e+00,7.866575e+00,2.247678e+00,5.966835e+00,2.755001e+00,9.644992e+00,9.721278e+00,9.684993e+00,2.731329e+00,9.443981e+00,1.640804e+00,1.694954e+01,1.022327e+01,1.112372e+01,2.931936e+01
7.650000e-03,5.000000e+00,2.251025e+00,6.291546e+01,3.099215e+00,3.304474e+00,7.908700e+00,2.287894e+00,5.961127e+00,2.752365e+00,9.635764e+00,9.711976e+00,9.675819e+00,2.728770e+00,9.434908e+00,1.639228e+00,1.693652e+01,1.021549e+01,1.111144e+01,2.933572e+01
8.300000e-03,5.000000e+00,2.253097e+00,6.297133e+01,3.103907e+00,3.311998e+00,7.950744e+00,2.328033e+00,5.955431e+00,2.749735e+00,9.626554e+00,9.702693e+00,9.666663e+00,2.726216e+00,9.425852e+00,1.637655e+00,1.692351e+01,1.020772e+01,1.109919e+01,2.935206e+01
8.950000e-03,5.000000e+00,2.255169e+00,6.302717e+01,3.108597e+00,3.319519e+00,7.992711e+00,2.368096e+00,5.949747e+00,2.747111e+00,9.617365e+00,9.693431e+00,9.657527e+00,2.723667e+00,9.416818e+00,1.636086e+00,1.691051e+01,1.019996e+01,1.108698e+01,2.936835e+01
9.600000e-03,5.000000e+00,2.257241e+00,6.308170e+01,3.113204e+00,3.326903e+00,8.034709e+00,2.408116e+00,5.944157e+00,2.744530e+00,9.608327e+00,9.684322e+00,9.648508e+00,2.721140e+00,9.407947e+00,1.634544e+00,1.689655e+01,1.019158e+01,1.107556e+01,2.938424e+01
1.025000e-02,5.000000e+00,2.259313e+00,6.313421e+01,3.117683e+00,3.334074e+00,8.076803e+00,2.448114e+00,5.938705e+00,2.742013e+00,9.599514e+00,9.675438e+00,9.639659e+00,2.718645e+00,9.399318e+00,1.633045e+00,1.688111e+01,1.018227e+01,1.106536e+01,2.939953e+01
1.090000e-02,5.000000e+00,2.261385e+00,6.318666e+01,3.122159e+00,3.341239e+00,8.118825e+00,2.488041e+00,5.933267e+00,2.739502e+00,9.590722e+00,9.666576e+00,9.630831e+00,2.716155e+00,9.390712e+00,1.631550e+00,1.686565e+01,1.017295e+01,1.105522e+01,2.941477e+01
1.155000e-02,5.000000e+00,2.263457e+00,6.323911e+01,3.126634e+00,3.348403e+00,8.160770e+00,2.527894e+00,5.927839e+00,2.736996e+00,9.581947e+00,9.657732e+00,9.622019e+00,2.713669e+00,9.382122e+00,1.630058e+00,1.685022e+01,1.016364e+01,1.104510e+01,2.942999e+01
1.220000e-02,5.000000e+00,2.265529e+00,6.329155e+01,3.131109e+00,3.355567e+00,8.202639e+00,2.567674e+00,5.922422e+00,2.734494e+00,9.573189e+00,9.648903e+00,9.613224e+00,2.711188e+00,9.373549e+00,1.628568e+00,1.683481e+01,1.015435e+01,1.103499e+01,2.944517e+01
1.285000e-02,5.000000e+00,2.267600e+00,6.334399e+01,3.135584e+00,3.362731e+00,8.244432e+00,2.607382e+00,5.917014e+00,2.731998e+00,9.564446e+00,9.640091e+00,9.604445e+00,2.708712e+00,9.364990e+00,1.627081e+00,1.681943e+01,1.014507e+01,1.102491e+01,2.946033e+01
