# system_capacity,flowrate_MGD,LCOW,Total CAPEX (MGD),Total OPEX (MGD/year),SEC,Ozone_CAPEX_frac,Ozone_OPEX_frac,BAF_CAPEX_frac,BAF_OPEX_frac,UF_CAPEX_frac,UF_OPEX_frac,UV_AOP_CAPEX_frac,UV_AOP_OPEX_frac,Cl_CAPEX_frac,Cl_OPEX_frac,RO_CAPEX_frac,RO_OPEX_frac,brine_frac,Total_Opex_frac
4.381260e-02,1.000000e+00,5.280468e+00,3.679926e+01,1.042377e+00,3.331322e+00,1.443051e+01,2.944781e+00,7.027147e+00,1.951044e+00,7.889477e+00,4.795532e+00,1.386339e+01,2.851795e+00,2.380381e+01,4.128661e+00,7.222799e+00,4.356615e+00,4.734444e+00,2.102843e+01
2.606850e-01,5.950000e+00,2.134776e+00,6.898431e+01,3.590966e+00,3.310321e+00,7.459658e+00,2.390925e+00,5.854923e+00,2.831322e+00,9.755684e+00,1.018830e+01,8.988265e+00,2.666797e+00,8.213215e+00,1.427587e+00,1.770846e+01,1.067656e+01,1.183830e+01,3.018150e+01
4.775573e-01,1.090000e+01,1.830993e+00,9.890286e+01,6.050702e+00,3.255940e+00,5.703048e+00,2.276163e+00,5.622994e+00,3.105199e+00,1.004313e+01,1.170760e+01,6.783468e+00,2.468408e+00,4.891581e+00,8.522512e-01,2.017949e+01,1.215171e+01,1.421497e+01,3.256133e+01
6.944297e-01,1.585000e+01,1.709761e+00,1.279252e+02,8.492196e+00,3.233421e+00,4.895649e+00,2.231130e+00,5.536131e+00,3.247273e+00,9.965018e+00,1.242920e+01,5.586398e+00,2.352483e+00,3.443914e+00,6.015392e-01,2.140735e+01,1.288436e+01,1.541955e+01,3.374599e+01
9.113021e-01,2.080000e+01,1.641531e+00,1.561573e+02,1.091809e+01,3.220527e+00,4.435807e+00,2.211124e+00,5.501094e+00,3.340028e+00,9.745390e+00,1.285349e+01,4.828695e+00,2.278628e+00,2.640557e+00,4.624325e-01,2.217727e+01,1.334366e+01,1.618182e+01,3.448937e+01
1.128174e+00,2.575000e+01,1.595977e+00,1.836421e+02,1.332936e+01,3.211819e+00,4.141869e+00,2.202930e+00,5.490450e+00,3.408958e+00,9.453944e+00,1.313407e+01,4.302739e+00,2.228577e+00,2.132698e+00,3.745085e-01,2.272755e+01,1.367189e+01,1.672981e+01,3.502094e+01
1.345047e+00,3.070000e+01,1.562228e+00,2.104018e+02,1.572648e+01,3.205310e+00,3.940067e+00,2.201265e+00,5.493274e+00,3.464592e+00,9.119565e+00,1.333408e+01,3.914753e+00,2.193333e+00,1.784090e+00,3.141671e-01,2.315564e+01,1.392721e+01,1.715796e+01,3.543465e+01
1.561919e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.778792e+00,4.060000e+01,1.513035e+00,2.617945e+02,2.047924e+01,3.195718e+00,3.686652e+00,2.208615e+00,5.520976e+00,3.554265e+00,8.372237e+00,1.360157e+01,3.378450e+00,2.149590e+00,1.338840e+00,2.371243e-01,2.381329e+01,1.431938e+01,1.781901e+01,3.607054e+01
1.995664e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.212536e+00,5.050000e+01,1.476401e+00,3.103963e+02,2.517759e+01,3.188481e+00,3.540659e+00,2.223762e+00,5.564851e+00,3.628824e+00,7.557482e+00,1.377353e+01,3.024133e+00,2.126960e+00,1.068202e+00,1.903234e-01,2.433095e+01,1.462802e+01,1.834230e+01,3.657143e+01
2.429409e+00,5.545000e+01,1.460714e+00,3.336609e+02,2.750655e+01,3.185355e+00,3.490928e+00,2.233097e+00,5.590480e+00,3.662984e+00,7.131664e+00,1.383873e+01,2.888439e+00,2.120643e+00,9.695207e-01,1.732685e-01,2.456038e+01,1.476480e+01,1.857507e+01,3.679352e+01
2.646281e+00,6.040000e+01,1.446213e+00,3.562380e+02,2.982210e+01,3.182450e+00,3.451908e+00,2.243285e+00,5.617915e+00,3.695796e+00,6.695455e+00,1.389435e+01,2.772428e+00,2.116770e+00,8.873126e-01,1.590666e-01,2.477679e+01,1.489381e+01,1.879511e+01,3.700308e+01
2.863153e+00,6.535000e+01,1.432632e+00,3.781297e+02,3.212426e+01,3.179716e+00,3.421310e+00,2.254176e+00,5.646851e+00,3.727613e+00,6.249732e+00,1.394245e+01,2.672164e+00,2.114895e+00,8.178421e-01,1.470709e-01,2.498336e+01,1.501695e+01,1.900558e+01,3.720316e+01
3.080026e+00,7.030000e+01,1.419780e+00,3.993374e+02,3.441308e+01,3.177116e+00,3.397467e+00,2.265661e+00,5.677071e+00,3.758699e+00,5.795112e+00,1.398455e+01,2.584718e+00,2.114684e+00,7.584165e-01,1.368151e-01,2.518242e+01,1.513560e+01,1.920879e+01,3.739601e+01
3.296898e+00,7.525000e+01,1.407513e+00,4.198623e+02,3.668856e+01,3.174624e+00,3.379138e+00,2.277661e+00,5.708415e+00,3.789250e+00,5.332026e+00,1.402176e+01,2.507855e+00,2.115882e+00,7.070464e-01,1.279546e-01,2.537571e+01,1.525082e+01,1.940648e+01,3.758332e+01
3.513771e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.730643e+00,8.515000e+01,1.384334e+00,4.588678e+02,4.119958e+01,3.169886e+00,3.355459e+00,2.302985e+00,5.774034e+00,3.849327e+00,4.381578e+00,1.408480e+01,2.379317e+00,2.121742e+00,6.228202e-01,1.134408e-01,2.575013e+01,1.547397e+01,1.979039e+01,3.794627e+01
3.947515e+00,9.010000e+01,1.373275e+00,4.773495e+02,4.343512e+01,3.167610e+00,3.348807e+00,2.316231e+00,5.808155e+00,3.879070e+00,3.894563e+00,1.411184e+01,2.325186e+00,2.126121e+00,5.879128e-01,1.074323e-01,2.593312e+01,1.558303e+01,1.997853e+01,3.812372e+01
4.164388e+00,9.505000e+01,1.362496e+00,4.951522e+02,4.565740e+01,3.165387e+00,3.344964e+00,2.329827e+00,5.843073e+00,3.908725e+00,3.399813e+00,1.413647e+01,2.276567e+00,2.131322e+00,5.567975e-01,1.020808e-01,2.611432e+01,1.569101e+01,2.016503e+01,3.829943e+01
