# system_capacity,flowrate_MGD,LCOW,Total CAPEX (MGD),Total OPEX (MGD/year),SEC,Ozone_CAPEX_frac,Ozone_OPEX_frac,BAF_CAPEX_frac,BAF_OPEX_frac,UF_CAPEX_frac,UF_OPEX_frac,UV_AOP_CAPEX_frac,UV_AOP_OPEX_frac,Cl_CAPEX_frac,Cl_OPEX_frac,RO_CAPEX_frac,RO_OPEX_frac,brine_frac,Total_Opex_frac
4.381260e-02,1.000000e+00,5.291435e+00,3.878707e+01,1.076843e+00,3.331322e+00,1.840241e+01,3.632533e+00,7.012582e+00,1.947001e+00,7.873125e+00,4.785593e+00,1.383465e+01,2.845885e+00,2.375447e+01,4.120104e+00,7.207829e+00,4.347586e+00,2.362316e-01,2.167870e+01
1.522488e-01,3.475000e+00,2.431248e+00,5.447671e+01,2.305415e+00,3.184043e+00,1.313571e+01,3.255717e+00,6.701284e+00,2.780568e+00,1.005453e+01,9.316129e+00,1.189200e+01,3.035106e+00,1.334057e+01,2.316165e+00,1.474806e+01,8.865704e+00,5.584559e-01,2.956939e+01
2.606850e-01,5.950000e+00,1.931118e+00,6.887598e+01,3.470183e+00,3.076283e+00,1.086732e+01,3.135430e+00,6.674682e+00,3.227740e+00,1.112159e+01,1.161479e+01,1.016367e+01,2.987484e+00,9.396728e+00,1.633164e+00,1.777033e+01,1.065136e+01,7.557133e-01,3.324997e+01
3.691212e-01,8.425000e+00,1.718010e+00,8.292796e+01,4.625128e+00,3.025713e+00,9.546794e+00,3.073997e+00,6.681175e+00,3.506085e+00,1.167432e+01,1.300757e+01,8.916190e+00,2.923175e+00,7.228663e+00,1.257738e+00,1.958244e+01,1.171945e+01,8.824011e-01,3.548802e+01
4.775573e-01,1.090000e+01,1.598102e+00,9.671545e+01,5.773581e+00,2.995757e+00,8.683065e+00,3.039301e+00,6.699455e+00,3.699655e+00,1.196578e+01,1.394889e+01,7.992682e+00,2.866388e+00,5.856572e+00,1.020167e+00,2.081277e+01,1.244364e+01,9.716334e-01,3.701804e+01
5.859935e-01,1.337500e+01,1.520181e+00,1.102725e+02,6.916778e+00,2.975637e+00,8.075677e+00,3.019063e+00,6.722957e+00,3.844510e+00,1.210540e+01,1.463172e+01,7.283553e+00,2.819326e+00,4.911621e+00,8.565688e-01,2.171606e+01,1.297484e+01,1.038697e+00,3.814604e+01
6.944297e-01,1.585000e+01,1.464794e+00,1.236166e+02,8.055310e+00,2.960996e+00,7.626833e+00,3.007541e+00,6.749105e+00,3.958755e+00,1.214837e+01,1.515245e+01,6.721762e+00,2.780774e+00,4.222453e+00,7.372649e-01,2.241658e+01,1.338654e+01,1.091573e+00,3.902332e+01
8.028659e-01,1.832500e+01,1.422916e+00,1.367584e+02,9.189506e+00,2.949726e+00,7.282991e+00,3.001683e+00,6.776734e+00,4.052506e+00,1.212560e+01,1.556470e+01,6.265284e+00,2.749168e+00,3.698442e+00,6.465606e-01,2.298254e+01,1.371897e+01,1.134829e+00,3.973359e+01
9.113021e-01,2.080000e+01,1.389782e+00,1.497045e+02,1.031957e+01,2.940679e+00,7.012335e+00,2.999723e+00,6.805263e+00,4.131864e+00,1.205577e+01,1.590072e+01,5.886672e+00,2.723166e+00,3.287146e+00,5.753745e-01,2.345457e+01,1.399612e+01,1.171269e+00,4.032697e+01
1.019738e+00,2.327500e+01,1.362637e+00,1.624595e+02,1.144562e+01,2.933178e+00,6.794756e+00,3.000566e+00,6.834386e+00,4.200735e+00,1.195087e+01,1.618112e+01,5.567298e+00,2.701706e+00,2.956130e+00,5.180894e-01,2.385846e+01,1.423318e+01,1.202707e+00,4.083540e+01
1.128174e+00,2.575000e+01,1.339777e+00,1.750270e+02,1.256777e+01,2.926794e+00,6.616913e+00,3.003499e+00,6.863931e+00,4.261737e+00,1.181892e+01,1.641967e+01,5.294081e+00,2.683963e+00,2.684264e+00,4.710462e-01,2.421135e+01,1.444025e+01,1.230371e+00,4.128016e+01
1.236611e+00,2.822500e+01,1.320087e+00,1.874093e+02,1.368607e+01,2.921244e+00,6.469607e+00,3.008039e+00,6.893801e+00,4.316692e+00,1.166552e+01,1.662594e+01,5.057566e+00,2.669296e+00,2.457199e+00,4.317606e-01,2.452514e+01,1.462432e+01,1.255122e+00,4.167605e+01
1.345047e+00,3.070000e+01,1.302811e+00,1.996083e+02,1.480057e+01,2.916333e+00,6.346288e+00,3.013846e+00,6.923940e+00,4.366908e+00,1.149466e+01,1.680681e+01,4.850745e+00,2.657204e+00,2.264860e+00,3.984876e-01,2.480830e+01,1.479038e+01,1.277581e+00,4.203363e+01
1.453483e+00,3.317500e+01,1.287416e+00,2.116256e+02,1.591131e+01,2.911923e+00,6.242163e+00,3.020675e+00,6.954316e+00,4.413350e+00,1.130930e+01,1.696731e+01,4.668308e+00,2.647290e+00,2.099963e+00,3.699662e-01,2.506706e+01,1.494209e+01,1.298208e+00,4.236068e+01
1.561919e+00,3.565000e+01,1.273515e+00,2.234624e+02,1.701831e+01,2.907913e+00,6.153645e+00,3.028345e+00,6.984911e+00,4.456746e+00,1.111166e+01,1.711124e+01,4.506159e+00,2.639237e+00,1.957118e+00,3.452630e-01,2.530609e+01,1.508222e+01,1.317352e+00,4.266306e+01
1.670355e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.778792e+00,4.060000e+01,1.249116e+00,2.465982e+02,1.922121e+01,2.900804e+00,6.013095e+00,3.045699e+00,7.046728e+00,4.536507e+00,1.068595e+01,1.736044e+01,4.230526e+00,2.627737e+00,1.722226e+00,3.046520e-01,2.573856e+01,1.533567e+01,1.352204e+00,4.321071e+01
1.887228e+00,4.307500e+01,1.238232e+00,2.578987e+02,2.031714e+01,2.897603e+00,5.957260e+00,3.055197e+00,7.077947e+00,4.573656e+00,1.046024e+01,1.746979e+01,4.112419e+00,2.623910e+00,1.624593e+00,2.877769e-01,2.593700e+01,1.545193e+01,1.368290e+00,4.346225e+01
1.995664e+00,4.555000e+01,1.228036e+00,2.690216e+02,2.140940e+01,2.894588e+00,5.909156e+00,3.065152e+00,7.109375e+00,4.609379e+00,1.022714e+01,1.757100e+01,4.005081e+00,2.621164e+00,1.537408e+00,2.727109e-01,2.612608e+01,1.556269e+01,1.383673e+00,4.370210e+01
2.104100e+00,4.802500e+01,1.218424e+00,2.799676e+02,2.249801e+01,2.891729e+00,5.867699e+00,3.075511e+00,7.141016e+00,4.643902e+00,9.987306e+00,1.766527e+01,3.907126e+00,2.619380e+00,1.459112e+00,2.591840e-01,2.630724e+01,1.566879e+01,1.398463e+00,4.393204e+01
2.212536e+00,5.050000e+01,1.209311e+00,2.907369e+02,2.358296e+01,2.889004e+00,5.832006e+00,3.086235e+00,7.172874e+00,4.677412e+00,9.741296e+00,1.775354e+01,3.817398e+00,2.618457e+00,1.388438e+00,2.469769e-01,2.648167e+01,1.577094e+01,1.412751e+00,4.415357e+01
2.320972e+00,5.297500e+01,1.200627e+00,3.013300e+02,2.466427e+01,2.886393e+00,5.801348e+00,3.097290e+00,7.204957e+00,4.710065e+00,9.489553e+00,1.783664e+01,3.734931e+00,2.618309e+00,1.324348e+00,2.359098e-01,2.665034e+01,1.586970e+01,1.426613e+00,4.436791e+01
2.429409e+00,5.545000e+01,1.192316e+00,3.117472e+02,2.574194e+01,2.883882e+00,5.775115e+00,3.108648e+00,7.237267e+00,4.741989e+00,9.232438e+00,1.791520e+01,3.658903e+00,2.618864e+00,1.265983e+00,2.258340e-01,2.681408e+01,1.596556e+01,1.440109e+00,4.457610e+01
2.537845e+00,5.792500e+01,1.184331e+00,3.219887e+02,2.681598e+01,2.881459e+00,5.752798e+00,3.120288e+00,7.269810e+00,4.773295e+00,8.970257e+00,1.798981e+01,3.588618e+00,2.620058e+00,1.212626e+00,2.166253e-01,2.697359e+01,1.605893e+01,1.453294e+00,4.477901e+01
2.646281e+00,6.040000e+01,1.176632e+00,3.320548e+02,2.788639e+01,2.879111e+00,5.733970e+00,3.132190e+00,7.302595e+00,4.804077e+00,8.703263e+00,1.806094e+01,3.523479e+00,2.621836e+00,1.163673e+00,2.081794e-01,2.712944e+01,1.615014e+01,1.466216e+00,4.497736e+01
2.754717e+00,6.287500e+01,1.169185e+00,3.419455e+02,2.895316e+01,2.876829e+00,5.718264e+00,3.144341e+00,7.335627e+00,4.834418e+00,8.431669e+00,1.812900e+01,3.462970e+00,2.624153e+00,1.118615e+00,2.004078e-01,2.728213e+01,1.623950e+01,1.478914e+00,4.517181e+01
2.863153e+00,6.535000e+01,1.161962e+00,3.516614e+02,3.001631e+01,2.874607e+00,5.705363e+00,3.156725e+00,7.368908e+00,4.864382e+00,8.155643e+00,1.819433e+01,3.406643e+00,2.626966e+00,1.077016e+00,1.932352e-01,2.743212e+01,1.632726e+01,1.491417e+00,4.536289e+01
2.971590e+00,6.782500e+01,1.154939e+00,3.612022e+02,3.107584e+01,2.872436e+00,5.695003e+00,3.169333e+00,7.402448e+00,4.894034e+00,7.875337e+00,1.825724e+01,3.354109e+00,2.630240e+00,1.038502e+00,1.865970e-01,2.757976e+01,1.641364e+01,1.503760e+00,4.555108e+01
3.080026e+00,7.030000e+01,1.148095e+00,3.705682e+02,3.213173e+01,2.870311e+00,5.686947e+00,3.182156e+00,7.436253e+00,4.923426e+00,7.590871e+00,1.831801e+01,3.305027e+00,2.633943e+00,1.002753e+00,1.804375e-01,2.772539e+01,1.649882e+01,1.515966e+00,4.573679e+01
3.188462e+00,7.277500e+01,1.141411e+00,3.797595e+02,3.318400e+01,2.868227e+00,5.680997e+00,3.195187e+00,7.470329e+00,4.952605e+00,7.302350e+00,1.837685e+01,3.259097e+00,2.638047e+00,9.694886e-01,1.747085e-01,2.786929e+01,1.658299e+01,1.528061e+00,4.592039e+01
3.296898e+00,7.525000e+01,1.134873e+00,3.887765e+02,3.423266e+01,2.866181e+00,5.676969e+00,3.208418e+00,7.504677e+00,4.981610e+00,7.009850e+00,1.843397e+01,3.216052e+00,2.642527e+00,9.384664e-01,1.693678e-01,2.801173e+01,1.666630e+01,1.540060e+00,4.610219e+01
3.405334e+00,7.772500e+01,1.128465e+00,3.976189e+02,3.527768e+01,2.864167e+00,5.674714e+00,3.221846e+00,7.539308e+00,5.010481e+00,6.713447e+00,1.848956e+01,3.175658e+00,2.647361e+00,9.094745e-01,1.643788e-01,2.815293e+01,1.674886e+01,1.551985e+00,4.628249e+01
3.513771e+00,8.020000e+01,1.122177e+00,4.062869e+02,3.631908e+01,2.862183e+00,5.674095e+00,3.235464e+00,7.574227e+00,5.039249e+00,6.413194e+00,1.854377e+01,3.137706e+00,2.652531e+00,8.823260e-01,1.597092e-01,2.829308e+01,1.683080e+01,1.563851e+00,4.646152e+01
3.622207e+00,8.267500e+01,1.115997e+00,4.147806e+02,3.735685e+01,2.860225e+00,5.674990e+00,3.249271e+00,7.609439e+00,5.067945e+00,6.109136e+00,1.859674e+01,3.102010e+00,2.658018e+00,8.568565e-01,1.553304e-01,2.843237e+01,1.691223e+01,1.575672e+00,4.663953e+01
3.730643e+00,8.515000e+01,1.109916e+00,4.230998e+02,3.839099e+01,2.858289e+00,5.677296e+00,3.263264e+00,7.644952e+00,5.096596e+00,5.801309e+00,1.864860e+01,3.068401e+00,2.663807e+00,8.329205e-01,1.512173e-01,2.857094e+01,1.699323e+01,1.587464e+00,4.681672e+01
3.839079e+00,8.762500e+01,1.103925e+00,4.312452e+02,3.942151e+01,2.856378e+00,5.680912e+00,3.277438e+00,7.680765e+00,5.125222e+00,5.489733e+00,1.869945e+01,3.036727e+00,2.669883e+00,8.103877e-01,1.473474e-01,2.870898e+01,1.707392e+01,1.599233e+00,4.699326e+01
