# system_capacity,flowrate_MGD,LCOW,Total CAPEX (MGD),Total OPEX (MGD/year),SEC,Ozone_CAPEX_frac,Ozone_OPEX_frac,BAF_CAPEX_frac,BAF_OPEX_frac,UF_CAPEX_frac,UF_OPEX_frac,UV_AOP_CAPEX_frac,UV_AOP_OPEX_frac,Cl_CAPEX_frac,Cl_OPEX_frac,RO_CAPEX_frac,RO_OPEX_frac,brine_frac,Total_Opex_frac
4.381260e-02,1.000000e+00,7.778943e+00,3.878707e+01,1.076843e+00,3.331322e+00,1.251779e+01,2.470941e+00,4.770137e+00,1.324399e+00,5.355500e+00,3.255282e+00,9.410684e+00,1.935843e+00,1.615840e+01,2.802600e+00,4.902949e+00,2.957338e+00,3.213815e+01,1.474640e+01
1.522488e-01,3.475000e+00,4.924920e+00,5.544051e+01,2.366310e+00,3.331322e+00,6.374714e+00,1.579988e+00,3.252110e+00,1.349400e+00,4.879428e+00,4.521086e+00,5.796111e+00,1.485397e+00,6.462026e+00,1.121953e+00,7.744239e+00,4.671135e+00,5.076241e+01,1.472896e+01
2.606850e-01,5.950000e+00,4.436725e+00,7.168803e+01,3.648739e+00,3.331322e+00,4.576766e+00,1.320485e+00,2.811039e+00,1.359361e+00,4.683854e+00,4.891562e+00,4.317890e+00,1.281960e+00,3.942292e+00,6.852372e-01,8.596377e+00,5.185124e+00,5.634805e+01,1.472373e+01
3.691212e-01,8.425000e+00,4.231232e+00,8.765712e+01,4.926340e+00,3.331322e+00,3.718068e+00,1.197191e+00,2.602032e+00,1.365470e+00,4.546647e+00,5.065894e+00,3.512499e+00,1.168217e+00,2.801080e+00,4.874502e-01,9.013867e+00,5.436944e+00,5.908464e+01,1.472117e+01
4.775573e-01,1.090000e+01,4.116409e+00,1.033952e+02,6.199935e+00,3.331322e+00,3.215247e+00,1.125421e+00,2.480738e+00,1.369943e+00,4.430801e+00,5.165126e+00,2.999710e+00,1.094905e+00,2.155843e+00,3.756253e-01,9.265298e+00,5.588601e+00,6.073274e+01,1.471962e+01
5.859935e-01,1.337500e+01,4.042135e+00,1.189249e+02,7.469919e+00,3.331322e+00,2.885249e+00,1.078640e+00,2.401954e+00,1.373553e+00,4.324974e+00,5.227570e+00,2.641697e+00,1.043393e+00,1.743300e+00,3.041302e-01,9.435548e+00,5.691291e+00,6.184870e+01,1.471858e+01
6.944297e-01,1.585000e+01,3.989516e+00,1.342593e+02,8.736515e+00,3.331322e+00,2.652206e+00,1.045862e+00,2.346979e+00,1.376644e+00,4.224555e+00,5.269216e+00,2.376080e+00,1.005059e+00,1.457927e+00,2.546753e-01,9.559996e+00,5.766356e+00,6.266444e+01,1.471781e+01
8.028659e-01,1.832500e+01,3.949833e+00,1.494063e+02,9.999864e+00,3.331322e+00,2.478997e+00,1.021718e+00,2.306676e+00,1.379399e+00,4.127331e+00,5.297938e+00,2.170336e+00,9.753446e-01,1.249379e+00,2.185352e-01,9.656043e+00,5.824288e+00,6.329402e+01,1.471722e+01
9.113021e-01,2.080000e+01,3.918501e+00,1.643716e+02,1.126006e+01,3.331322e+00,2.345307e+00,1.003271e+00,2.276050e+00,1.381920e+00,4.032107e+00,5.318067e+00,2.005761e+00,9.515996e-01,1.090669e+00,1.910324e-01,9.733251e+00,5.870859e+00,6.380011e+01,1.471675e+01
1.019738e+00,2.327500e+01,3.892878e+00,1.791589e+02,1.251717e+01,3.331322e+00,2.239085e+00,9.887806e-01,2.252144e+00,1.384274e+00,3.938187e+00,5.332186e+00,1.870796e+00,9.321732e-01,9.660602e-01,1.694398e-01,9.797318e+00,5.909502e+00,6.422005e+01,1.471636e+01
1.128174e+00,2.575000e+01,3.871330e+00,1.937711e+02,1.377125e+01,3.331322e+00,2.152729e+00,9.771503e-01,2.233093e+00,1.386502e+00,3.845137e+00,5.341931e+00,1.757892e+00,9.159803e-01,8.657742e-01,1.520625e-01,9.851850e+00,5.942395e+00,6.457750e+01,1.471602e+01
1.236611e+00,2.822500e+01,3.852795e+00,2.082105e+02,1.502232e+01,3.331322e+00,2.081204e+00,9.676542e-01,2.217663e+00,1.388634e+00,3.752673e+00,5.348390e+00,1.661899e+00,9.022767e-01,7.834226e-01,1.377933e-01,9.899244e+00,5.970981e+00,6.488817e+01,1.471573e+01
1.345047e+00,3.070000e+01,3.836552e+00,2.224787e+02,1.627044e+01,3.331322e+00,2.021046e+00,9.597927e-01,2.205006e+00,1.390691e+00,3.660603e+00,5.352315e+00,1.579174e+00,8.905334e-01,7.146600e-01,1.258791e-01,9.941155e+00,5.996261e+00,6.516288e+01,1.471547e+01
1.453483e+00,3.317500e+01,3.822093e+00,2.365771e+02,1.751560e+01,3.331322e+00,1.969792e+00,9.532112e-01,2.194520e+00,1.392687e+00,3.568790e+00,5.354243e+00,1.507067e+00,8.803642e-01,6.564307e-01,1.157905e-01,9.978762e+00,6.018945e+00,6.540940e+01,1.471524e+01
1.561919e+00,3.565000e+01,3.809050e+00,2.505069e+02,1.875784e+01,3.331322e+00,1.925641e+00,9.476506e-01,2.185766e+00,1.394635e+00,3.477138e+00,5.354567e+00,1.443598e+00,8.714794e-01,6.065247e-01,1.071443e-01,1.001293e+01,6.039555e+00,6.563337e+01,1.471503e+01
1.670355e+00,3.812500e+01,3.797151e+00,2.642688e+02,1.999718e+01,3.331322e+00,1.887249e+00,9.429174e-01,2.178415e+00,1.396544e+00,3.385573e+00,5.353582e+00,1.387260e+00,8.636578e-01,5.633056e-01,9.965692e-02,1.004431e+01,6.058481e+00,6.583905e+01,1.471484e+01
1.778792e+00,4.060000e+01,3.786188e+00,2.778639e+02,2.123362e+01,3.331322e+00,1.853590e+00,9.388642e-01,2.172217e+00,1.398419e+00,3.294041e+00,5.351513e+00,1.336880e+00,8.567269e-01,5.255363e-01,9.311403e-02,1.007339e+01,6.076023e+00,6.602968e+01,1.471466e+01
1.887228e+00,4.307500e+01,3.776003e+00,2.912925e+02,2.246717e+01,3.331322e+00,1.823870e+00,9.353768e-01,2.166979e+00,1.400267e+00,3.202499e+00,5.348536e+00,1.291535e+00,8.505504e-01,4.922648e-01,8.735062e-02,1.010056e+01,6.092413e+00,6.620779e+01,1.471449e+01
1.995664e+00,4.555000e+01,3.766469e+00,3.045554e+02,2.369785e+01,3.331322e+00,1.797461e+00,9.323650e-01,2.162546e+00,1.402092e+00,3.110914e+00,5.344789e+00,1.250485e+00,8.450191e-01,4.627469e-01,8.223770e-02,1.012613e+01,6.107834e+00,6.637538e+01,1.471434e+01
2.104100e+00,4.802500e+01,3.757488e+00,3.176530e+02,2.492566e+01,3.331322e+00,1.773863e+00,9.297571e-01,2.158799e+00,1.403897e+00,3.019261e+00,5.340384e+00,1.213131e+00,8.400440e-01,4.363926e-01,7.767305e-02,1.015033e+01,6.122433e+00,6.653403e+01,1.471419e+01
2.212536e+00,5.050000e+01,3.748979e+00,3.305857e+02,2.615062e+01,3.331322e+00,1.752672e+00,9.274951e-01,2.155638e+00,1.405686e+00,2.927517e+00,5.335409e+00,1.178982e+00,8.355523e-01,4.127286e-01,7.357461e-02,1.017337e+01,6.136329e+00,6.668504e+01,1.471405e+01
2.320972e+00,5.297500e+01,3.740877e+00,3.433539e+02,2.737272e+01,3.331322e+00,1.733558e+00,9.255316e-01,2.152984e+00,1.407461e+00,2.835666e+00,5.329940e+00,1.147632e+00,8.314837e-01,3.913704e-01,6.987577e-02,1.019541e+01,6.149620e+00,6.682947e+01,1.471391e+01
2.429409e+00,5.545000e+01,3.733128e+00,3.559578e+02,2.859198e+01,3.331322e+00,1.716247e+00,9.238275e-01,2.150770e+00,1.409223e+00,2.743694e+00,5.324036e+00,1.118743e+00,8.277876e-01,3.720030e-01,6.652195e-02,1.021657e+01,6.162385e+00,6.696819e+01,1.471378e+01
2.537845e+00,5.792500e+01,3.725687e+00,3.683979e+02,2.980839e+01,3.331322e+00,1.700515e+00,9.223504e-01,2.148941e+00,1.410976e+00,2.651589e+00,5.317749e+00,1.092027e+00,8.244213e-01,3.543659e-01,6.346796e-02,1.023697e+01,6.174691e+00,6.710193e+01,1.471366e+01
2.646281e+00,6.040000e+01,3.718518e+00,3.806743e+02,3.102196e+01,3.331322e+00,1.686170e+00,9.210730e-01,2.147450e+00,1.412720e+00,2.559341e+00,5.311121e+00,1.067244e+00,8.213486e-01,3.382415e-01,6.067613e-02,1.025671e+01,6.186597e+00,6.723131e+01,1.471354e+01
2.754717e+00,6.287500e+01,3.711588e+00,3.927872e+02,3.223271e+01,3.331322e+00,1.673052e+00,9.199724e-01,2.146260e+00,1.414456e+00,2.466941e+00,5.304188e+00,1.044185e+00,8.185386e-01,3.234470e-01,5.811478e-02,1.027586e+01,6.198148e+00,6.735684e+01,1.471342e+01
2.863153e+00,6.535000e+01,3.704870e+00,4.047369e+02,3.344062e+01,3.331322e+00,1.661024e+00,9.190289e-01,2.145337e+00,1.416186e+00,2.374382e+00,5.296981e+00,1.022674e+00,8.159647e-01,3.098277e-01,5.575708e-02,1.029449e+01,6.209385e+00,6.747896e+01,1.471330e+01
2.971590e+00,6.782500e+01,3.698343e+00,4.165236e+02,3.464570e+01,3.331322e+00,1.649968e+00,9.182259e-01,2.144653e+00,1.417910e+00,2.281659e+00,5.289527e+00,1.002555e+00,8.136037e-01,2.972518e-01,5.358019e-02,1.031266e+01,6.220345e+00,6.759806e+01,1.471319e+01
3.080026e+00,7.030000e+01,3.691985e+00,4.281473e+02,3.584796e+01,3.331322e+00,1.639785e+00,9.175488e-01,2.144183e+00,1.419630e+00,2.188766e+00,5.281848e+00,9.836967e-01,8.114356e-01,2.856061e-01,5.156451e-02,1.033042e+01,6.231056e+00,6.771446e+01,1.471308e+01
3.188462e+00,7.277500e+01,3.685781e+00,4.396084e+02,3.704740e+01,3.331322e+00,1.630386e+00,9.169851e-01,2.143906e+00,1.421346e+00,2.095697e+00,5.273964e+00,9.659807e-01,8.094427e-01,2.747932e-01,4.969316e-02,1.034781e+01,6.241545e+00,6.782845e+01,1.471298e+01
3.296898e+00,7.525000e+01,3.679714e+00,4.509068e+02,3.824402e+01,3.331322e+00,1.621696e+00,9.165242e-01,2.143803e+00,1.423058e+00,2.002450e+00,5.265892e+00,9.493048e-01,8.076097e-01,2.647288e-01,4.795151e-02,1.036487e+01,6.251835e+00,6.794028e+01,1.471287e+01
3.405334e+00,7.772500e+01,3.673773e+00,4.620427e+02,3.943782e+01,3.331322e+00,1.613648e+00,9.161563e-01,2.143860e+00,1.424768e+00,1.909020e+00,5.257647e+00,9.335785e-01,8.059229e-01,2.553393e-01,4.632683e-02,1.038163e+01,6.261946e+00,6.805015e+01,1.471277e+01
3.513771e+00,8.020000e+01,3.667945e+00,4.730163e+02,4.062881e+01,3.331322e+00,1.606184e+00,9.158732e-01,2.144061e+00,1.426476e+00,1.815403e+00,5.249243e+00,9.187218e-01,8.043703e-01,2.465605e-01,4.480799e-02,1.039813e+01,6.271896e+00,6.815828e+01,1.471267e+01
3.622207e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.730643e+00,8.515000e+01,3.656591e+00,4.944768e+02,4.300234e+01,3.331322e+00,1.592808e+00,9.155330e-01,2.144848e+00,1.429888e+00,1.627600e+00,5.232003e+00,8.913403e-01,8.016257e-01,2.306160e-01,4.204983e-02,1.043041e+01,6.291370e+00,6.836991e+01,1.471247e+01
3.839079e+00,8.762500e+01,3.651049e+00,5.049640e+02,4.418489e+01,3.331322e+00,1.586809e+00,9.154635e-01,2.145414e+00,1.431592e+00,1.533408e+00,5.223185e+00,8.786954e-01,8.004156e-01,2.233564e-01,4.079426e-02,1.044625e+01,6.300921e+00,6.847370e+01,1.471237e+01
3.947515e+00,9.010000e+01,3.645586e+00,5.152891e+02,4.536464e+01,3.331322e+00,1.581221e+00,9.154541e-01,2.146082e+00,1.433296e+00,1.439020e+00,5.214248e+00,8.666776e-01,7.993030e-01,2.165182e-01,3.961171e-02,1.046190e+01,6.310362e+00,6.857630e+01,1.471228e+01
4.055951e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.164388e+00,9.505000e+01,3.634875e+00,5.354537e+02,4.771570e+01,3.331322e+00,1.571149e+00,9.155976e-01,2.147697e+00,1.436703e+00,1.249645e+00,5.196043e+00,8.443449e-01,7.973433e-01,2.039701e-01,3.744216e-02,1.049273e+01,6.328957e+00,6.877838e+01,1.471209e+01
4.272824e+00,9.752500e+01,3.629616e+00,5.452934e+02,4.888703e+01,3.331322e+00,1.566611e+00,9.157426e-01,2.148631e+00,1.438407e+00,1.154655e+00,5.186787e+00,8.339510e-01,7.964843e-01,1.982012e-01,3.644492e-02,1.050793e+01,6.338127e+00,6.887803e+01,1.471199e+01
