# system_capacity,flowrate_MGD,LCOW,Total CAPEX (MGD),Total OPEX (MGD/year),SEC,Ozone_CAPEX_frac,Ozone_OPEX_frac,BAF_CAPEX_frac,BAF_OPEX_frac,UF_CAPEX_frac,UF_OPEX_frac,UV_AOP_CAPEX_frac,UV_AOP_OPEX_frac,Cl_CAPEX_frac,Cl_OPEX_frac,RO_CAPEX_frac,RO_OPEX_frac,brine_frac,Total_Opex_frac
4.381260e-02,1.000000e+00,7.459288e+00,3.985586e+01,1.142234e+00,3.857244e+00,1.268854e+01,2.504647e+00,4.835204e+00,1.342465e+00,5.428552e+00,3.299686e+00,9.603652e+00,1.982336e+00,1.633391e+01,2.833073e+00,6.433700e+00,3.893037e+00,2.882120e+01,1.585524e+01
1.522488e-01,3.475000e+00,4.683165e+00,5.873892e+01,2.569161e+00,3.802739e+00,6.523824e+00,1.616946e+00,3.328180e+00,1.380964e+00,4.993562e+00,4.626837e+00,5.972659e+00,1.540809e+00,6.593446e+00,1.144819e+00,1.000525e+01,6.055277e+00,4.621743e+01,1.636565e+01
2.606850e-01,5.950000e+00,4.207800e+00,7.719147e+01,3.987831e+00,3.792079e+00,4.697427e+00,1.355298e+00,2.885149e+00,1.395199e+00,4.807339e+00,5.020522e+00,4.463534e+00,1.336226e+00,4.033519e+00,7.011471e-01,1.108326e+01,6.707923e+00,5.151346e+01,1.651632e+01
3.691212e-01,8.425000e+00,4.007643e+00,9.535996e+01,5.401418e+00,3.787472e+00,3.821542e+00,1.230509e+00,2.674447e+00,1.403472e+00,4.673181e+00,5.206879e+00,3.637114e+00,1.221021e+00,2.869651e+00,4.994390e-01,1.161311e+01,7.028703e+00,5.412093e+01,1.659002e+01
4.775573e-01,1.090000e+01,3.895782e+00,1.132944e+02,6.810860e+00,3.784868e+00,3.307579e+00,1.157740e+00,2.551976e+00,1.409284e+00,4.558040e+00,5.313452e+00,3.109577e+00,1.146506e+00,2.210308e+00,3.851727e-01,1.193281e+01,7.222251e+00,5.569531e+01,1.663440e+01
5.859935e-01,1.337500e+01,3.823415e+00,1.310183e+02,8.216587e+00,3.783173e+00,2.969841e+00,1.110265e+00,2.472376e+00,1.413823e+00,4.451776e+00,5.380835e+00,2.740688e+00,1.094042e+00,1.788240e+00,3.120290e-01,1.214954e+01,7.353466e+00,5.676308e+01,1.666446e+01
6.944297e-01,1.585000e+01,3.772143e+00,1.485451e+02,9.618838e+00,3.781967e+00,2.731135e+00,1.076987e+00,2.416824e+00,1.417613e+00,4.350276e+00,5.426026e+00,2.466712e+00,1.054950e+00,1.496042e+00,2.613929e-01,1.230811e+01,7.449464e+00,5.754447e+01,1.668643e+01
8.028659e-01,1.832500e+01,3.733474e+00,1.658830e+02,1.101776e+01,3.781055e+00,2.553615e+00,1.052472e+00,2.376108e+00,1.420919e+00,4.251564e+00,5.457408e+00,2.254333e+00,1.024624e+00,1.282382e+00,2.243682e-01,1.243057e+01,7.523602e+00,5.814804e+01,1.670339e+01
9.113021e-01,2.080000e+01,3.702941e+00,1.830377e+02,1.241346e+01,3.780333e+00,2.416544e+00,1.033744e+00,2.345184e+00,1.423895e+00,4.154580e+00,5.479601e+00,2.084354e+00,1.000377e+00,1.119711e+00,1.961800e-01,1.252906e+01,7.583229e+00,5.863354e+01,1.671703e+01
1.019738e+00,2.327500e+01,3.677970e+00,2.000131e+02,1.380600e+01,3.779741e+00,2.307606e+00,1.019039e+00,2.321065e+00,1.426635e+00,4.058703e+00,5.495362e+00,1.944896e+00,9.805357e-01,9.919488e-01,1.740418e-01,1.261081e+01,7.632726e+00,5.903663e+01,1.672834e+01
