# system_capacity,flowrate_MGD,LCOW,Total CAPEX (MGD),Total OPEX (MGD/year),SEC,Ozone_CAPEX_frac,Ozone_OPEX_frac,BAF_CAPEX_frac,BAF_OPEX_frac,UF_CAPEX_frac,UF_OPEX_frac,GAC_CAPEX_frac,GAC_OPEX_frac,UV_AOP_CAPEX_frac,UV_AOP_OPEX_frac,Cl_CAPEX_frac,Cl_OPEX_frac,Total_Opex_frac
4.381260e-02,1.000000e+00,3.504477e+00,2.638933e+01,1.298583e+00,2.240536e+00,1.800058e+01,3.565431e+00,9.107292e+00,2.628589e+00,9.932163e+00,6.037157e+00,8.495078e+00,1.609502e+01,2.148514e+01,4.651403e+00,-1.313532e-64,2.154071e-03,3.297975e+01
2.606850e-01,5.950000e+00,1.571311e+00,4.816961e+01,5.687605e+00,2.248404e+00,9.218270e+00,2.633808e+00,7.213027e+00,3.591362e+00,1.104969e+01,1.153969e+01,5.847612e+00,3.213672e+01,1.252728e+01,4.237729e+00,-8.076987e-69,4.804201e-03,5.414412e+01
4.775573e-01,1.090000e+01,1.350039e+00,6.961161e+01,9.572606e+00,2.263937e+00,9.020230e+00,2.871134e+00,6.996551e+00,3.937475e+00,1.128758e+01,1.315829e+01,5.407343e+00,3.389231e+01,9.390988e+00,4.032509e+00,7.102806e-63,5.591494e-03,5.789731e+01
6.944297e-01,1.585000e+01,1.254187e+00,8.872700e+01,1.346253e+01,2.269051e+00,8.520720e+00,2.920552e+00,6.966077e+00,4.140404e+00,1.122756e+01,1.400394e+01,5.255412e+00,3.527129e+01,7.755361e+00,3.932661e+00,-7.030335e-67,6.018955e-03,6.027487e+01
9.113021e-01,2.080000e+01,1.198166e+00,1.065353e+02,1.734785e+01,2.271474e+00,8.129170e+00,2.938058e+00,6.981748e+00,4.280235e+00,1.101745e+01,1.453125e+01,5.191101e+00,3.632236e+01,6.726967e+00,3.875355e+00,9.384835e-70,6.300373e-03,6.195356e+01
1.128174e+00,2.575000e+01,1.159976e+00,1.233540e+02,2.122487e+01,2.272858e+00,7.841382e+00,2.949059e+00,7.014492e+00,4.386976e+00,1.072184e+01,1.489552e+01,5.164891e+00,3.716516e+01,6.013364e+00,3.840815e+00,3.059724e-71,6.507662e-03,6.324404e+01
1.345047e+00,3.070000e+01,1.131342e+00,1.393191e+02,2.509205e+01,2.273744e+00,7.629140e+00,2.959427e+00,7.055096e+00,4.474268e+00,1.037161e+01,1.516474e+01,5.158682e+00,3.787371e+01,5.486385e+00,3.820267e+00,-5.389003e-70,6.672371e-03,6.429909e+01
1.561919e+00,3.565000e+01,1.108440e+00,1.545004e+02,2.894872e+01,2.274356e+00,7.470791e+00,2.970679e+00,7.099916e+00,4.549210e+00,9.983268e+00,1.537358e+01,5.164319e+00,3.849226e+01,5.080069e+00,3.809095e+00,1.263100e-69,6.810376e-03,6.520164e+01
1.778792e+00,4.060000e+01,1.089254e+00,1.689383e+02,3.279450e+01,2.274802e+00,7.351590e+00,2.983152e+00,7.147293e+00,4.615870e+00,9.566393e+00,1.554160e+01,5.177603e+00,3.904826e+01,4.756705e+00,3.804607e+00,-2.599250e-66,6.930331e-03,6.600042e+01
1.995664e+00,4.555000e+01,1.072619e+00,1.826579e+02,3.662924e+01,2.275142e+00,7.261524e+00,2.996836e+00,7.196402e+00,4.676752e+00,9.126898e+00,1.568071e+01,5.196164e+00,3.955953e+01,4.493046e+00,3.805106e+00,-6.384921e-71,7.037813e-03,6.672597e+01
2.212536e+00,5.050000e+01,1.057813e+00,1.956763e+02,4.045282e+01,2.275408e+00,7.193685e+00,3.011626e+00,7.246802e+00,4.733488e+00,8.668620e+00,1.579858e+01,5.218566e+00,4.003809e+01,4.273928e+00,3.809471e+00,-5.605877e-69,7.136323e-03,6.739840e+01
2.429409e+00,5.545000e+01,1.044363e+00,2.080052e+02,4.426520e+01,2.275622e+00,7.143193e+00,3.027410e+00,7.298250e+00,4.787185e+00,8.194138e+00,1.590041e+01,5.243895e+00,4.049236e+01,4.089005e+00,3.816924e+00,-2.206461e-67,7.228072e-03,6.803152e+01
2.646281e+00,6.040000e+01,1.031950e+00,2.196533e+02,4.806635e+01,2.275798e+00,7.106501e+00,3.044076e+00,7.350610e+00,4.838628e+00,7.705234e+00,1.598983e+01,5.271542e+00,4.092840e+01,3.930962e+00,3.826908e+00,-8.266530e-67,7.315021e-03,6.863515e+01
2.863153e+00,6.535000e+01,1.020345e+00,2.306269e+02,5.185626e+01,2.275944e+00,7.080998e+00,3.061537e+00,7.403803e+00,4.888387e+00,7.203160e+00,1.606944e+01,5.301089e+00,4.135070e+01,3.794473e+00,3.839016e+00,-1.497074e-69,7.398373e-03,6.921648e+01
3.080026e+00,7.030000e+01,1.009385e+00,2.409313e+02,5.563491e+01,2.276069e+00,7.064739e+00,3.079723e+00,7.457788e+00,4.936888e+00,6.688813e+00,1.614118e+01,5.332241e+00,4.176265e+01,3.675558e+00,3.852939e+00,1.888992e-70,7.478550e-03,6.978086e+01
3.296898e+00,7.525000e+01,9.989462e-01,2.505700e+02,5.940233e+01,2.276176e+00,7.056189e+00,3.098569e+00,7.512544e+00,4.984458e+00,6.162831e+00,1.620654e+01,5.364787e+00,4.216690e+01,3.571186e+00,3.868445e+00,4.351519e-65,7.556857e-03,7.033246e+01
3.513771e+00,8.020000e+01,9.889364e-01,2.595465e+02,6.315849e+01,2.276268e+00,7.054199e+00,3.118033e+00,7.568065e+00,5.031352e+00,5.625669e+00,1.626662e+01,5.398569e+00,4.256551e+01,3.478999e+00,3.885350e+00,-4.972434e-69,7.633346e-03,7.087450e+01
3.730643e+00,8.515000e+01,9.792832e-01,2.678632e+02,6.690341e+01,2.276349e+00,7.057839e+00,3.138077e+00,7.624354e+00,5.077773e+00,5.077648e+00,1.632234e+01,5.433472e+00,4.296015e+01,3.397138e+00,3.903509e+00,2.378027e-68,7.708591e-03,7.140955e+01
3.947515e+00,9.010000e+01,9.699300e-01,2.755222e+02,7.063709e+01,2.276421e+00,7.066384e+00,3.158673e+00,7.681419e+00,5.123886e+00,4.518982e+00,1.637438e+01,5.469410e+00,4.335216e+01,3.324114e+00,3.922810e+00,0.000000e+00,7.782762e-03,7.193969e+01
4.164388e+00,9.505000e+01,9.608317e-01,2.825252e+02,7.435955e+01,2.276484e+00,7.079211e+00,3.179791e+00,7.739273e+00,5.169824e+00,3.949807e+00,1.642333e+01,5.506318e+00,4.374271e+01,3.258723e+00,3.943161e+00,-4.098938e-70,7.856625e-03,7.246667e+01
4.381260e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
