# system_capacity,flowrate_MGD,LCOW,Total CAPEX (MGD),Total OPEX (MGD/year),SEC,Ozone_CAPEX_frac,Ozone_OPEX_frac,BAF_CAPEX_frac,BAF_OPEX_frac,UF_CAPEX_frac,UF_OPEX_frac,GAC_CAPEX_frac,GAC_OPEX_frac,UV_AOP_CAPEX_frac,UV_AOP_OPEX_frac,Cl_CAPEX_frac,Cl_OPEX_frac,Total_Opex_frac
4.381260e-02,1.000000e+00,4.654590e+00,3.801790e+01,1.427954e+00,2.263507e+00,1.361709e+01,2.739320e+00,6.856951e+00,1.979085e+00,7.478002e+00,4.545421e+00,6.396010e+00,1.069280e+01,1.617633e+01,3.502077e+00,2.217115e+01,3.845774e+00,2.730447e+01
2.606850e-01,5.950000e+00,1.680082e+00,5.673743e+01,5.557982e+00,2.263507e+00,7.733677e+00,2.389014e+00,6.746045e+00,3.358852e+00,1.033432e+01,1.079260e+01,5.469029e+00,2.749979e+01,1.171624e+01,3.963372e+00,8.516017e+00,1.481046e+00,4.948467e+01
4.775573e-01,1.090000e+01,1.391553e+00,7.382477e+01,9.659710e+00,2.263507e+00,6.015142e+00,2.308363e+00,6.787823e+00,3.820008e+00,1.095084e+01,1.276574e+01,5.246026e+00,3.296640e+01,9.110827e+00,3.912207e+00,5.208180e+00,9.084467e-01,5.668117e+01
6.944297e-01,1.585000e+01,1.359420e+00,8.933739e+01,1.527554e+01,2.263177e+00,4.928664e+00,2.147736e+00,5.868740e+00,3.450881e+00,1.035844e+01,1.291990e+01,4.885810e+00,4.011109e+01,7.370205e+00,3.857550e+00,3.490274e+00,6.107152e-01,6.309787e+01
9.113021e-01,2.080000e+01,1.212896e+00,1.052937e+02,1.781625e+01,2.263507e+00,4.720604e+00,2.270304e+00,6.896959e+00,4.228254e+00,1.088366e+01,1.435478e+01,5.128059e+00,3.766785e+01,6.645272e+00,3.828291e+00,2.871815e+00,5.041542e-01,6.285364e+01
1.128174e+00,2.575000e+01,1.170431e+00,1.198812e+02,2.187464e+01,2.263507e+00,4.413613e+00,2.269750e+00,6.951833e+00,4.347788e+00,1.062606e+01,1.476246e+01,5.118755e+00,3.900061e+01,5.959648e+00,3.806506e+00,2.332160e+00,4.108118e-01,6.459793e+01
1.345047e+00,3.070000e+01,1.139233e+00,1.337549e+02,2.592065e+01,2.263507e+00,4.201576e+00,2.274187e+00,7.006230e+00,4.443278e+00,1.029977e+01,1.505971e+01,5.122952e+00,4.004509e+01,5.448384e+00,3.793806e+00,1.958766e+00,3.462474e-01,6.596232e+01
1.561919e+00,3.565000e+01,1.114661e+00,1.469335e+02,2.995460e+01,2.263507e+00,4.048435e+00,2.281708e+00,7.060289e+00,4.523819e+00,9.927549e+00,1.528778e+01,5.135496e+00,4.091043e+01,5.051715e+00,3.787835e+00,1.685864e+00,2.990763e-01,6.709065e+01
1.778792e+00,4.060000e+01,1.094324e+00,1.594288e+02,3.397671e+01,2.263507e+00,3.934387e+00,2.291293e+00,7.114183e+00,4.594486e+00,9.522076e+00,1.546960e+01,5.153618e+00,4.165732e+01,4.734669e+00,3.786981e+00,1.478186e+00,2.631937e-01,6.806288e+01
1.995664e+00,4.555000e+01,1.076859e+00,1.712490e+02,3.798711e+01,2.263507e+00,3.847648e+00,2.302351e+00,7.168068e+00,4.658339e+00,9.090964e+00,1.561897e+01,5.175707e+00,4.232228e+01,4.475356e+00,3.790125e+00,1.315156e+00,2.350387e-01,6.892710e+01
2.212536e+00,5.050000e+01,1.061434e+00,1.824002e+02,4.198592e+01,2.263507e+00,3.780768e+00,2.314518e+00,7.222077e+00,4.717337e+00,8.639044e+00,1.574468e+01,5.200762e+00,4.292861e+01,4.259346e+00,3.796474e+00,1.183986e+00,2.123975e-01,6.971402e+01
2.429409e+00,5.545000e+01,1.047512e+00,1.928867e+02,4.597320e+01,2.263507e+00,3.728807e+00,2.327559e+00,7.276316e+00,4.772797e+00,8.169511e+00,1.585263e+01,5.228136e+00,4.349194e+01,4.076715e+00,3.805452e+00,1.076314e+00,1.938234e-01,7.044420e+01
2.646281e+00,6.040000e+01,1.034728e+00,2.027119e+02,4.994901e+01,2.263507e+00,3.688362e+00,2.341315e+00,7.330875e+00,4.825637e+00,7.684547e+00,1.594690e+01,5.257390e+00,4.402315e+01,3.920408e+00,3.816634e+00,9.864533e-01,1.783318e-01,7.113197e+01
2.863153e+00,6.535000e+01,1.022828e+00,2.118787e+02,5.391341e+01,2.263507e+00,3.657011e+00,2.355678e+00,7.385829e+00,4.876519e+00,7.185673e+00,1.603043e+01,5.288220e+00,4.453005e+01,3.785261e+00,3.829695e+00,9.104020e-01,1.652305e-01,7.178760e+01
3.080026e+00,7.030000e+01,1.011629e+00,2.203891e+02,5.786643e+01,2.263507e+00,3.632984e+00,2.370571e+00,7.441240e+00,4.925934e+00,6.673971e+00,1.610537e+01,5.320411e+00,4.501844e+01,3.667403e+00,3.844390e+00,8.452659e-01,1.540186e-01,7.241872e+01
3.296898e+00,7.525000e+01,1.000995e+00,2.282449e+02,6.180809e+01,2.263507e+00,3.614960e+00,2.385937e+00,7.497164e+00,4.974254e+00,6.150214e+00,1.617336e+01,5.353805e+00,4.549268e+01,3.563875e+00,3.860526e+00,7.889009e-01,1.443250e-01,7.303108e+01
3.513771e+00,8.020000e+01,9.908237e-01,2.354477e+02,6.573844e+01,2.263507e+00,3.601933e+00,2.401738e+00,7.553650e+00,5.021769e+00,5.614953e+00,1.623564e+01,5.388287e+00,4.595615e+01,3.472372e+00,3.877949e+00,7.396862e-01,1.358693e-01,7.362912e+01
3.730643e+00,8.515000e+01,9.810350e-01,2.419985e+02,6.965748e+01,2.263507e+00,3.593121e+00,2.417943e+00,7.610739e+00,5.068706e+00,5.068579e+00,1.629319e+01,5.423771e+00,4.641153e+01,3.391071e+00,3.896539e+00,6.963743e-01,1.284357e-01,7.421634e+01
3.947515e+00,9.010000e+01,9.715675e-01,2.478985e+02,7.356523e+01,2.263507e+00,3.587912e+00,2.434531e+00,7.668473e+00,5.115250e+00,4.511364e+00,1.634679e+01,5.460193e+00,4.686094e+01,3.318512e+00,3.916199e+00,6.579898e-01,1.218553e-01,7.479556e+01
4.164388e+00,9.505000e+01,9.623721e-01,2.531486e+02,7.746172e+01,2.263507e+00,3.585817e+00,2.451485e+00,7.726886e+00,5.161550e+00,3.943483e+00,1.639704e+01,5.497506e+00,4.730612e+01,3.253507e+00,3.936849e+00,6.237595e-01,1.159945e-01,7.536904e+01
